"ID","Type","RVA","Subsys","Path","Stmt"
"U-4414","structural","0x00475770","render","listing_code_unit_at 0x00475770 + context","param_2 matrix layout: [0..2]=row0 confirmed; [4..6]=row1?, [8..10]=row2?; strides assumed float[4] rows but not verified"
"U-4415","structural","0x00475830","render","decomp_function FUN_00557ec0","10-slot pattern: slots 0..4 from *(param_1+0x18), slots 5..9 from *(param_2+0x18); meaning of +0x18 field and slot semantics unknown"
"U-4416","structural","0x004758d0","render","decomp_function FUN_004e66d0","FUN_004e66d0(obj, fn_ptr, arg) pattern — appears to be a callback dispatcher but signature and dispatch mechanism unconfirmed"
"U-4417","structural","0x004759b0","render","decomp_function FUN_00474db0","Second arg to FUN_00474db0 is 0x40, 4, 4, 4 — unclear if this is element size, total size, or alignment"
"U-4418","semantic","0x00475a00","render","decomp_function FUN_004770c0; search_constants 0x80c","Flags value 0x80c passed to FUN_004770c0 as second argument — meaning of the flag bits unknown"
"U-4419","structural","0x00475ab0","render","listing_code_unit_at 0x00475ab0","Slot struct size 0x50 bytes (0x14 dwords); field at +0x12=active flag, +0x11=counter, +0x10=type tag, +0x13=ushort attr, +0x4e=pad; layout unconfirmed"
"U-4420","semantic","0x00475ab0","render","memory_read 0x005d757c","Eviction priority criterion: compares float at pfVar5[-0x28]/[-0x14]/[0]/[+0x14] against DAT_005d757c — unclear if DAT_005d757c is -FLT_MAX sentinel or a threshold"
"U-4421","structural","0x00475d90","render","read_memory 0x007d3ff8 + follow ptr + 0x10c","DAT_007d3ff8 + 0x10c = vtable pointer; function at that offset called with heap pointer — assumed free/destructor but not confirmed"
"U-4423","semantic","0x00475ef0","render","memory_read 0x00613254","DAT_00613254 written at offset +0xc0 in each 0xd8-byte struct — type and meaning of this field unknown"
"U-4426","structural","0x00475f50","render","listing_code_unit_at 0x00476011 context","unaff_ESI source: caller sets ESI before call; the 4-byte struct [0..2]=0, [3]=computed is assumed RGBA color"
"U-4427","structural","0x00475f90","render","listing_code_unit_at 0x00475f90","param_1 struct layout assumed: +0xc4=intensity, +0xd0=speed_scale, +0xd4=flag, +4=wheel_pos array, +0x90=second_set, +0x34=exhaust_pos"
"U-4428","semantic","0x00475f90","render","memory_read those addresses","_DAT_0061325c/_DAT_00613268/_DAT_00613284 = intensity range thresholds — specific float values unknown"
"U-4429","structural","0x00476320","render","decomp_function FUN_004762c0","FUN_004762c0(param_1) reads param_1 as input — the initial state of param_1 before FUN_004762c0 call affects result"
"U-4430","semantic","0x00476390","render","search_constants 0x817 in FUN_004770c0 callers","Flags 0x817 vs 0x807 distinction — bit 0x10 differs between flame/smoke slots and exhaust slot; meaning unknown"
"U-4500","structural","0x00477490","render","decomp_function FUN_004777d0","unaff_ESI calling convention: Ghidra shows ESI implicit; single caller FUN_004777d0 must confirm if ESI is set as ""this"""
"U-4501","semantic","0x00477490","render","listing_code_units_list range","local_8/local_4 roles: only local_c passed to FUN_004c13e0; local_8/local_4 initialized from local_c but not visibly used"
"U-4502","semantic","0x00477500","render","decomp_function 0x004a2c48","FUN_004a2c48 purpose: returns 1 byte; could be alpha fade or constant read"
"U-4503","structural","0x00477500","render","Cross-reference gta-reversed RpAtomic vtable","Vtable offset 0x48 assumed RpAtomicRender; needs cross-check against known RW3 vtable layout"
"U-4504","structural","0x00477580","render","decomp_function 0x004c0c20","FUN_004c0c20 purpose: geometry instance destroy or unlock?"
"U-4506","semantic","0x004775b0","render","decomp_function 0x004b4150","FUN_004b4150 purpose: assumed hide-master-DFF; body not inspected"
"U-4507","semantic","0x00477760","render","decomp_function 0x00477450","FUN_00477450 param_4/param_5 semantics: likely scale+lifetime but not confirmed"
"U-4508","structural","0x00477760","render","decomp_function 0x00477450","Pool-commit skips found-slot pointer: free slot found in walk but FUN_00477450 not passed it"
"U-4509","semantic","0x00477870","render","decomp_function 0x005495b0","FUN_005495b0 purpose: destroy geometry or geometry-instance?"
"U-4510","structural","0x004778e0","render","decomp_function callers","unaff_ESI calling convention: ESI carries slot index; callers must set ESI before call"
"U-4512","semantic","0x00477be0","render","find trail render callee of pool","UV V = (float)count convention: segment index used as V coord or as shader param?"
"U-4514","structural","0x00477e40","render","decomp_function 0x0040bb30 + memory_read","FUN_0040bb30 purpose: load TXD or other resource at DAT_005ceb10?"
"U-4515","semantic","0x00477e60","render","decomp_function callers","Winding order: cross product is (C-B)x(A-B); caller convention (CW vs CCW) not determined"
"U-4517","semantic","0x00478030","render","decomp_function 0x0047c1f0","Usage context: frustum-plane clip test vs portal-visibility test — caller FUN_0047c1f0 not inspected"
"U-4575","structural","0x00487e20","render","decomp_function 0x00535700","FUN_00535700 target: offset pair table (+0x4c..+0x90) semantics — likely RWS stream descriptors but not mapped"
"U-4577","semantic","0x004891f0","render","function_at 0x007d3ff8 vtable layout","vtable slot indices 8/6 and arg values 0/1 for the render-state calls — meaning not established from decomp alone"
"U-4578","semantic","0x0048aa20","render","decomp_function 0x0048a850","FUN_0048a850 signature and param semantics — only the 1.0f default established here"
"U-4580","structural","0x0048ebf0","render","decomp_function 0x00490500 (large, deferred)","Full semantic names of per-particle arrays at offsets DAT_0076d9b0..DAT_0076ddc8 not established"
"U-4581","structural","0x0048f290","render","listing_code_unit_at 0x0048f2e1","Exact meaning of the discarded FUN_00472650(0, 0x43000000) call — random 0..128.0 generated but unused"
"U-4583","semantic","0x0048fd70","render","decomp_function 0x00490500 (deferred)","Semantic names of 6 pool blocks at DAT_0076d900/940/766978/668f8/766f00/7706d8 not established"
"U-4584","structural","0x0048fe70","render","decomp_function 0x00538c80","FUN_00538c80 semantics and LAB_0048fe30 callback body not read"
"U-4586","structural","0x00490020","render","decomp_function 0x0041f290","FUN_0041f290 bone-position lookup — bone IDs 0x33/0x34 not mapped to player skeleton"
"U-4600","semantic","0x00490e70","render","decomp callers of FUN_00490fb0","DAT_00771538 / DAT_0077153c both set to 0 in default init — Y-range pair purpose (height band, displacement, or unused channel) not determined"
"U-4601","semantic","0x00490fb0","render","decomp_function FUN_00491590 consumer path","DAT_00771538 / DAT_0077153c — exact role in spawn region (Y-axis height vs other axis) not confirmed from setter alone"
"U-4602","structural","0x004910c0","render","decomp_function 0x004c1b40","FUN_004c1b40 (0x004c1b40) — returns 0 when particle is outside bounds; exact test type (point-in-frustum vs sphere vs AABB) not determined"
"U-4603","structural","0x004910c0","render","decomp_function 0x004c1b10","FUN_004c1b10 (0x004c1b10) — sets render state with arg 0x3f4ccccd; exact D3D states affected unknown"
"U-4604","semantic","0x00491340","render","decomp_function FUN_00491590 table fill","DAT_0077152c table entries: 3 floats at stride 0xc — whether these are object-local coords or world coords not determined from update loop alone"
"U-4605","semantic","0x00491490","render","search_constants / reference_to 0x007f108b","DAT_007f108b (0x007f108b) — byte flag selecting random vs table respawn path; specific semantic (debug flag / mode switch / level config) not known"
"U-4606","structural","0x004914b0","render","search D3DRENDERSTATETYPE constants 6/8/9/0xc","DAT_007d3ff8+0x20 vtable call args (6,1),(8,1),(0xc,1),(9,2) — specific D3D9 RenderState enum values not decoded"
"U-4607","structural","0x004914b0","render","decomp_function 0x00499d90","FUN_00499d90 (0x00499d90) called with (DAT_00771530, 0x380) — draw primitive type (line-list vs point-sprite) and vertex format not confirmed"
"U-4608","semantic","0x00491590","render","memory_read","_DAT_005ce010 and _DAT_005cc318 — float constants used as scale factors in respawn table Y/Z init; exact values and meaning unknown"
"U-4628","structural","0x00491e50","render","decomp_function FUN_00491f00 + trace pfVar6 slots","`in_EAX[5..7]` velocity components stored via `(int)` cast — whether they are truly integer-packed or float-packed requires cross-referencing the vertex-stream consumer in FUN_00491f00"
"U-4700","semantic","0x00494b65","render","reference_to each address","Reference blocks DAT_005d0c1c, DAT_005d0cac, DAT_005d0c7c — could be GUIDs or capability descriptor fields; producers unknown"
"U-4701","structural","0x00494b65","render","search_bytes 65 4b 49 00","Zero callers via Ghidra — function is likely called via vtable or function pointer; calling context unknown"
"U-4702","structural","0x00494c60","render","search_bytes 60 4c 49 00","Class whose destructor this serves is unknown — no callers via Ghidra; likely vtable-referenced"
"U-4703","structural","0x00494f40","render","decomp FUN_00495080","In-EAX struct type unconfirmed — layout matches D3DGAMMARAMP but not confirmed"
"U-4704","structural","0x00494fd0","render","decomp_function FUN_00495080","unaff_ESI type unknown — vtable offsets +0x1c/+0x54/+0x58 suggest IDirect3DDevice9 wrapper or RwDevice"
"U-4705","structural","0x00494fd0","render","decomp_function FUN_00495080","Stack vars uStack_10/uStack_c as gamma float params — producer in FUN_00495080 not traced"
"U-4706","structural","0x004951e0","render","memory_read 0x004951e0 4 bytes","Effective JMP target: Ghidra names it thunk_FUN_00495780 but decompiler shows FUN_004955d0 call; actual 4-byte opcode not confirmed"
"U-4707","structural","0x00496940","render","function_callers FUN_004c77c0","FUN_004c77c0 identity as RwRasterCreate unconfirmed from this site alone"
"U-4708","structural","0x004969a0","render","decomp callers / search_constants","Vtable slot semantics at DAT_007d3ff8+0x20 and +0x2c inferred from argument patterns; exact D3D render-state mnemonics not confirmed"
"U-4709","structural","0x004969a0","render","decomp_function FUN_00496c10 ESI/EAX origin","this-object type (EAX) unknown — likely RW camera or Mashed render context"
"U-4710","structural","0x00496c10","render","memory_read around 0x00496cbe","Two null-vtable calls (**(piVar1+8)) at end — likely Ghidra type recovery failure masking real object pointer"
"U-4711","semantic","0x00496c10","render","reference_to 0x00636b70","DAT_00636b70 identity — rain particle texture or post-process overlay texture not determinable here"
"U-4712","structural","0x00496ec0","render","decomp_function FUN_004c0ed0","FUN_004c0ed0 return type — quaternion or matrix handle not determinable from this site"
"U-4713","structural","0x00496ec0","render","decomp_function FUN_00497060 output consumers","Row negation semantics — inverse-transpose for normals vs full view matrix"
"U-4714","structural","0x00497060","render","listing_disassemble_function 0x00497060","unaff_retaddr as output parameter — may be hidden 4th param passed in ESI or on stack"
"U-4715","structural","0x00497060","render","decomp tokens + pcode_function 0x00497060","Assignment of auStack_4c/auStack_8c/puStack_10c to specific matrices (view/proj/VP) requires trace"
"U-4716","semantic","0x00498a00","render","function_callers 0x00498a00 + decomp each","unaff_EBX[3] flag bits beyond 5 listed are unknown"
"U-4717","semantic","0x00498ea0","render","reference_to 0x00773208 + decomp consumers","DAT_00773208 = 5 — meaning of value 5 in mode state machine unknown"
"U-4718","structural","0x00498ea0","render","decomp_function 0x00498c00 alloc path","DAT_007731fc table structure with *0x50 stride — untyped; consistent with device/adapter descriptor but not confirmed"
"U-4719","structural","0x00498e40","render","listing_disassemble_function 0x00498e40","Height comparison: decompiler shows *piVar2 for both width and height checks — likely Ghidra conflation; actual height offset may be piVar2[1]"
"U-4725","structural","0x00499d90","render","memory_block at 0x007e2580; caller RainRender at 0x004914b0","DAT_007e2580 vertex scratch buffer size not confirmed — could overflow if param_2 > static allocation; buffer bounds not traced"
"U-4726","semantic","0x0049a0e0","render","reference_to DAT_00771e58; search_constants 0x771e58","DAT_00771e58 struct layout at offsets +0xc4 and +0xcc — the two u16 values checked against 0x100 (width/height threshold?) semantic not confirmed"
"U-4727","semantic","0x0049aae0","render","decomp_function 0x004cbad0 0x004cbb20","FUN_004cbad0 and FUN_004cbb20 — resource allocator semantics (vertex buffer? index buffer? generic pool?) not confirmed"
"U-4728","semantic","0x004b3c60","render","search_text RW chunk 0x0b; decomp_function 0x004e99b0","Chunk type 0x0b (11 decimal) — RenderWare chunk ID 11 not confirmed against RW3 chunk type table; FUN_004e99b0 processor semantic unknown"
"U-4729","semantic","0x004b4150","render","decomp_function 0x005493d0","FUN_005493d0 singleton lookup key type — param_1 type (index vs pointer vs handle) not confirmed"
"U-4750","semantic","0x004b47e0","render","memory_read","DAT_005d757c — float value used as keyframe start-time sentinel; exact value not read"
"U-4751","semantic","0x004b4a80","render","decomp_function 0x004b49b0","LAB_004b49b0 callback — specific semantics of what it writes to local_14 via local_c pointer not decomped"
"U-4752","semantic","0x004b4c80","render","decomp_function 0x004b4bb0","LAB_004b4bb0 callback — distinct from LAB_004b49b0 used by 004b4a80; specific semantics unknown"
"U-4780","structural","0x004b51d0","render","listing_disassemble_range 0x004b51d0..0x004b5231","`param_3` is declared in the Ghidra signature but does not appear in the decompiled body — may be dead arg or decompiler artifact (ABI alignment/spill)"
"U-4800","semantic","0x004b53b0","render","memory_read","DAT_005d757c (0x005d757c) — initial max-sq-dist seed value; whether it is 0.0 or a small negative sentinel not confirmed"
"U-4801","structural","0x004b55a0","render","memory_read + search","DAT_007d3ff8+0x20 vtable call arg pairs (7,1),(1,0),(0xC,1) — exact RenderState enum values not decoded; `DAT_005cc320` reciprocal-W constant value not read"
"U-4806","structural","0x004b61c0","render","decomp_function callers + trace piVar1 construction","`*piVar1+4` index buffer stride: ushort-pair per entry (+8 bytes) assumed from loop increment; exact index format not confirmed from vertex buffer type"
"U-4811","structural","0x004b6710","render","listing_disassemble_range around call to 0x004b6710 in FUN_004b6940","`in_EAX` calling convention: file path passed in EAX register — exact calling convention (custom regcall, __fastcall variant) not confirmed; Ghidra may be misidentifying ABI"
"U-4825","structural","0x004c07b0","render","listing_disassemble_range","Exact ctor body (bytes written at plugin-data offset) not confirmed; Ghidra has no FUN_ at this address (LAB_ only)"
"U-4826","structural","0x004c0830","render","listing_disassemble_range","Exact dtor body (field clear/free at plugin-data offset) not confirmed; Ghidra has no FUN_ at this address (LAB_ only)"
"U-4900","cosmetic","0x004c1a70","render","memory_read at 0x005cc320, 0x005cc32c, 0x005cd03c","Exact float values of _DAT_005cc320 (0x005cc320), _DAT_005cc32c (0x005cc32c), _DAT_005cd03c (0x005cd03c) not read"
"U-4929","semantic","0x004c4530","render","listing_disassemble_range on each callee","Whether param_1 is a direct 3D point or an object from which SSE accessors extract a position; three callee functions are themselves SSE/false-empty"
"U-4931","semantic","0x004c5470","render","decomp_function + librw cross-ref","""RwMatrixQueryRotate"" name — strong structural match to RW SDK API but single caller 0x00406ce0 not yet confirmed as RW frame/camera function"
"U-4977","structural","0x004c7620","render","search_text RW vtable","Identity of vtable slot `DAT_007d3ff8 + 0xa8` — raw offset, RW name unknown"
"U-4978","structural","0x004c7620","render","decomp_function callers + layout_struct_get","Semantic meaning of bits 3,4 at `param_1+0x22` cleared by `& 0xe7` — field name/purpose not identified"
"U-4979","structural","0x004c7650","render","search_text RW vtable","Identity of vtable slot `DAT_007d3ff8 + 0x5c` — raw offset, RW name unknown"
"U-4980","structural","0x004c7650","render","search_text + decomp_function","Identity of vtable slot `DAT_007d3ff8 + 0x11c` — raw offset, likely dealloc/destructor dispatch; name not confirmed"
"U-4981","structural","0x004c76c0","render","search_text RW vtable","Identity of vtable slot `DAT_007d3ff8 + 0xa4` — raw offset, RW name unknown"
"U-4984","structural","0x004c7760","render","decomp_function + layout_struct_get","Semantic meaning of sign bit at `param_1+0x21` — guards raster-copy eligibility; field name not identified"
"U-4985","structural","0x004c7760","render","search_text RW vtable","Identity of vtable slot `DAT_007d3ff8 + 0x78` — raw offset, RW name unknown"
"U-4987","structural","0x004c79f0","render","D3D9 vtable doc cross-ref","Identity of D3D device vtable slot `*DAT_007d4110 + 0x9c` — shader-set D3D9 operation not named"
"U-4988","structural","0x004c7a20","render","D3D9 vtable doc cross-ref","Identity of D3D device vtable slot `*DAT_007d4110 + 0x94` — likely SetStreamSource (slot 38); name not confirmed"
"U-5025","cosmetic","0x004cb490","render","decomp_function on callers","Name/purpose of the 16-dword block copied from DAT_007d4158 table not established; raw copy observed"
"U-5026","structural","0x004cb4c0","render","d3d9 vtable introspection","Vtable+0xb0 assumed to be IDirect3DDevice9::SetTransform (D3DTS_WORLD=0x100) based on standard D3D9 vtable layout; not verified against actual vtable"
"U-5029","structural","0x004cb840","render","decomp_function on callers","Primitive type constant 8 does not match any standard D3DPRIMITIVETYPE (max valid = 6=D3DPT_TRIANGLEFAN); arg roles (param_1*2, literal 8, 0x65, 1, param_2, 0) unclear"
"U-5033","structural","0x004cbb00","render","decomp_function on caller","3 args passed (stage, param_2, param_3) but standard D3D9 SetTexture takes (stage, texture); third arg role unclear"
"U-5034","structural","0x004cbb20","render","decomp_function on callers","Only 2 args passed to vtable+0x1a8; standard SetTextureStageState takes (stage, type, value) — decompiler may have folded args or signature is non-standard"
"U-5038","structural","0x004cbbd0","render","decomp_function on caller FUN_004ec130","Sign-byte extraction at raw pfVar1+0x11/+0x12 for n-vertex AABB selection and AABB layout (stride -0xc, base +0x14) are non-obvious; exact byte layout of D3DPLANE struct and AABB layout not confirmed"
"U-5100","cosmetic","0x004cc580","render","search_text + RW SDK headers","Bit-pack formula for param_4/param_5 in local_4 — raw encoding observed but RW SDK name (version field?) not confirmed"
"U-5101","cosmetic","0x004cc790","render","search_text RW error definitions","RW error code 0x8000001a — raw hex observed; SDK mnemonic (rwERROR_INVALIDSTREAM?) not confirmed"
"U-5103","structural","0x004cc9e0","render","reference_to on 0x007d45fc","Purpose of DAT_007d45fc — appears to be a default pool or freelist root used when allocating pool header; semantic role not confirmed"
"U-5104","cosmetic","0x004ccce0","render","search_text + RW SDK","SDK name of this pool iterator — observationally visits all allocated elements and fires callback; likely RwPluginRegistryForAllObjectCBs or similar"
"U-5105","cosmetic","0x004cce20","render","listing_disassemble_seed on each address","Names of LAB_004ccef0 / LAB_005aead0 / LAB_004ccf00 — Ghidra shows LAB_ labels not FUN_ symbols; implementations not confirmed"
"U-5106","structural","0x004ccf20","render","decomp_function on FUN_004cc820","Ownership-flag byte at pool_base-1 (bit 0) — controls vtable+0x10c vs vtable+0x11c free path; exact semantics vs FUN_004cc820 param_5[6] (writes 2 or 3) unclear"
"U-5107","cosmetic","0x004cd170","render","manual arithmetic verification","LINE_LIST count truncation at 0x004cd1d8 — signed-bit handling non-obvious; `count &= ~(count & 0x80000001)` may have a simpler reading"
"U-5108","cosmetic","0x004cd500","render","search_text RW Im3D API","SDK identity of Im3D pipeline set/reset function — likely RwIm3DSetTransformPipeline or equivalent but not confirmed"
"U-5125","cosmetic","0x004cd550","render","decomp_function on caller","PrimType=6 identity — RW has 6 prim types but D3DPRIMITIVETYPE stops at D3DPT_TRIANGLEFAN=6; may be PointList or Mashed extension"
"U-5127","structural","0x004cdf20","render","decomp_function on callers","Flag bit 0x02 meaning — preserved across cross-depth copy, never cleared; may be ""palette-owned-by-image"" or external flag"
"U-5128","structural","0x004ce390","render","decomp_function","FUN_004ce690 callback identity — called with (filename, &handler); may be RwImageReadCallback or RwImageFindFileTypeCallback"
"U-5129","structural","0x004ce480","render","decomp_function","FUN_004e1a90 identity (is-absolute-path predicate) — cross-bucket, not yet plated"
"U-5130","cosmetic","0x004ce480","render","search_constants","vtable+0xcc identity: RwStrcat or RwStrcpy — called with (dst, src) which fits either"
"U-5150","structural","0x004ce690","render","decomp_function 0x00550b00","FUN_00550b00 identity (file-exists predicate vs. path-expansion helper) not confirmed"
"U-5151","structural","0x004ce6c0","render","function_at + decomp_function 0x004ce6f0","LAB_004ce6f0 is a label reference not a named function; full behavior unconfirmed"
"U-5152","structural","0x004ce790","render","cross-check vtable slot usage in other register paths","vtable[0xfc] vs vtable[0xf8] exact semantics (uppercase vs. CRC hash) unconfirmed"
"U-5153","structural","0x004ce790","render","search_constants 0x30406 across the binary","alloc arg 0x30406 upper bits may be pool/arena selector in RW memory API; not decomposed"
"U-5154","semantic","0x004ce8e0","render","decomp_function 0x00498810","node[+0x2c] is write callback vs. some other secondary callback; unconfirmed"
"U-5155","semantic","0x004ceba0","render","search_bytes / scan for depth-1 image creation","No depth=1 (monochrome) path — whether Mashed uses it unconfirmed"
"U-5156","semantic","0x004cecb0","render","search_pcode / decomp_function at write sites","Flag bit 0x02 on RwImage — ""palette is shared"" vs. other pixel-ownership flag unconfirmed"
"U-5157","semantic","0x004cf2b0","render","decomp_function thunk_FUN_004c4680","thunk_FUN_004c4680 called when format&3==3; whether this is raster in-place fixup or normalization unconfirmed"
"U-5158","semantic","0x004cf430","render","decomp_function 0x004e1ac0","FUN_004e1ac0 exact _rwPluginRegistry* API (forAll vs. deInit vs. readData) unconfirmed"
"U-5159","structural","0x004cf460","render","decomp_function 0x004d8770","FUN_004d8770 identity (RwStringStreamGetSize vs. other) unconfirmed"
"U-5160","semantic","0x004cf4a0","render","search_pcode for writes to raster+0x23","raster+0x23 bit 0x10 — ""has mipmaps"" vs. ""is render target"" flag unconfirmed"
"U-5161","structural","0x004cf5a0","render","decomp_function FUN_004cf4a0 vs this; map layout","tex+0x50 here vs tex+0x14 in FUN_004cf4a0 for filter/address field — two views of same field or distinct fields unconfirmed"
"U-5162","structural","0x004cf5a0","render","check RwString stream-read helpers for size constraint","128-byte name buffer not range-checked against chunk_size; potential overflow if RW stream serializer doesn't enforce cap"
"U-5190","structural","0x004d1e30","render","list_modules / get_module_exports on d3d9.dll","Vtable offsets CreateDepthStencilSurface=+0x74 CreateTexture=+0x5c GetBackBuffer=+0x14 CreateAdditionalSwapChain=+0x34 inferred from D3D9 vtable layout not independently symbol-confirmed"
"U-5375","structural","0x004d84e0","render","decomp_function all resource-arena callers","No caller observed in Ghidra or prior sessions — cannot confirm call-site context"
"U-5377","semantic","0x004d87a0","render","decomp_function 0x004cc580","0x37002 arg to FUN_004cc580 — exact chunk-type semantic unconfirmed"
"U-5378","semantic","0x004d8eb0","render","decomp_function 0x004e2ff0","FUN_004e2ff0 purpose: zero-arg trailing call; compact/repack/notify unknown"
"U-5379","structural","0x004d8eb0","render","search all PUSH+MOV patterns writing to node[5] offset","Indirect destructor callback at node[5]: resource-node object type unknown"
"U-5380","structural","0x004d8430","render","D-8560 librw_plugin_compat-cont1 decompile session","Ghidra does not recognize function boundary (LAB_ not FUN_)"
"U-5381","structural","0x004d8470","render","D-8560","Ghidra does not recognize function boundary (LAB_ not FUN_)"
"U-5382","structural","0x004d8530","render","D-8560","Ghidra does not recognize function boundary (LAB_ not FUN_)"
"U-5383","semantic","0x004d8530","render","decomp_function 0x004d3db0","FUN_004d3db0 purpose — known only as PipeModule init via this call site"
"U-5384","structural","0x004d8550","render","D-8560","Ghidra does not recognize function boundary (LAB_ not FUN_)"
"U-5385","semantic","0x004d8550","render","cross-check batch-render-5-s5 plate","FUN_004d3d50 purpose — PipeModule teardown via call site only"
"U-5386","structural","0x004d8a80","render","D-8560","Ghidra does not recognize function boundary (LAB_ not FUN_)"
"U-5387","semantic","0x004d8a80","render","decomp_function 0x004e2fa0","FUN_004e2fa0 purpose — arena initializer via this call site"
"U-5388","structural","0x004d8b70","render","D-8560","Ghidra does not recognize function boundary (LAB_ not FUN_)"
"U-5389","semantic","0x004d8b70","render","decomp_function 0x004d8560 (6-byte stub)","FUN_004d8560 always returns 1 with no side effects visible — purpose unknown"
"U-5390","structural","0x004d8fa0","render","D-8560","Ghidra does not recognize function boundary (LAB_ not FUN_)"
"U-5391","semantic","0x004d8fa0","render","decomp_function 0x004cc9e0","FUN_004cc9e0 purpose — 6-arg allocator call site observed"
"U-5392","structural","0x004d8fa0","render","search_pcode / search_constants for DAT_00618428 write site","DAT_00618428 and DAT_0061842c origin unknown (context ptrs loaded but not seen written in this session)"
"U-5403","structural","0x004d9530","render","decomp_function FUN_004d9530 + search_pcode for reads at offset +6*4","Byte at `puVar[6]` cleared during partition reset — role (in-use flag vs. other sentinel) unconfirmed; mechanical description complete without knowing it"
"U-5425","structural","0x004db2e0","render","decomp_function on each callee","FUN_004cdca0/FUN_004cdd60/FUN_004cdd00/FUN_004cecb0 shapes match RtImageNew/RtImageCopy pattern but not verified against exported names"
"U-5426","semantic","0x004db770","render","get_module_exports d3d9.dll or cross-ref D3D9 header","RS 0x88 and 0x89 match D3DRS_FOGENABLE / D3DRS_SPECULARENABLE in D3D9; semantics not verified at runtime"
