rva	klass	shape	arg_type	subsystem	size	reason
004073b0	STATE	-	-	util	237	STATE: reads live global / derefs arg → needs booted game
004074a0	STATE	-	-	gameplay	167	STATE: reads live global / derefs arg → needs booted game
00407550	STATE	-	-	gameplay	35	STATE: reads live global / derefs arg → needs booted game
00407580	STATE	-	-	gameplay	17	STATE: reads live global / derefs arg → needs booted game
00407600	STATE	-	-	util	29	STATE: reads live global / derefs arg → needs booted game
00407800	MANUAL	-	-	gameplay	498	no-clean-ret (multi-exit/tail)
00407b00	MANUAL	-	-	gameplay	99	MANUAL: unrecognized leaf shape
00407be0	STATE	-	-	gameplay	225	STATE: reads live global / derefs arg → needs booted game
00407cd0	STATE	-	-	gameplay	157	STATE: reads live global / derefs arg → needs booted game
00407e20	STATE	-	-	gameplay	1895	STATE: reads live global / derefs arg → needs booted game
00408610	STATE	-	-	gameplay	1073	STATE: reads live global / derefs arg → needs booted game
00408b00	MANUAL	-	-	util	707	no-clean-ret (multi-exit/tail)
00409290	MANUAL	-	-	util	110	MANUAL: unrecognized leaf shape
004093b0	STATE	-	-	gameplay	496	STATE: reads live global / derefs arg → needs booted game
004095a0	MANUAL	-	-	gameplay	214	no-clean-ret (multi-exit/tail)
004096a0	MANUAL	-	-	gameplay	99	MANUAL: unrecognized leaf shape
00409710	MANUAL	-	-	render	119	MANUAL: unrecognized leaf shape
00409790	MANUAL	-	-	gameplay	33	no-clean-ret (multi-exit/tail)
004098d0	AUTO	multi_const_store x4	scalars_to_scattered_globals	gameplay	33	*(uint32_t*)0x008a9584 = 0x00000001u; *(uint32_t*)0x008a9588 = 0x0000000cu; *(uint32_t*)0x008a95b0 = 0x00000000u; *(uint32_t*)0x008a95ac = 0x00000000u;
00409950	AUTO	multi_const_store x3	scalars_to_scattered_globals	gameplay	26	*(uint32_t*)0x008a9584 = 0x00000003u; *(uint32_t*)0x008a9590 = 0x00000003u; *(uint32_t*)0x008a95b0 = 0x00000000u;
00409970	STATE	-	-	gameplay	41	STATE: reads live global / derefs arg → needs booted game
00409a80	MANUAL	-	-	gameplay	71	no-clean-ret (multi-exit/tail)
0040ab40	MANUAL	-	-	util	18	no-clean-ret (multi-exit/tail)
0040ac80	MANUAL	-	-	util	18	no-clean-ret (multi-exit/tail)
0040acd0	MANUAL	-	-	frontend	18	no-clean-ret (multi-exit/tail)
0040ad40	MANUAL	-	-	gameplay	74	MANUAL: unrecognized leaf shape
0040ad90	STATE	-	-	gameplay	148	STATE: reads live global / derefs arg → needs booted game
0040ae30	STATE	-	-	gameplay	189	STATE: reads live global / derefs arg → needs booted game
0040aef0	STATE	-	-	gameplay	409	STATE: reads live global / derefs arg → needs booted game
0040b090	STATE	-	-	render	236	STATE: reads live global / derefs arg → needs booted game
0040b180	STATE	-	-	util	195	STATE: reads live global / derefs arg → needs booted game
0040b540	STATE	-	-	util	221	STATE: reads live global / derefs arg → needs booted game
0040b700	MANUAL	-	-	util	57	no-clean-ret (multi-exit/tail)
0040b930	MANUAL	-	-	gameplay	51	MANUAL: unrecognized leaf shape
0040baa0	STATE	-	-	gameplay	63	STATE: reads live global / derefs arg → needs booted game
0040bae0	MANUAL	-	-	gameplay	44	MANUAL: unrecognized leaf shape
0040bbb0	STATE	-	-	boot	333	STATE: reads live global / derefs arg → needs booted game
0040bd00	STATE	-	-	boot	120	STATE: reads live global / derefs arg → needs booted game
0040bd80	MANUAL	-	-	util	85	no-clean-ret (multi-exit/tail)
0040bde0	STATE	-	-	render	110	STATE: reads live global / derefs arg → needs booted game
0040be50	MANUAL	-	-	gameplay	74	no-clean-ret (multi-exit/tail)
0040c5b0	STATE	-	-	gameplay	209	STATE: reads live global / derefs arg → needs booted game
0040c690	STATE	-	-	gameplay	874	STATE: reads live global / derefs arg → needs booted game
0040ca00	STATE	-	-	gameplay	908	STATE: reads live global / derefs arg → needs booted game
0040cda0	STATE	-	-	gameplay	86	STATE: reads live global / derefs arg → needs booted game
0040ce00	MANUAL	-	-	util	125	no-clean-ret (multi-exit/tail)
0040cea0	STATE	-	-	track	158	STATE: reads live global / derefs arg → needs booted game
0040cf40	STATE	-	-	gameplay	57	STATE: reads live global / derefs arg → needs booted game
0040cf80	MANUAL	-	-	boot	75	no-clean-ret (multi-exit/tail)
0040cfd0	MANUAL	-	-	boot	68	no-clean-ret (multi-exit/tail)
0040d020	STATE	-	-	track	21	STATE: reads live global / derefs arg → needs booted game
0040d040	STATE	-	-	util	201	STATE: reads live global / derefs arg → needs booted game
0040d110	STATE	-	-	track	320	STATE: reads live global / derefs arg → needs booted game
0040d270	STATE	-	-	track	441	STATE: reads live global / derefs arg → needs booted game
0040d440	STATE	-	-	track	34	STATE: reads live global / derefs arg → needs booted game
0040d470	MANUAL	-	-	util	288	no-clean-ret (multi-exit/tail)
0040d590	MANUAL	-	-	frontend	850	MANUAL: unrecognized leaf shape
0040d8f0	STATE	-	-	gameplay	337	STATE: reads live global / derefs arg → needs booted game
0040da50	MANUAL	-	-	util	186	no-clean-ret (multi-exit/tail)
0040dba0	MANUAL	-	-	util	40	no-clean-ret (multi-exit/tail)
0040dbd0	MANUAL	-	-	util	32	no-clean-ret (multi-exit/tail)
0040ddb0	MANUAL	-	-	util	50	no-clean-ret (multi-exit/tail)
0040de10	MANUAL	-	-	util	25	no-clean-ret (multi-exit/tail)
0040de30	STATE	-	-	render	229	STATE: reads live global / derefs arg → needs booted game
0040df20	STATE	-	-	render	57	STATE: reads live global / derefs arg → needs booted game
0040e4b0	MANUAL	-	-	util	73	MANUAL: unrecognized leaf shape
0040e500	STATE	-	-	gameplay	95	STATE: reads live global / derefs arg → needs booted game
0040e560	MANUAL	-	-	util	37	MANUAL: unrecognized leaf shape
0040e590	MANUAL	-	-	util	197	no-clean-ret (multi-exit/tail)
0040fc00	MANUAL	-	-	util	352	no-clean-ret (multi-exit/tail)
004102f0	STATE	-	-	util	172	STATE: reads live global / derefs arg → needs booted game
004103a0	STATE	-	-	util	360	STATE: reads live global / derefs arg → needs booted game
00410860	STATE	-	-	util	592	STATE: reads live global / derefs arg → needs booted game
00410b30	MANUAL	-	-	render	468	no-clean-ret (multi-exit/tail)
00410d10	MANUAL	-	-	vehicle	47	no-clean-ret (multi-exit/tail)
004111c0	MANUAL	-	-	util	145	no-clean-ret (multi-exit/tail)
00411350	STATE	-	-	vehicle	87	STATE: reads live global / derefs arg → needs booted game
004113b0	MANUAL	-	-	boot	260	no-clean-ret (multi-exit/tail)
00411530	STATE	-	-	vehicle	65	STATE: reads live global / derefs arg → needs booted game
00411870	STATE	-	-	vehicle	623	STATE: reads live global / derefs arg → needs booted game
00411ae0	STATE	-	-	vehicle	497	STATE: reads live global / derefs arg → needs booted game
00411ce0	STATE	-	-	vehicle	127	STATE: reads live global / derefs arg → needs booted game
00411d90	MANUAL	-	-	vehicle	410	no-clean-ret (multi-exit/tail)
00411f30	MANUAL	-	-	vehicle	216	no-clean-ret (multi-exit/tail)
00412010	STATE	-	-	gameplay	61	STATE: reads live global / derefs arg → needs booted game
00412050	STATE	-	-	render	165	STATE: reads live global / derefs arg → needs booted game
00412100	STATE	-	-	render	38	STATE: reads live global / derefs arg → needs booted game
00412190	STATE	-	-	render	1159	STATE: reads live global / derefs arg → needs booted game
00412620	STATE	-	-	render	606	STATE: reads live global / derefs arg → needs booted game
00412880	MANUAL	-	-	render	5	no-clean-ret (multi-exit/tail)
00412890	STATE	-	-	boot	86	STATE: reads live global / derefs arg → needs booted game
004128f0	STATE	-	-	hud	1015	STATE: reads live global / derefs arg → needs booted game
00412cf0	STATE	-	-	hud	313	STATE: reads live global / derefs arg → needs booted game
00412e30	STATE	-	-	render	244	STATE: reads live global / derefs arg → needs booted game
00412f30	STATE	-	-	util	2768	STATE: reads live global / derefs arg → needs booted game
00413a00	STATE	-	-	render	64	STATE: reads live global / derefs arg → needs booted game
00413a40	STATE	-	-	render	310	STATE: reads live global / derefs arg → needs booted game
00413b80	MANUAL	-	-	hud	43	MANUAL: unrecognized leaf shape
00413bb0	MANUAL	-	-	hud	12	MANUAL: unrecognized leaf shape
00413cb0	STATE	-	-	hud	622	STATE: reads live global / derefs arg → needs booted game
00413f50	STATE	-	-	hud	64	STATE: reads live global / derefs arg → needs booted game
00414060	STATE	-	-	util	186	STATE: reads live global / derefs arg → needs booted game
00414180	STATE	-	-	util	155	STATE: reads live global / derefs arg → needs booted game
00414220	STATE	-	-	util	213	STATE: reads live global / derefs arg → needs booted game
00414300	STATE	-	-	ai	398	STATE: reads live global / derefs arg → needs booted game
00414490	STATE	-	-	ai	214	STATE: reads live global / derefs arg → needs booted game
00414570	STATE	-	-	ai	821	STATE: reads live global / derefs arg → needs booted game
00414a70	STATE	-	-	ai	447	STATE: reads live global / derefs arg → needs booted game
00414c30	MANUAL	-	-	ai	720	no-clean-ret (multi-exit/tail)
00414f00	STATE	-	-	ai	274	STATE: reads live global / derefs arg → needs booted game
00415190	MANUAL	-	-	ai	105	MANUAL: unrecognized leaf shape
00415200	MANUAL	-	-	ai	32	MANUAL: unrecognized leaf shape
00415220	MANUAL	-	-	ai	177	no-clean-ret (multi-exit/tail)
00415880	MANUAL	-	-	ai	1152	no-clean-ret (multi-exit/tail)
00415e20	STATE	-	-	ai	567	STATE: reads live global / derefs arg → needs booted game
004161e0	STATE	-	-	ai	70	STATE: reads live global / derefs arg → needs booted game
00417370	STATE	-	-	gameplay	44	STATE: reads live global / derefs arg → needs booted game
004173b0	STATE	-	-	gameplay	41	STATE: reads live global / derefs arg → needs booted game
004173e0	STATE	-	-	render	99	STATE: reads live global / derefs arg → needs booted game
00417740	MANUAL	-	-	gameplay	16	no-clean-ret (multi-exit/tail)
00417750	STATE	-	-	gameplay	91	STATE: reads live global / derefs arg → needs booted game
00417cf0	STATE	-	-	ai	171	STATE: reads live global / derefs arg → needs booted game
00418980	MANUAL	-	-	boot	5	no-clean-ret (multi-exit/tail)
00418990	MANUAL	-	-	hud	5	no-clean-ret (multi-exit/tail)
004189a0	MANUAL	-	-	util	24	no-clean-ret (multi-exit/tail)
004189c0	MANUAL	-	-	render	24	no-clean-ret (multi-exit/tail)
004189e0	MANUAL	-	-	boot	5	no-clean-ret (multi-exit/tail)
004189f0	MANUAL	-	-	frontend	5	no-clean-ret (multi-exit/tail)
00418a70	STATE	-	-	render	40	STATE: reads live global / derefs arg → needs booted game
00418aa0	STATE	-	-	render	299	STATE: reads live global / derefs arg → needs booted game
00418bd0	STATE	-	-	render	243	STATE: reads live global / derefs arg → needs booted game
00418db0	STATE	-	-	render	35	STATE: reads live global / derefs arg → needs booted game
00418de0	STATE	-	-	vehicle	73	STATE: reads live global / derefs arg → needs booted game
00418e30	MANUAL	-	-	render	26	MANUAL: unrecognized leaf shape
00418e70	STATE	-	-	gameplay	183	STATE: reads live global / derefs arg → needs booted game
00418f30	MANUAL	-	-	gameplay	12	MANUAL: unrecognized leaf shape
00418f40	MANUAL	-	-	gameplay	12	MANUAL: unrecognized leaf shape
00418f50	STATE	-	-	gameplay	312	STATE: reads live global / derefs arg → needs booted game
00419090	MANUAL	-	-	gameplay	96	MANUAL: unrecognized leaf shape
00419100	MANUAL	-	-	gameplay	192	no-clean-ret (multi-exit/tail)
00419480	STATE	-	-	gameplay	112	STATE: reads live global / derefs arg → needs booted game
004194f0	MANUAL	-	-	gameplay	51	MANUAL: unrecognized leaf shape
00419530	STATE	-	-	gameplay	440	STATE: reads live global / derefs arg → needs booted game
004196f0	MANUAL	-	-	gameplay	109	no-clean-ret (multi-exit/tail)
00419760	MANUAL	-	-	vehicle	113	no-clean-ret (multi-exit/tail)
004197e0	STATE	-	-	gameplay	530	STATE: reads live global / derefs arg → needs booted game
00419a00	MANUAL	-	-	gameplay	26	no-clean-ret (multi-exit/tail)
00419fd0	MANUAL	-	-	gameplay	24	MANUAL: unrecognized leaf shape
00419ff0	MANUAL	-	-	gameplay	97	no-clean-ret (multi-exit/tail)
0041a060	MANUAL	-	-	gameplay	285	no-clean-ret (multi-exit/tail)
0041a180	MANUAL	-	-	gameplay	87	MANUAL: unrecognized leaf shape
0041a1e0	STATE	-	-	boot	111	STATE: reads live global / derefs arg → needs booted game
0041a250	STATE	-	-	hud	378	STATE: reads live global / derefs arg → needs booted game
0041a3d0	STATE	-	-	boot	13	STATE: reads live global / derefs arg → needs booted game
0041a400	STATE	-	-	gameplay	156	STATE: reads live global / derefs arg → needs booted game
0041a5d0	STATE	-	-	gameplay	617	STATE: reads live global / derefs arg → needs booted game
0041a840	STATE	-	-	gameplay	102	STATE: reads live global / derefs arg → needs booted game
0041a8d0	STATE	-	-	gameplay	135	STATE: reads live global / derefs arg → needs booted game
0041a960	MANUAL	-	-	vehicle	20	MANUAL: unrecognized leaf shape
0041a980	MANUAL	-	-	render	45	MANUAL: unrecognized leaf shape
0041a9d0	STATE	-	-	render	232	STATE: reads live global / derefs arg → needs booted game
0041aac0	STATE	-	-	render	403	STATE: reads live global / derefs arg → needs booted game
0041ac60	MANUAL	-	-	render	160	no-clean-ret (multi-exit/tail)
0041ad00	MANUAL	-	-	vehicle	93	MANUAL: unrecognized leaf shape
0041ad60	STATE	-	-	render	72	STATE: reads live global / derefs arg → needs booted game
0041adb0	STATE	-	-	render	102	STATE: reads live global / derefs arg → needs booted game
0041ae60	STATE	-	-	render	145	STATE: reads live global / derefs arg → needs booted game
0041af00	STATE	-	-	render	78	STATE: reads live global / derefs arg → needs booted game
0041af50	STATE	-	-	render	998	STATE: reads live global / derefs arg → needs booted game
0041b340	STATE	-	-	hud	246	STATE: reads live global / derefs arg → needs booted game
0041b440	STATE	-	-	render	11	STATE: reads live global / derefs arg → needs booted game
0041b450	STATE	-	-	boot	123	STATE: reads live global / derefs arg → needs booted game
0041b4d0	STATE	-	-	hud	50	STATE: reads live global / derefs arg → needs booted game
0041b540	STATE	-	-	hud	230	STATE: reads live global / derefs arg → needs booted game
0041b660	STATE	-	-	boot	40	STATE: reads live global / derefs arg → needs booted game
0041b690	MANUAL	-	-	render	136	MANUAL: unrecognized leaf shape
0041b7a0	MANUAL	-	-	render	111	no-clean-ret (multi-exit/tail)
0041bc50	STATE	-	-	hud	603	STATE: reads live global / derefs arg → needs booted game
0041beb0	STATE	-	-	render	14	STATE: reads live global / derefs arg → needs booted game
0041bec0	MANUAL	-	-	boot	87	MANUAL: unrecognized leaf shape
0041bf20	STATE	-	-	hud	226	STATE: reads live global / derefs arg → needs booted game
0041c090	STATE	-	-	hud	46	STATE: reads live global / derefs arg → needs booted game
0041c0e0	MANUAL	-	-	boot	29	MANUAL: unrecognized leaf shape
0041c100	STATE	-	-	boot	117	STATE: reads live global / derefs arg → needs booted game
0041c180	STATE	-	-	hud	311	STATE: reads live global / derefs arg → needs booted game
0041c2c0	STATE	-	-	boot	13	STATE: reads live global / derefs arg → needs booted game
0041c2d0	STATE	-	-	hud	35	STATE: reads live global / derefs arg → needs booted game
0041c320	STATE	-	-	render	91	STATE: reads live global / derefs arg → needs booted game
0041c380	STATE	-	-	render	130	STATE: reads live global / derefs arg → needs booted game
0041c410	MANUAL	-	-	render	260	no-clean-ret (multi-exit/tail)
0041c9a0	MANUAL	-	-	hud	169	no-clean-ret (multi-exit/tail)
0041cb00	STATE	-	-	render	14	STATE: reads live global / derefs arg → needs booted game
0041cb10	STATE	-	-	boot	102	STATE: reads live global / derefs arg → needs booted game
0041cb80	STATE	-	-	util	53	STATE: reads live global / derefs arg → needs booted game
0041cc50	STATE	-	-	hud	101	STATE: reads live global / derefs arg → needs booted game
0041ccf0	STATE	-	-	boot	43	STATE: reads live global / derefs arg → needs booted game
0041cd20	STATE	-	-	render	139	STATE: reads live global / derefs arg → needs booted game
0041ce00	MANUAL	-	-	render	108	no-clean-ret (multi-exit/tail)
0041d410	STATE	-	-	hud	703	STATE: reads live global / derefs arg → needs booted game
0041d6d0	STATE	-	-	render	14	STATE: reads live global / derefs arg → needs booted game
0041d6e0	MANUAL	-	-	boot	65	MANUAL: unrecognized leaf shape
0041d730	STATE	-	-	util	226	STATE: reads live global / derefs arg → needs booted game
0041d830	STATE	-	-	hud	59	STATE: reads live global / derefs arg → needs booted game
0041d870	MANUAL	-	-	hud	29	MANUAL: unrecognized leaf shape
0041d890	MANUAL	-	-	boot	29	MANUAL: unrecognized leaf shape
0041d8b0	STATE	-	-	boot	96	STATE: reads live global / derefs arg → needs booted game
0041da80	STATE	-	-	boot	13	STATE: reads live global / derefs arg → needs booted game
0041db90	STATE	-	-	boot	148	STATE: reads live global / derefs arg → needs booted game
0041dc30	STATE	-	-	frontend	103	STATE: reads live global / derefs arg → needs booted game
0041dca0	MANUAL	-	-	hud	464	no-clean-ret (multi-exit/tail)
0041de70	STATE	-	-	boot	13	STATE: reads live global / derefs arg → needs booted game
0041de80	MANUAL	-	-	hud	67	no-clean-ret (multi-exit/tail)
0041def0	STATE	-	-	boot	389	STATE: reads live global / derefs arg → needs booted game
0041e0d0	STATE	-	-	boot	84	STATE: reads live global / derefs arg → needs booted game
0041e1c0	MANUAL	-	-	gameplay	24	MANUAL: unrecognized leaf shape
0041e1e0	STATE	-	-	gameplay	719	STATE: reads live global / derefs arg → needs booted game
0041e630	STATE	-	-	hud	134	STATE: reads live global / derefs arg → needs booted game
0041e6c0	STATE	-	-	hud	385	STATE: reads live global / derefs arg → needs booted game
0041e850	STATE	-	-	hud	22	STATE: reads live global / derefs arg → needs booted game
0041e8d0	MANUAL	-	-	gameplay	9	no-clean-ret (multi-exit/tail)
0041e8e0	MANUAL	-	-	gameplay	9	no-clean-ret (multi-exit/tail)
0041e900	MANUAL	-	-	gameplay	9	no-clean-ret (multi-exit/tail)
0041e910	MANUAL	-	-	gameplay	9	no-clean-ret (multi-exit/tail)
0041e920	MANUAL	-	-	gameplay	9	no-clean-ret (multi-exit/tail)
0041e930	MANUAL	-	-	gameplay	9	no-clean-ret (multi-exit/tail)
0041e940	MANUAL	-	-	gameplay	9	no-clean-ret (multi-exit/tail)
0041e950	MANUAL	-	-	gameplay	9	no-clean-ret (multi-exit/tail)
0041e960	MANUAL	-	-	ai	9	no-clean-ret (multi-exit/tail)
0041eaa0	STATE	-	-	boot	271	STATE: reads live global / derefs arg → needs booted game
0041ebb0	STATE	-	-	render	76	STATE: reads live global / derefs arg → needs booted game
0041ec00	STATE	-	-	gameplay	182	STATE: reads live global / derefs arg → needs booted game
0041ecc0	MANUAL	-	-	render	122	no-clean-ret (multi-exit/tail)
0041f060	STATE	-	-	gameplay	46	STATE: reads live global / derefs arg → needs booted game
0041f120	STATE	-	-	util	150	STATE: reads live global / derefs arg → needs booted game
0041f1e0	STATE	-	-	util	51	STATE: reads live global / derefs arg → needs booted game
0041f220	STATE	-	-	gameplay	51	STATE: reads live global / derefs arg → needs booted game
0041f290	STATE	-	-	gameplay	36	STATE: reads live global / derefs arg → needs booted game
0041f2c0	STATE	-	-	gameplay	52	STATE: reads live global / derefs arg → needs booted game
0041f3d0	STATE	-	-	gameplay	281	STATE: reads live global / derefs arg → needs booted game
0041f4f0	STATE	-	-	gameplay	158	STATE: reads live global / derefs arg → needs booted game
0041f590	STATE	-	-	gameplay	384	STATE: reads live global / derefs arg → needs booted game
0041f710	STATE	-	-	gameplay	88	STATE: reads live global / derefs arg → needs booted game
0041f770	MANUAL	-	-	gameplay	272	no-clean-ret (multi-exit/tail)
0041f880	STATE	-	-	gameplay	112	STATE: reads live global / derefs arg → needs booted game
0041f8f0	STATE	-	-	render	500	STATE: reads live global / derefs arg → needs booted game
0041faf0	STATE	-	-	render	458	STATE: reads live global / derefs arg → needs booted game
0041fcc0	STATE	-	-	render	329	STATE: reads live global / derefs arg → needs booted game
0041fe10	MANUAL	-	-	gameplay	89	no-clean-ret (multi-exit/tail)
0041ffb0	STATE	-	-	boot	157	STATE: reads live global / derefs arg → needs booted game
00420050	STATE	-	-	render	474	STATE: reads live global / derefs arg → needs booted game
00420230	STATE	-	-	track	83	STATE: reads live global / derefs arg → needs booted game
00420290	MANUAL	-	-	gameplay	176	no-clean-ret (multi-exit/tail)
00420340	STATE	-	-	gameplay	217	STATE: reads live global / derefs arg → needs booted game
00420420	MANUAL	-	-	track	1099	no-clean-ret (multi-exit/tail)
00420870	MANUAL	-	-	gameplay	458	no-clean-ret (multi-exit/tail)
00420d00	STATE	-	-	boot	59	STATE: reads live global / derefs arg → needs booted game
00420e00	STATE	-	-	gameplay	594	STATE: reads live global / derefs arg → needs booted game
004210b0	MANUAL	-	-	gameplay	55	MANUAL: unrecognized leaf shape
004210f0	MANUAL	-	-	gameplay	12	MANUAL: unrecognized leaf shape
00421100	STATE	-	-	render	83	STATE: reads live global / derefs arg → needs booted game
00421160	STATE	-	-	render	327	STATE: reads live global / derefs arg → needs booted game
004212b0	STATE	-	-	render	685	STATE: reads live global / derefs arg → needs booted game
00421560	STATE	-	-	render	39	STATE: reads live global / derefs arg → needs booted game
00421590	MANUAL	-	-	boot	5	no-clean-ret (multi-exit/tail)
004215a0	MANUAL	-	-	util	24	MANUAL: unrecognized leaf shape
004215e0	STATE	-	-	render	65	STATE: reads live global / derefs arg → needs booted game
00421630	STATE	-	-	render	95	STATE: reads live global / derefs arg → needs booted game
00421690	STATE	-	-	render	22	STATE: reads live global / derefs arg → needs booted game
004216b0	STATE	-	-	render	97	STATE: reads live global / derefs arg → needs booted game
00421720	MANUAL	-	-	render	33	MANUAL: unrecognized leaf shape
00421750	STATE	-	-	render	165	STATE: reads live global / derefs arg → needs booted game
00421800	STATE	-	-	render	164	STATE: reads live global / derefs arg → needs booted game
004218b0	MANUAL	-	-	render	31	MANUAL: unrecognized leaf shape
004218d0	MANUAL	-	-	render	87	MANUAL: unrecognized leaf shape
00421930	STATE	-	-	render	35	STATE: reads live global / derefs arg → needs booted game
00421960	STATE	-	-	audio	30	STATE: reads live global / derefs arg → needs booted game
00421980	STATE	-	-	render	26	STATE: reads live global / derefs arg → needs booted game
004219a0	MANUAL	-	-	ai	19	no-clean-ret (multi-exit/tail)
004219c0	STATE	-	-	render	42	STATE: reads live global / derefs arg → needs booted game
004219f0	STATE	-	-	util	155	STATE: reads live global / derefs arg → needs booted game
00421a90	STATE	-	-	render	262	STATE: reads live global / derefs arg → needs booted game
00421ba0	STATE	-	-	render	99	STATE: reads live global / derefs arg → needs booted game
00421c10	STATE	-	-	render	64	STATE: reads live global / derefs arg → needs booted game
00421c50	MANUAL	-	-	render	37	MANUAL: unrecognized leaf shape
00421c80	STATE	-	-	render	147	STATE: reads live global / derefs arg → needs booted game
00421d20	STATE	-	-	util	939	STATE: reads live global / derefs arg → needs booted game
004220d0	STATE	-	-	render	80	STATE: reads live global / derefs arg → needs booted game
00422140	MANUAL	-	-	render	31	MANUAL: unrecognized leaf shape
00422160	STATE	-	-	render	289	STATE: reads live global / derefs arg → needs booted game
00422290	MANUAL	-	-	render	33	MANUAL: unrecognized leaf shape
004222d0	MANUAL	-	-	util	29	MANUAL: unrecognized leaf shape
004223b0	STATE	-	-	render	51	STATE: reads live global / derefs arg → needs booted game
00422470	STATE	-	-	frontend	94	STATE: reads live global / derefs arg → needs booted game
004224d0	STATE	-	-	frontend	158	STATE: reads live global / derefs arg → needs booted game
00422570	STATE	-	-	render	890	STATE: reads live global / derefs arg → needs booted game
004228f0	STATE	-	-	render	399	STATE: reads live global / derefs arg → needs booted game
00422ba0	MANUAL	-	-	ai	1072	no-clean-ret (multi-exit/tail)
