rva	name	subsystem	handler	notes
00494f00	thunk_FUN_00494a80	util	void_setter_observe	4-byte thunk to FUN_00494a80; alloc 0x84 via FUN_004c77c0; FUN_004944c0(p2); DAT_00771A04=1; DAT_00771A08=p3; D-10366 
00431b40	FUN_00431b40	boot	void_setter_observe	setter DAT_0067eaa8=param_1; skeleton_prep_s3 
004840d0	FUN_004840d0	vehicle	int_scalar	" joint pointer getter: bounds [0 | C1->C2 batch_ak sweep-20260603-0116,3]; returns DAT_006ce81c[param_1]; 2 callers" 
004d71f0	FUN_004d71f0	render	read_global	trivial getter: returns DAT_007d6b10 (texturing-override flag); read-accessor companion of FUN_004d7100; 3 callers; U-53
0049a0e0	FUN_0049a0e0	render	void_setter_observe	rain mode selector; DAT_00636ad4 guard; reads DAT_00771e58+0xc4/0xcc; sets DAT_00773968=0/1/2; calls mode-1 init or mode
0049a2e0	FUN_0049a2e0	render	void_setter_observe	setter: DAT_0077396c = param_1; mode-2 param store; caller FUN_0049a0a0; | batch-render-3-s2 plate at re/analysis/render
0049a740	FUN_0049a740	render	void_setter_observe	setter: DAT_00773978 = param_1; mode-1 param store; caller FUN_0049a0a0; | batch-render-3-s2 plate at re/analysis/render
00487df0	FUN_00487df0	particle	void_setter_observe	batch-ac-s2: DAT_00703058 = 0 (clear emitter count) 
004b68e0	FUN_004b68e0	render	read_global	one-line getter returns DAT_007d3e4c (0x007d3e4c); leaf; archive-loaded flag; batch-render-3-s6 plate at re/analysis/ren
004d7bc0	FUN_004d7bc0	render	int_scalar	texture filter-mode setter; lookup DAT_005d8c48[param_1*4]→DAT_007d5840; queues byte 9; guard DAT_007d6b2c; 1 caller FUN
004d7c10	FUN_004d7c10	render	int_scalar	texture address-mode setter; lookup DAT_005d8d18[param_1*4]→DAT_007d58a8; queues byte 0x16; guard DAT_007d6b18; 1 caller
00426b40	FUN_00426b40	frontend	void_setter_observe	subsystem teardown dispatcher: calls 10 cleanup functions; writes DAT_0066d704=0; includes FUN_00425ea0 (C2) 
