"ID","Type","Where","Stmt","Ev","Path"
"U-4423","semantic","0x00475ef0 (FUN_00475ef0)","**VALUE READ 2026-09-11, meaning still open.** `DAT_00613254` is read from the anchored `original/MASHED.exe.unpatched`, section `.data` vaddr 0x1ea000, file offset 0x213254: bytes `00 00 00 40 00 00 00 40 00 00 80 3f 00 00 80 3f`, dword `0x40000000`, **float `2.0`**. The three following dwords are `0x40000000`, `0x3f800000`, `0x3f800000` (`2.0, 1.0, 1.0`), i.e. it sits in a float table. **This does NOT resolve the row:** the row also asks what consumes the `+0xc0` field of the 0xd8-byte struct, and `FUN_004770c0` was decompiled this session and contains **no reference to offset 0xc0**, so no reader is identified yet. Type answered (IEEE-754 float 2.0), meaning open. Keeps gating.","memory_read of DAT_00613254 + decomp of FUN_004770c0 to see what uses that field","memory_read 0x00613254"
"U-4500","structural","0x00477490 (FUN_00477490)","unaff_ESI calling convention: Ghidra shows ESI implicit; single caller FUN_004777d0 must confirm if ESI is set as ""this""","Decomp of FUN_004777d0","decomp_function FUN_004777d0"
"U-4503","structural","0x00477500 (FUN_00477500)","Vtable offset 0x48 assumed RpAtomicRender; needs cross-check against known RW3 vtable layout","RW3 headers or reference decomp of a known RpAtomic call site","Cross-reference gta-reversed RpAtomic vtable"
"U-4504","structural","0x00477580 (FUN_00477580)","FUN_004c0c20 purpose: geometry instance destroy or unlock?","Decomp of FUN_004c0c20","decomp_function 0x004c0c20"
"U-4507","semantic","0x00477760 (FUN_00477760)","FUN_00477450 param_4/param_5 semantics: likely scale+lifetime but not confirmed","Decomp of FUN_00477450","decomp_function 0x00477450"
"U-4509","semantic","0x00477870 (FUN_00477870)","FUN_005495b0 purpose: destroy geometry or geometry-instance?","Decomp of FUN_005495b0","decomp_function 0x005495b0"
"U-4510","structural","0x004778e0 (FUN_004778e0)","unaff_ESI calling convention: ESI carries slot index; callers must set ESI before call","Decomp of FUN_00477920 and FUN_00477a10 around call sites","decomp_function callers"
"U-4512","semantic","0x00477be0 (FUN_00477be0)","UV V = (float)count convention: segment index used as V coord or as shader param?","Inspect trail render function that consumes this pool","find trail render callee of pool"
"U-4514","structural","0x00477e40 (FUN_00477e40)","FUN_0040bb30 purpose: load TXD or other resource at DAT_005ceb10?","Decomp of FUN_0040bb30 + memory_read 0x005ceb10","decomp_function 0x0040bb30 + memory_read"
"U-4515","semantic","0x00477e60 (FUN_00477e60)","Winding order: cross product is (C-B)x(A-B); caller convention (CW vs CCW) not determined","Inspect callers FUN_00422570 and FUN_0047bb10 for vertex ordering","decomp_function callers"
"U-4517","semantic","0x00478030 (FUN_00478030)","Usage context: frustum-plane clip test vs portal-visibility test — caller FUN_0047c1f0 not inspected","Decomp of FUN_0047c1f0","decomp_function 0x0047c1f0"
"U-4575","structural","0x00487e20 (thunk_FUN_00535700)","FUN_00535700 target: offset pair table (+0x4c..+0x90) semantics — likely RWS stream descriptors but not mapped","decomp_function FUN_00535700 and cross-reference with RenderWare mesh headers","decomp_function 0x00535700"
"U-4577","semantic","0x004891f0 (FUN_004891f0)","vtable slot indices 8/6 and arg values 0/1 for the render-state calls — meaning not established from decomp alone","cross-reference vtable object at DAT_007d3ff8 to identify render-state function","function_at 0x007d3ff8 vtable layout"
"U-4580","structural","0x0048ebf0 (FUN_0048ebf0)","Full semantic names of per-particle arrays at offsets DAT_0076d9b0..DAT_0076ddc8 not established","cross-reference array bases with FUN_00490500 full decomp","decomp_function 0x00490500 (large, deferred)"
"U-4583","semantic","0x0048fd70 (FUN_0048fd70)","**NOT RESOLVED - the pass-3 claim does not address this row.** The row asks for the **semantic names** of the six pool blocks at `DAT_0076d900` / `DAT_0076d940` / `DAT_00766978` / `DAT_006668f8` / `DAT_00766f00` / `DAT_007706d8`. The evidence offered was a vtable dispatch `(**(code **)(*(int *)(param_1 + 4) + 0x48))();` in `FUN_004770a0` plus the full body of `FUN_00490500`, neither of which names or distinguishes the six blocks. Naming them needs the WRITERS of each global, which is the data-xref lane. Reviewed and refused 2026-09-11; keeps gating.","cross-reference those globals in FUN_00490500 (render update) and FUN_0048ebf0","decomp_function 0x00490500 (deferred)"
"U-4586","structural","0x00490020 (FUN_00490020)","**PARTIAL, reviewed 2026-09-11 - the claim gives the index formula, not the mapping the row asks for.** `FUN_0041f290` reaches the bone through `FUN_004c0ed0(*(undefined4 *)(*(int *)(&DAT_0063d9e0 + (param_1 * 0xab + param_2) * 4) + 4));`, so the table is at `&DAT_0063d9e0`, indexed by `param_1 * 0xab + param_2` with a dword stride and a `+4` hop. That is the addressing, and it is now settled. **What is still missing is unchanged:** which skeleton joints IDs 0x33 and 0x34 denote. That needs the table's contents or a runtime read, not this call. Keeps gating.","decomp_function FUN_0041f290 + cross-ref bone ID table","decomp_function 0x0041f290"
"U-4600","semantic","0x00490e70 (FUN_00490e70)","DAT_00771538 / DAT_0077153c both set to 0 in default init — Y-range pair purpose (height band, displacement, or unused channel) not determined","Decomp of FUN_00490fb0 callers to see how the Y-range is used at runtime","decomp callers of FUN_00490fb0"
"U-4601","semantic","0x00490fb0 (FUN_00490fb0)","DAT_00771538 / DAT_0077153c — exact role in spawn region (Y-axis height vs other axis) not confirmed from setter alone","Decomp of FUN_00491590 to trace how these values are consumed","decomp_function FUN_00491590 consumer path"
"U-4603","structural","0x004910c0 (FUN_004910c0)","FUN_004c1b10 (0x004c1b10) — sets render state with arg 0x3f4ccccd; exact D3D states affected unknown","Decomp of FUN_004c1b10","decomp_function 0x004c1b10"
"U-4604","semantic","0x00491340 (FUN_00491340)","**NO NEW EVIDENCE 2026-09-11 - the two functions the row named cannot answer it.** Both were decompiled this round and both are bare global getters: `FUN_0042b930` is 6 bytes, `return DAT_0067ecb0;`, and `FUN_0042f510` is 6 bytes, `return DAT_0067f190;`. Neither touches a coordinate, a transform or a space, so the row's stated path is a dead end. Deciding whether the 3-float stride-0xc entries at `DAT_0077152c` are object-local or world needs a transform site or a runtime read, not these callees. Path corrected; keeps gating.","Decomp of FUN_00491590 table-fill path","decomp_function FUN_00491590 table fill"
"U-4606","structural","0x004914b0 (RainRender)","DAT_007d3ff8+0x20 vtable call args (6,1),(8,1),(0xc,1),(9,2) — specific D3D9 RenderState enum values not decoded","Cross-ref against D3D9 enum RENDERSTATETYPE and other vtable call sites","search D3DRENDERSTATETYPE constants 6/8/9/0xc"
"U-4700","semantic","0x00494b65 (FUN_00494b65)","Reference blocks DAT_005d0c1c, DAT_005d0cac, DAT_005d0c7c — could be GUIDs or capability descriptor fields; producers unknown","Trace writers to 0x005d0c1c/0xac/0x7c","reference_to each address"
"U-4701","structural","0x00494b65 (FUN_00494b65)","Zero callers via Ghidra — function is likely called via vtable or function pointer; calling context unknown","Search for address stored in data tables","search_bytes 65 4b 49 00"
"U-4702","structural","0x00494c60 (FUN_00494c60)","Class whose destructor this serves is unknown — no callers via Ghidra; likely vtable-referenced","Search for address in data","search_bytes 60 4c 49 00"
"U-4703","structural","0x00494f40 (FUN_00494f40)","In-EAX struct type unconfirmed — layout matches D3DGAMMARAMP but not confirmed","Cross-ref FUN_00494fd0 context and caller FUN_00495080 for struct type","decomp FUN_00495080"
"U-4704","structural","0x00494fd0 (FUN_00494fd0)","unaff_ESI type unknown — vtable offsets +0x1c/+0x54/+0x58 suggest IDirect3DDevice9 wrapper or RwDevice","Trace ESI producer in FUN_00495080","decomp_function FUN_00495080"
"U-4705","structural","0x00494fd0 (FUN_00494fd0)","Stack vars uStack_10/uStack_c as gamma float params — producer in FUN_00495080 not traced","Decomp of FUN_00495080 to find stack frame","decomp_function FUN_00495080"
"U-4707","structural","0x00496940 (FUN_00496940)","**PARTIAL, reviewed 2026-09-11 - behaviour is now read, the RenderWare NAME is still unconfirmed.** `FUN_004c77c0` allocates through the shared vtable with tag `(**(code **)(DAT_007d3ff8 + 0x118))(...,0x30407)`, initialises fields, invokes `(*pcVar1)(0,iVar2,param_4)` and registers via `FUN_004d8000`. That is consistent with a raster constructor but **does not confirm the identity `RwRasterCreate`**, which is an external-reference question (RW headers or librw), not something this body can settle. Claiming the name off behavioural resemblance is exactly the inference NO-GUESSING forbids. Keeps gating.","Cross-ref other callers of FUN_004c77c0","function_callers FUN_004c77c0"
"U-4708","structural","0x004969a0 (FUN_004969a0)","Vtable slot semantics at DAT_007d3ff8+0x20 and +0x2c inferred from argument patterns; exact D3D render-state mnemonics not confirmed","Decode vtable layout at DAT_007d3ff8","decomp callers / search_constants"
"U-4709","structural","0x004969a0 (FUN_004969a0)","this-object type (EAX) unknown — likely RW camera or Mashed render context","Trace EAX producer in FUN_00496c10","decomp_function FUN_00496c10 ESI/EAX origin"
"U-4710","structural","0x00496c10 (FUN_00496c10)","Two null-vtable calls (**(piVar1+8)) at end — likely Ghidra type recovery failure masking real object pointer","Read raw bytes at the call sites","memory_read around 0x00496cbe"
"U-4711","semantic","0x00496c10 (FUN_00496c10)","**ONLY WRITER SETS IT TO ZERO 2026-09-11, so the assignment is indirect.** `decomp_pc.py --datarefs` over the anchored program (reference-manager query, writes and reads separated) gives exactly one direct write to `DAT_00636b70`: `0x0040366f MOV dword ptr [0x00636b70],0x0` in `FUN_00403660` - a clear, not an assignment - against 6 reads including `0x00496c13` in this row's own function. Its file-image value is also `0x00000000`. So whatever texture or surface it eventually holds is stored through a computed pointer that the reference model does not resolve, and chasing direct writers is a dead end for this row. Keeps gating, with the search redirected.","Trace writers to 0x00636b70","reference_to 0x00636b70"
"U-4713","structural","0x00496ec0 (FUN_00496ec0)","Row negation semantics — inverse-transpose for normals vs full view matrix","Trace usage of result in FUN_00497060","decomp_function FUN_00497060 output consumers"
"U-4715","structural","0x00497060 (FUN_00497060)","Assignment of auStack_4c/auStack_8c/puStack_10c to specific matrices (view/proj/VP) requires trace","Trace matrix multiply result placement","decomp tokens + pcode_function 0x00497060"
"U-4716","semantic","0x00498a00 (FUN_00498a00)","**CALLER ENUMERATION COMPLETE 2026-09-11 - and it reframes the question.** There are exactly **three** callers of `0x00498a00`, from `--callers`/`--xrefs`: `FUN_00498d60` (call at `0x00498dd4`), `FUN_00498ea0` (`0x00498eff`) and `FUN_00499400` (`0x00499498`). **None of them passes a flag word.** Each passes a single pointer: `FUN_00498a00(local_44);`, `FUN_00498a00(&DAT_0077330c);` and `FUN_00498a00(&uStack_44);`. So `unaff_EBX` is that pointer and `unaff_EBX[3]` is the dword at `+0xc` of the pointed-to struct, meaning the bits are set by each caller while it fills its own struct, not chosen at the call. Two callers pass a stack local and one passes the global `DAT_0077330c`. **Bounded next step:** read what each caller writes to `+0xc` of its buffer before the call. Keeps gating.","Enumerate all callers and their flag usage","function_callers 0x00498a00 + decomp each"
"U-4725","structural","0x00499d90 (FUN_00499d90)","DAT_007e2580 vertex scratch buffer size not confirmed — could overflow if param_2 > static allocation; buffer bounds not traced","Trace allocation of DAT_007e2580; check caller pass-in of param_2=0x380","memory_block at 0x007e2580; caller RainRender at 0x004914b0"
"U-4726","semantic","0x0049a0e0 (FUN_0049a0e0)","**SINGLE WRITER IDENTIFIED 2026-09-11.** `decomp_pc.py --datarefs` over the anchored program (reference-manager query, writes and reads separated) gives exactly one write to `DAT_00771e58`: `0x00495229 MOV [0x00771e58],EAX` in `FUN_004951f0`, with only 3 references in total. Naming the `+0xc4` / `+0xcc` u16 fields needs that function's body, which is the single bounded next step. Note `FUN_004951f0` is the function the `skip_selector` boot patch targets (`0x004951f0`), so read it against `MASHED.exe.unpatched`, not the patched binary. Keeps gating.","Trace DAT_00771e58 writes; check struct definition in sky_weather analysis","reference_to DAT_00771e58; search_constants 0x771e58"
"U-4727","semantic","0x0049aae0 (FUN_0049aae0)","FUN_004cbad0 and FUN_004cbb20 — resource allocator semantics (vertex buffer? index buffer? generic pool?) not confirmed","Decomp FUN_004cbad0 and FUN_004cbb20","decomp_function 0x004cbad0 0x004cbb20"
"U-4728","semantic","0x004b3c60 (FUN_004b3c60)","Chunk type 0x0b (11 decimal) — RenderWare chunk ID 11 not confirmed against RW3 chunk type table; FUN_004e99b0 processor semantic unknown","Cross-ref RW3 chunk ID 0x0b against known RW chunk table; decomp FUN_004e99b0","search_text RW chunk 0x0b; decomp_function 0x004e99b0"
"U-4780","structural","0x004b51d0 (FUN_004b51d0)","**REFRAMED 2026-09-11: the question is wrong - the function uses MORE arguments than Ghidra declared, not fewer.** Disassembly shows it reading stack slots above its own frame at points where ESP sits 0x40c to 0x41c below the entry value (after `0x004b51d4 sub esp,0x400` plus the `push ebx` / `push esi` / `push ebp` / `push edi` sequence): `0x004b51f3 mov ebp,dword ptr [esp + 0x420]`, `0x004b5200 mov edx,dword ptr [esp + 0x420]` and `0x004b5213 mov ecx,dword ptr [esp + 0x424]`. Those land in the caller's argument area, past the three parameters in the signature, and they feed the loop body `push ebp / push edx / push edi / call 0x4b5190`. So `param_3` is not evidence of an unused parameter - the signature is simply incomplete. **Deliberately NOT claimed:** the exact slot-to-parameter mapping. Getting it right needs careful ESP accounting across four pushes and an unbalanced call, and an off-by-one there would be worse than leaving it open. Keeps gating, with the question restated.","Raw asm inspection at 0x004b51d0 for actual argument count","listing_disassemble_range 0x004b51d0..0x004b5231"
"U-4801","structural","0x004b55a0 (FUN_004b55a0)","DAT_007d3ff8+0x20 vtable call arg pairs (7,1),(1,0),(0xC,1) — exact RenderState enum values not decoded; `DAT_005cc320` reciprocal-W constant value not read","memory_read 0x005cc320; cross-ref D3DRENDERSTATETYPE","memory_read + search"
"U-4806","structural","0x004b61c0 (FUN_004b61c0)","`*piVar1+4` index buffer stride: ushort-pair per entry (+8 bytes) assumed from loop increment; exact index format not confirmed from vertex buffer type","Decomp callers that build the index buffer; check stride 8 per face","decomp_function callers + trace piVar1 construction"
"U-4931","semantic","0x004c5470 (FUN_004c5470)","""RwMatrixQueryRotate"" name — strong structural match to RW SDK API but single caller 0x00406ce0 not yet confirmed as RW frame/camera function","Decomp 0x00406ce0; cross-check vs librw RwMatrixQueryRotate","decomp_function + librw cross-ref"
"U-4977","structural","0x004c7620 (FUN_004c7620)","Identity of vtable slot `DAT_007d3ff8 + 0xa8` — raw offset, RW name unknown","Cross-ref RW3.x vtable layout","search_text RW vtable"
"U-4978","structural","0x004c7620 (FUN_004c7620)","Semantic meaning of bits 3,4 at `param_1+0x22` cleared by `& 0xe7` — field name/purpose not identified","Decomp callers + check surrounding raster struct fields","decomp_function callers + layout_struct_get"
"U-4979","structural","0x004c7650 (FUN_004c7650)","Identity of vtable slot `DAT_007d3ff8 + 0x5c` — raw offset, RW name unknown","Cross-ref RW3.x vtable layout","search_text RW vtable"
"U-4980","structural","0x004c7650 (FUN_004c7650)","Identity of vtable slot `DAT_007d3ff8 + 0x11c` — raw offset, likely dealloc/destructor dispatch; name not confirmed","Cross-ref RW3.x vtable layout + callee analysis","search_text + decomp_function"
"U-4981","structural","0x004c76c0 (FUN_004c76c0)","Identity of vtable slot `DAT_007d3ff8 + 0xa4` — raw offset, RW name unknown","Cross-ref RW3.x vtable layout","search_text RW vtable"
"U-4984","structural","0x004c7760 (FUN_004c7760)","Semantic meaning of sign bit at `param_1+0x21` — guards raster-copy eligibility; field name not identified","Decomp callers + raster struct layout","decomp_function + layout_struct_get"
"U-4985","structural","0x004c7760 (FUN_004c7760)","Identity of vtable slot `DAT_007d3ff8 + 0x78` — raw offset, RW name unknown","Cross-ref RW3.x vtable layout","search_text RW vtable"
"U-4987","structural","0x004c79f0 (FUN_004c79f0)","Identity of D3D device vtable slot `*DAT_007d4110 + 0x9c` — shader-set D3D9 operation not named","Cross-ref D3D9 vtable layout (IDirect3DDevice9) slot 0x9c/4=39","D3D9 vtable doc cross-ref"
"U-4988","structural","0x004c7a20 (FUN_004c7a20)","Identity of D3D device vtable slot `*DAT_007d4110 + 0x94` — likely SetStreamSource (slot 38); name not confirmed","Cross-ref D3D9 vtable layout slot 0x94/4=37","D3D9 vtable doc cross-ref"
"U-5025","cosmetic","0x004cb490 (FUN_004cb490)","Name/purpose of the 16-dword block copied from DAT_007d4158 table not established; raw copy observed","Trace callers FUN_0049a2f0 and FUN_005422c0 to identify table semantics","decomp_function on callers"
"U-5026","structural","0x004cb4c0 (FUN_004cb4c0)","Vtable+0xb0 assumed to be IDirect3DDevice9::SetTransform (D3DTS_WORLD=0x100) based on standard D3D9 vtable layout; not verified against actual vtable","list_modules / get_module_exports on d3d9.dll or compare vtable offset against RW D3D9 plugin","d3d9 vtable introspection"
"U-5029","structural","0x004cb840 (FUN_004cb840)","Primitive type constant 8 does not match any standard D3DPRIMITIVETYPE (max valid = 6=D3DPT_TRIANGLEFAN); arg roles (param_1*2, literal 8, 0x65, 1, param_2, 0) unclear","Trace callers FUN_004f13d0 / FUN_004f1b00 to understand draw call context","decomp_function on callers"
"U-5033","structural","0x004cbb00 (FUN_004cbb00)","3 args passed (stage, param_2, param_3) but standard D3D9 SetTexture takes (stage, texture); third arg role unclear","Trace caller FUN_0049a750 to see what is passed as param_3","decomp_function on caller"
"U-5038","structural","0x004cbbd0 (FUN_004cbbd0)","Sign-byte extraction at raw pfVar1+0x11/+0x12 for n-vertex AABB selection and AABB layout (stride -0xc, base +0x14) are non-obvious; exact byte layout of D3DPLANE struct and AABB layout not confirmed","Verify plane struct layout (5 floats = [nx,ny,nz,d,signBytes]) and AABB layout at call site","decomp_function on caller FUN_004ec130"
"U-5100","cosmetic","0x004cc580 (FUN_004cc580)","Bit-pack formula for param_4/param_5 in local_4 — raw encoding observed but RW SDK name (version field?) not confirmed","Cross-ref RW3.x rwChunkHeaderInfo or equivalent struct","search_text + RW SDK headers"
"U-5101","cosmetic","0x004cc790 (FUN_004cc790)","RW error code 0x8000001a — raw hex observed; SDK mnemonic (rwERROR_INVALIDSTREAM?) not confirmed","Cross-ref RW3.x error code table","search_text RW error definitions"
"U-5103","structural","0x004cc9e0 (thunk_FUN_004cc820)","**WRITE SET COMPLETE 2026-09-11.** `decomp_pc.py --datarefs` over the anchored program (reference-manager query, writes and reads separated) gives three writes to `DAT_007d45fc`: `0x004cce53 MOV [0x007d45fc],EAX` in `FUN_004cce20`, and `0x004cd028` / `0x004cd049` (both `MOV dword ptr [0x007d45fc],EBP`, both in `FUN_004ccf20`), against 7 reads. Two distinct producers, one of which writes it twice. Confirming the pool/freelist role needs those two bodies. Keeps gating.","Trace all writes to 0x007d45fc","reference_to on 0x007d45fc"
"U-5104","cosmetic","0x004ccce0 (FUN_004ccce0)","SDK name of this pool iterator — observationally visits all allocated elements and fires callback; likely RwPluginRegistryForAllObjectCBs or similar","Cross-ref RW3 plugin registry API","search_text + RW SDK"
"U-5106","structural","0x004ccf20 (FUN_004ccf20)","Ownership-flag byte at pool_base-1 (bit 0) — controls vtable+0x10c vs vtable+0x11c free path; exact semantics vs FUN_004cc820 param_5[6] (writes 2 or 3) unclear","Cross-ref FUN_004cc820 allocation path and pool header layout","decomp_function on FUN_004cc820"
"U-5108","cosmetic","0x004cd500 (FUN_004cd500)","SDK identity of Im3D pipeline set/reset function — likely RwIm3DSetTransformPipeline or equivalent but not confirmed","Cross-ref RW3.x Im3D pipeline API","search_text RW Im3D API"
"U-5127","structural","0x004cdf20 (FUN_004cdf20)","Flag bit 0x02 meaning — preserved across cross-depth copy, never cleared; may be ""palette-owned-by-image"" or external flag","Trace callers of RwImageCopy; cross-ref RW image flags enum","decomp_function on callers"
"U-5128","structural","0x004ce390 (FUN_004ce390)","FUN_004ce690 callback identity — called with (filename, &handler); may be RwImageReadCallback or RwImageFindFileTypeCallback","Decomp 0x004ce690","decomp_function"
"U-5152","structural","0x004ce790 (FUN_004ce790)","**OBJECT IDENTIFIED 2026-09-11, slot NAME still needs an external reference.** `DAT_007d3ff8` is a pointer to the structure at `DAT_007d3ec8`: two of its six writes store the literal address, `0x004c31e9 MOV dword ptr [0x007d3ff8],0x7d3ec8` and `0x004c32b7`, and the block itself is filled by `MOVSD.REP` at `0x004c307a` / `0x004c31cd` (see [[U-0091]]). So the object behind every `DAT_007d3ff8 + N` dispatch in the tree is that 300-byte block. **What this does NOT give is the RenderWare API name for the slot** - that needs RW headers or librw, not the binary, and guessing it from behaviour is the inference NO-GUESSING forbids (the same refusal as [[U-4707]]). Keeps gating; this is now the NEEDS-EXTERNAL lane. Slots in question: `+0xf8` and `+0xfc`.","decomp callers of vtable[0xfc]/[0xf8] slots","cross-check vtable slot usage in other register paths"
"U-5153","structural","0x004ce790 (FUN_004ce790)","alloc arg 0x30406 upper bits may be pool/arena selector in RW memory API; not decomposed","cross-check other 0x3xxxx alloc sites","search_constants 0x30406 across the binary"
"U-5154","semantic","0x004ce8e0 (FUN_004ce8e0)","node[+0x2c] is write callback vs. some other secondary callback; unconfirmed","decomp FUN_00498810 (single caller) for context","decomp_function 0x00498810"
"U-5155","semantic","0x004ceba0 (FUN_004ceba0)","No depth=1 (monochrome) path — whether Mashed uses it unconfirmed","search image load sites for depth=1 assets","search_bytes / scan for depth-1 image creation"
"U-5156","semantic","0x004cecb0 (FUN_004cecb0)","Flag bit 0x02 on RwImage — ""palette is shared"" vs. other pixel-ownership flag unconfirmed","cross-check all sites writing/reading bit 0x02 on RwImage","search_pcode / decomp_function at write sites"
"U-5160","semantic","0x004cf4a0 (FUN_004cf4a0)","raster+0x23 bit 0x10 — ""has mipmaps"" vs. ""is render target"" flag unconfirmed","trace raster+0x23 write sites in creation paths","search_pcode for writes to raster+0x23"
