"ID","RVA","Conf","Blocks","Where"
"U-4716","0x00498a00","C2","C2->C3","0x00498a00 (FUN_00498a00)"
"U-4717","0x00498ea0","C2","C2->C3","0x00498ea0 (FUN_00498ea0)"
"U-4718","0x00498ea0","C2","C2->C3","0x00498ea0 (FUN_00498ea0)"
"U-4719","0x00498e40","C2","C2->C3","0x00498e40 (FUN_00498e40)"
"U-4725","0x00499d90","C2","C2->C3","0x00499d90 (FUN_00499d90)"
"U-4726","0x0049a0e0","C2","C2->C3","0x0049a0e0 (FUN_0049a0e0)"
"U-4727","0x0049aae0","C2","C2->C3","0x0049aae0 (FUN_0049aae0)"
"U-4728","0x004b3c60","C2","C2->C3","0x004b3c60 (FUN_004b3c60)"
"U-4729","0x004b4150","C2","C2->C3","0x004b4150 (FUN_004b4150)"
"U-4750","0x004b47e0","C2","C2->C3","0x004b47e0 (FUN_004b47e0)"
"U-4751","0x004b4a80","C2","C2->C3","0x004b4a80 (FUN_004b4a80)"
"U-4752","0x004b4c80","C2","C2->C3","0x004b4c80 (FUN_004b4c80)"
"U-4780","0x004b51d0","C2","C2->C3","0x004b51d0 (FUN_004b51d0)"
"U-4800","0x004b53b0","C2","C2->C3","0x004b53b0 (FUN_004b53b0)"
"U-4801","0x004b55a0","C2","C2->C3","0x004b55a0 (FUN_004b55a0)"
"U-4806","0x004b61c0","C2","C2->C3","0x004b61c0 (FUN_004b61c0)"
"U-4811","0x004b6710","C2","C2->C3","0x004b6710 (FUN_004b6710)"
"U-4825","0x004c07b0","C2","C2->C3","0x004c07b0 (sub_004c07b0 rwID_FRAMEMODULE ctor)"
"U-4826","0x004c0830","C2","C2->C3","0x004c0830 (sub_004c0830 rwID_FRAMEMODULE dtor)"
"U-4900","0x004c1a70","C2","C2->C3","0x004c1a70 (FUN_004c1a70)"
"U-4901","0x004c4270","C3","C2->C3","0x004c4270 (FUN_004c4270)"
"U-4925","0x004c42d0","C3","C2->C3","0x004c42d0 (FUN_004c42d0)"
"U-4926","0x004c42d0","C3","C2->C3","0x004c42d0 (FUN_004c42d0)"
"U-4927","0x004c4360","C3","C2->C3","0x004c4360 (FUN_004c4360)"
"U-4928","0x004c4360","C3","C2->C3","0x004c4360 (FUN_004c4360)"
"U-4929","0x004c4530","C2","C2->C3","0x004c4530 (FUN_004c4530)"
"U-4931","0x004c5470","C2","C2->C3","0x004c5470 (FUN_004c5470)"
"U-4975","0x004c75c0","C3","C2->C3","0x004c75c0 (FUN_004c75c0)"
"U-4976","0x004c7600","C3","C2->C3","0x004c7600 (FUN_004c7600)"
"U-4977","0x004c7620","C2","C2->C3","0x004c7620 (FUN_004c7620)"
"U-4978","0x004c7620","C2","C2->C3","0x004c7620 (FUN_004c7620)"
"U-4979","0x004c7650","C2","C2->C3","0x004c7650 (FUN_004c7650)"
"U-4980","0x004c7650","C2","C2->C3","0x004c7650 (FUN_004c7650)"
"U-4981","0x004c76c0","C2","C2->C3","0x004c76c0 (FUN_004c76c0)"
"U-4982","0x004c76f0","C3","C2->C3","0x004c76f0 (FUN_004c76f0)"
"U-4983","0x004c76f0","C3","C2->C3","0x004c76f0 (FUN_004c76f0)"
"U-4984","0x004c7760","C2","C2->C3","0x004c7760 (FUN_004c7760)"
"U-4985","0x004c7760","C2","C2->C3","0x004c7760 (FUN_004c7760)"
"U-4986","0x004c7860","C3","C2->C3","0x004c7860 (FUN_004c7860)"
"U-4987","0x004c79f0","C2","C2->C3","0x004c79f0 (FUN_004c79f0)"
"U-4988","0x004c7a20","C2","C2->C3","0x004c7a20 (FUN_004c7a20)"
"U-5025","0x004cb490","C2","C2->C3","0x004cb490 (FUN_004cb490)"
"U-5026","0x004cb4c0","C2","C2->C3","0x004cb4c0 (FUN_004cb4c0)"
"U-5029","0x004cb840","C2","C2->C3","0x004cb840 (FUN_004cb840)"
"U-5033","0x004cbb00","C2","C2->C3","0x004cbb00 (FUN_004cbb00)"
"U-5034","0x004cbb20","C2","C2->C3","0x004cbb20 (FUN_004cbb20)"
"U-5038","0x004cbbd0","C2","C2->C3","0x004cbbd0 (FUN_004cbbd0)"
"U-5100","0x004cc580","C2","C2->C3","0x004cc580 (FUN_004cc580)"
"U-5101","0x004cc790","C2","C2->C3","0x004cc790 (FUN_004cc790)"
"U-5103","0x004cc9e0","C2","C2->C3","0x004cc9e0 (thunk_FUN_004cc820)"
"U-5104","0x004ccce0","C2","C2->C3","0x004ccce0 (FUN_004ccce0)"
"U-5105","0x004cce20","C2","C2->C3","0x004cce20 (FUN_004cce20)"
"U-5106","0x004ccf20","C2","C2->C3","0x004ccf20 (FUN_004ccf20)"
"U-5107","0x004cd170","C2","C2->C3","0x004cd170 (FUN_004cd170)"
"U-5108","0x004cd500","C2","C2->C3","0x004cd500 (FUN_004cd500)"
"U-5125","0x004cd550","C2","C2->C3","0x004cd550 (FUN_004cd550)"
"U-5126","0x004cde50","C3","C2->C3","0x004cde50 (FUN_004cde50)"
"U-5127","0x004cdf20","C2","C2->C3","0x004cdf20 (FUN_004cdf20)"
"U-5128","0x004ce390","C2","C2->C3","0x004ce390 (FUN_004ce390)"
"U-5129","0x004ce480","C2","C2->C3","0x004ce480 (FUN_004ce480)"
"U-5130","0x004ce480","C2","C2->C3","0x004ce480 (FUN_004ce480)"
"U-5150","0x004ce690","C2","C2->C3","0x004ce690 (FUN_004ce690)"
"U-5151","0x004ce6c0","C2","C2->C3","0x004ce6c0 (FUN_004ce6c0)"
"U-5152","0x004ce790","C2","C2->C3","0x004ce790 (FUN_004ce790)"
"U-5153","0x004ce790","C2","C2->C3","0x004ce790 (FUN_004ce790)"
"U-5154","0x004ce8e0","C2","C2->C3","0x004ce8e0 (FUN_004ce8e0)"
"U-5155","0x004ceba0","C2","C2->C3","0x004ceba0 (FUN_004ceba0)"
"U-5156","0x004cecb0","C2","C2->C3","0x004cecb0 (FUN_004cecb0)"
"U-5157","0x004cf2b0","C2","C2->C3","0x004cf2b0 (FUN_004cf2b0)"
"U-5158","0x004cf430","C2","C2->C3","0x004cf430 (FUN_004cf430)"
"U-5159","0x004cf460","C2","C2->C3","0x004cf460 (FUN_004cf460)"
"U-5160","0x004cf4a0","C2","C2->C3","0x004cf4a0 (FUN_004cf4a0)"
"U-5161","0x004cf5a0","C2","C2->C3","0x004cf5a0 (FUN_004cf5a0)"
"U-5162","0x004cf5a0","C2","C2->C3","0x004cf5a0 (FUN_004cf5a0)"
"U-5190","0x004d1e30","C2","C2->C3","0x004d1e30 (FUN_004d1e30)"
"U-5375","0x004d84e0","C2","C2->C3","0x004d84e0 (RwResourcesEmptyArena_PopSlot)"
"U-5376","0x004d8570","C3","C2->C3","0x004d8570 (RwEngineRegisterStringFunctions)"
"U-5377","0x004d87a0","C2","C2->C3","0x004d87a0 (RwStringStreamWrite)"
"U-5378","0x004d8eb0","C2","C2->C3","0x004d8eb0 (RwResourcesDrainArena)"
"U-5379","0x004d8eb0","C2","C2->C3","0x004d8eb0 (RwResourcesDrainArena)"
"U-5380","0x004d8430","C2","C2->C3","0x004d8430 (rwID_ERRORMODULE_ctor)"
"U-5381","0x004d8470","C2","C2->C3","0x004d8470 (rwID_ERRORMODULE_dtor)"
"U-5382","0x004d8530","C2","C2->C3","0x004d8530 (rwID_PIPEMODULE_ctor)"
"U-5383","0x004d8530","C2","C2->C3","0x004d8530 (rwID_PIPEMODULE_ctor)"
"U-5384","0x004d8550","C2","C2->C3","0x004d8550 (rwID_PIPEMODULE_dtor)"
"U-5385","0x004d8550","C2","C2->C3","0x004d8550 (rwID_PIPEMODULE_dtor)"
"U-5386","0x004d8a80","C2","C2->C3","0x004d8a80 (rwID_RESOURCESMODULE_ctor)"
"U-5387","0x004d8a80","C2","C2->C3","0x004d8a80 (rwID_RESOURCESMODULE_ctor)"
"U-5388","0x004d8b70","C2","C2->C3","0x004d8b70 (rwID_RESOURCESMODULE_dtor)"
"U-5389","0x004d8b70","C2","C2->C3","0x004d8b70 (rwID_RESOURCESMODULE_dtor)"
"U-5390","0x004d8fa0","C2","C2->C3","0x004d8fa0 (rwID_CHUNKGROUPMODULE_ctor)"
"U-5391","0x004d8fa0","C2","C2->C3","0x004d8fa0 (rwID_CHUNKGROUPMODULE_ctor)"
"U-5392","0x004d8fa0","C2","C2->C3","0x004d8fa0 (rwID_CHUNKGROUPMODULE_ctor)"
"U-5403","0x004d9530","C2","C2->C3","0x004d9530 (FUN_004d9530)"
"U-5425","0x004db2e0","C2","C2->C3","0x004db2e0 (FUN_004db2e0)"
"U-5426","0x004db770","C2","C2->C3","0x004db770 (FUN_004db770)"
"U-5427","0x004dba60","C2","C2->C3","0x004dba60 (FUN_004dba60)"
"U-5428","0x004dc160","C2","C2->C3","0x004dc160 (FUN_004dc160)"
"U-5584","0x0041d410","C2","C2->C3","0x0041d410 (FUN_0041d410)"
"U-5585","0x0041d410","C2","C2->C3","0x0041d410 (FUN_0041d410)"
"U-5586","0x0041de80","C2","C2->C3","0x0041de80 (FUN_0041de80)"
"U-5587","0x0041de80","C2","C2->C3","0x0041de80 (FUN_0041de80)"
"U-5588","0x0041de80","C2","C2->C3","0x0041de80 (FUN_0041de80)"
"U-5589","0x0041e630","C2","C2->C3","0x0041e630 (FUN_0041e630)"
"U-5590","0x0041e630","C2","C2->C3","0x0041e630 (FUN_0041e630)"
"U-5591","0x00427f00","C2","C2->C3","0x00427f00 (FUN_00427f00)"
"U-5592","0x00427f00","C2","C2->C3","0x00427f00 (FUN_00427f00)"
"U-5595","0x00458630","C2","C2->C3","0x00458630 (FUN_00458630)"
"U-5596","0x00458630","C2","C2->C3","0x00458630 (FUN_00458630)"
"U-5614","0x00552b90","C2","C2->C3","0x00552b90 (FontSys_Shutdown)"
"U-5615","0x00552b90","C2","C2->C3","0x00552b90 (FontSys_Shutdown)"
"U-5616","0x00553f40","C2","C2->C3","0x00553f40 (FontGlyph_UploadData)"
"U-5617","0x00553f40","C2","C2->C3","0x00553f40 (FontGlyph_UploadData)"
"U-5618","0x00553f40","C2","C2->C3","0x00553f40 (FontGlyph_UploadData)"
"U-5619","0x00554050","C2","C2->C3","0x00554050 (FontCanvas_Shutdown)"
"U-5620","0x00554050","C2","C2->C3","0x00554050 (FontCanvas_Shutdown)"
"U-5621","0x005540d0","C2","C2->C3","0x005540d0 (FontCanvas_Init)"
"U-5622","0x005540d0","C2","C2->C3","0x005540d0 (FontCanvas_Init)"
"U-5623","0x005540d0","C2","C2->C3","0x005540d0 (FontCanvas_Init)"
"U-5625","0x00555280","C2","C2->C3","0x00555280 (FontSys_ShutdownContextPool)"
"U-5626","0x00555280","C2","C2->C3","0x00555280 (FontSys_ShutdownContextPool)"
"U-5644","0x005551d0","C2","C2->C3","0x005551d0 (FUN_005551d0)"
"U-5645","0x005551d0","C2","C2->C3","0x005551d0 (FUN_005551d0)"
"U-5646","0x00555360","C2","C2->C3","0x00555360 (FUN_00555360)"
"U-5647","0x00555360","C2","C2->C3","0x00555360 (FUN_00555360)"
"U-5648","0x00555360","C2","C2->C3","0x00555360 (FUN_00555360)"
"U-5650","0x00555af0","C2","C2->C3","0x00555af0 (FontCtx_LoadMetrics_Met)"
"U-5651","0x00555af0","C2","C2->C3","0x00555af0 (FontCtx_LoadMetrics_Met)"
"U-5652","0x00555af0","C2","C2->C3","0x00555af0 (FontCtx_LoadMetrics_Met)"
"U-5653","0x00555f20","C2","C2->C3","0x00555f20 (FontCtx_BuildExtTable)"
"U-5654","0x00555ff0","C2","C2->C3","0x00555ff0 (FontCtx_LoadMetrics_Atlas)"
"U-5655","0x00555ff0","C2","C2->C3","0x00555ff0 (FontCtx_LoadMetrics_Atlas)"
"U-5656","0x00555ff0","C2","C2->C3","0x00555ff0 (FontCtx_LoadMetrics_Atlas)"
"U-5674","0x00556ca0","C2","C2->C3","0x00556ca0 (FUN_00556ca0)"
"U-5675","0x00556ca0","C2","C2->C3","0x00556ca0 (FUN_00556ca0)"
"U-5678","0x00556ce0","C2","C2->C3","0x00556ce0 (FontSys_ShutdownBuffers)"
"U-5679","0x00556d20","C2","C2->C3","0x00556d20 (FontSys_InitBuffers)"
"U-5680","0x00556d20","C2","C2->C3","0x00556d20 (FontSys_InitBuffers)"
"U-5681","0x00556d20","C2","C2->C3","0x00556d20 (FontSys_InitBuffers)"
"U-5682","0x00556d70","C2","C2->C3","0x00556d70 (FUN_00556d70)"
"U-5683","0x00556d70","C2","C2->C3","0x00556d70 (FUN_00556d70)"
"U-5684","0x00556d70","C2","C2->C3","0x00556d70 (FUN_00556d70)"
"U-5685","0x00556d70","C2","C2->C3","0x00556d70 (FUN_00556d70)"
"U-5704","0x005571e0","C2","C2->C3","0x005571e0 (FontSys_InitFontPool)"
"U-5705","0x00557250","C2","C2->C3","0x00557250 (FontSys_InitDataPools)"
