rva	subsystem	name	notes
00491c00	render	FUN_00491c00	batch-render-2-s6 plate at re/analysis/render_2_c1_to_c2_s6/FUN_00491c00.md spark init alloc+point-sprites+white-tex; U-4627,0x80007) point-sprites + white texture fill; no callers visible
004929d0	util	FUN_004929d0	STATE_FN: switch(DAT_00771968) 7 cases; session-phase dispatcher; calls course-load in case 2; U-0487 U-0488; S-0480..S-0490; [drift-corrected 2026-05-12: existing analysis is full C2 mechanical-case-
00493600	render	FUN_00493600	calls FUN_004ce790 twice with (ptr-to-global fn-ptr label-addr) 3-arg pattern; returns bool; S-0068; C2 ma1-ghidra-s1 2026-05-16 promote_c2_winmain_chain; S-3906 S-3907 S-3908
0049eab0	particle	FUN_0049eab0	batch-ad-s4: C1->C2 mechanical; scalar-deleting dtor; calls thunk_FUN_0049fac0; conditional _free
0049ebf0	particle	FUN_0049ebf0	batch-ad-s4: C1->C2 mechanical; scalar-deleting dtor; calls FUN_0049de90; conditional _free
0049ec80	particle	FUN_0049ec80	batch-ad-s4: C1->C2 mechanical; scalar-deleting dtor; calls FUN_0049ebc0->FUN_0049de90 chain; conditional _free
004a2c48	frontend	FUN_004a2c48	promoted_from=re/analysis/hud_frontend/0x004a2c48.md; batch-ab; FPU rounding: ROUND(in_ST0) to 64-bit int with banker's rounding; 116 bytes; no callees; used as frame-counter source; U-0460 [merged-fr
004a4170	util	__alldiv	169b MSVC VS2003 embedded CRT helper; signed 64-bit division; no callees; not a stub | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CR
004a4220	util	__allmul	51b MSVC VS2003 embedded CRT helper; signed 64-bit multiply; no callees; not a stub | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT
004abbea	boot	FUN_004abbea	cmdline arg-start scan; quote(0x22)/printable(0x21) boundary walk; MBCS FUN_004affe0; returns byte* into cmdline
004b47c0	render	FUN_004b47c0	2-step setter: FUN_0052e0e0(*(param_1+0x20), param_2) then FUN_00533ec0(param_1); no callers in Ghidra | batch-render-3-s3 plate at re/analysis/render_3_c1_to_c2_s3/FUN_004b47c0.md
004b6b00	render	FUN_004b6b00	__fastcall store-EAX helper: *param_1=in_EAX; 2-byte body; leaf; batch-render-3-s6 plate at re/analysis/render_3_c1_to_c2_s6/FUN_004b6b00.md
004b6b90	render	FUN_004b6b90	__fastcall floor-align: (in_EAX/param_1)*param_1; 6-byte leaf; batch-render-3-s6 plate at re/analysis/render_3_c1_to_c2_s6/FUN_004b6b90.md
004b7480	input	FUN_004b7480	teardown: FUN_004ba210(1)+FUN_004b9850; arith updates on +0x60 via offsets +4/+8/+0x18/+0x1c/+0x48/+0x4c/+0x50/+0x54; FUN_004ba1b0 x5; S-2408 S-2409 U-2414..U-2417 | C1->C2 batch_aj sweep-20260602-194
004c0b10	render	FUN_004c0b10	frame dirty-state predicate: returns *(*(param_1+0xa0)+3)&3; low-2-bit mask; leaf; callers RpAtomicGetWorldBoundingSphere FUN_00533ec0; batch-render-3-s6 plate at re/analysis/render_3_c1_to_c2_s6/FUN_
004c3270	render	sub_004c3270	RwEngineStop wrapper; DAT_007d3ff4==0 → FUN_004d7ca0+FUN_004ccf20+[0x49]=0; returns bool; S-0083 S-0084; U-0092; skeleton-prep-s5
004c3d60	render	FUN_004c3d60	RW engine vtable matrix dispatch: calls *(DAT_007d3ffc+8+DAT_007d3ff8)(out,in1,in2); returns param_1; 0x25 bytes; leaf; clears S-1963; U-3582 U-3583 | batch-render-4-s1 plate at re/analysis/render_4_c
004cc4f0	render	FUN_004cc4f0	RW chunk type validator: switch 1 for valid RW types {5..0x1a subset}; leaf; 1 caller FUN_004cc400 | batch-render-5-s1 plate at re/analysis/render_5_c1_to_c2_s1/FUN_004cc4f0.md
004d3ab0	render	rwD3D8CheckAutoMipMapCube	cluster_004d_first_pass batch_t-s4; RW3 D3D8 raster; checks D3DUSAGE_AUTOGENMIPMAP(0x400) for cube(count=5); no callers found; batch-render-5-s5
004d3d50	render	rwD3D8RasterClose	cluster_004d_first_pass batch_t-s4; RW3 D3D8 raster; subsystem close; frees heap block + calls FUN_004e1780 + zeroes DAT_007d470c/4710; returns 1; no callers found; batch-render-5-s5
004d3db0	render	FUN_004d3db0	RW D3D pipeline init: guard DAT_007d470c(0x7d470c); FUN_004e17e0 creates pipeline ptr DAT_007d4710; alloc tag 0x34 at DAT_00911ae0+DAT_007d3ff8; sets +0x38/+0x34/+0x30; marks init flag; no callers (pl
004d7430	render	FUN_004d7430	render-state dirty-flag setter; tests param_1 vs DAT_007d6b0c; writes DAT_007d59d0; queues byte 0x3b via dirty-state queue DAT_007d5168[DAT_007d6c14]; 1 caller FUN_004d7480 case 0x1c; leaf; U-5350 | b
004d7ac0	render	FUN_004d7ac0	fog-blend enable/disable toggle; param_1==0 clears DAT_007d6aec queues byte 7+0x17; else sets it; 1 caller FUN_004d7480 case 6; leaf; U-5352 | batch-render-6-s3 plate at re/analysis/render_6_c1_to_c2_
004d7bc0	render	FUN_004d7bc0	texture filter-mode setter; lookup DAT_005d8c48[param_1*4]→DAT_007d5840; queues byte 9; guard DAT_007d6b2c; 1 caller FUN_004d7480 case 7; leaf; U-5353 | batch-render-6-s3 plate at re/analysis/render_6
004d7c10	render	FUN_004d7c10	texture address-mode setter; lookup DAT_005d8d18[param_1*4]→DAT_007d58a8; queues byte 0x16; guard DAT_007d6b18; 1 caller FUN_004d7480 case 0x14; leaf; U-5354 | batch-render-6-s3 plate at re/analysis/r
00547bf0	track	FUN_00547bf0	AABB vs triangle SAT 12-axis; 5807 bytes; leaf; clears S-1964; track_collision_geometry_s14
005571c0	hud	FontSys_ShutdownFontPool	C1->C2 batch-ae-s6: FUN_004cc9f0(DAT_00912a2c)+zero DAT_00912a2c; 25-byte leaf; counterpart FUN_005571e0; no uncertainties
00557220	hud	FontSys_ShutdownDataPools	C1->C2 batch-ae-s6: FUN_004cc9f0(DAT_00912a34)+FUN_004cc9f0(DAT_00912a38)+zero both; 38-byte leaf; counterpart FUN_00557250; no uncertainties
00558470	render	sub_00558470	teardown step-1: 2x vtable-free dispatch DAT_007d3ff8+0x10c on 007dc8b8/bc; zero 007dc8ac; pure leaf; U-0088; skeleton_prep_s5-20260522
0055c4f0	vehicle	PhysicsBodySetFriction	recursive compound setter; type8=recurse on children stride 0x60; else body+0x50=friction scalar; called with 0.45f; C2 plate: re/analysis/promote_c2_vehicle_dynamics/0055c4f0.md
005bad30	audio	LAB_005bad30	unrecognized; DirectSound init path B: NULL GUID; hardcoded 0xbb80Hz/0x10-bit; GetCaps(vtable+0x10)+clamp; vtable+0x18; 459 bytes; U-0356..U-0359
005bc860	audio	FUN_005bc860	tracker alloc: FUN_005ae250(0x12,8,1,0,&DAT_007ddfec); returns bool; clears S-1361 D-4001; U-3188 | C1->C2 batch_ai sweep-20260602-0347
005c9d00	util	GetRaceEndTrigger	DEMOTED C3->C2 2026-05-22: crashes canonical scenario at t~10s; 2-byte function (XOR EAX,EAX; RET) but JMP patch is 5 bytes overwriting 3 bytes past function boundary into next function; confirmed ind
