component	n_members	subsystems	member_rvas
10	8	render:3,boot:2,gameplay:2	0041eaa0 0041ebb0 0041ec00 0041f8f0 0041ffb0 00420050 00420420 00420870
11	7	video:2,frontend:2,util:2	004942b0 00494320 00494460 004944c0 00494a80 00494bc0 00494c80
12	6	render:5,util:1	004759b0 00475a00 00475ab0 00475c10 00475d30 00475d90
13	6	render:5,util:1	00475e50 00475ea0 00475ef0 00475f90 00476390 00476440
14	6	render:5,util:1	004775b0 00477730 00477760 004777d0 00477810 00477870
15	6	particle:6	0048ae00 0048af70 0048b650 0048b7c0 0048baf0 0048bb70
16	6	util:3,render:2,particle:1	00493c00 00493c60 00494ac0 00494b20 0049ebc0 0049ec10
17	6	frontend:4,input:2	00497470 004974b0 00497b10 00497b60 004982a0 00498510
18	6	render:4,save:1,boot:1	00498b60 00498c00 00498e40 00498ea0 00499400 00499ba0
19	6	audio:6	005ac650 005acda0 005ace70 005b51d0 005b53b0 005bc920
20	5	boot:2,render:1,util:1	0041c410 0041cb10 0041cb80 0041cc50 0041ccf0
21	5	render:3,util:2	004219c0 004219f0 004220d0 00422140 004222d0
22	5	gameplay:2,vehicle:2,powerups:1	004540c0 00454790 00454820 004548a0 004548e0
23	5	powerups:3,boot:1,vehicle:1	0045b930 0045bae0 0045be90 0045bed0 0045bf30
24	5	render:5	004cdca0 004cdd00 004cdf20 004ce970 004cee90
25	5	render:5	004db3e0 004db550 004db770 004dcaa0 004dcdc0
26	4	gameplay:2,render:1,util:1	00406130 004072e0 004073b0 004074a0
27	4	frontend:2,gameplay:1,boot:1	00407800 00425bc0 00425c00 00425ea0
28	4	boot:2,render:1,util:1	0040bbb0 0040bd00 0040bde0 0040ce00
29	4	gameplay:3,util:1	00458b10 00458bf0 00458c70 00459000
30	4	gameplay:1,ai:1,camera:1	00471430 004715a0 00471ac0 00471df0
31	4	camera:3,track:1	0047c0f0 0047c160 0047c270 0047c2d0
32	3	render:2,boot:1	004034a0 00403660 00403910
33	3	gameplay:3	004098d0 00409950 00409970
34	3	boot:2,hud:1	0041def0 0041e0d0 0041e6c0
35	3	boot:2,frontend:1	004283a0 00428400 004288a0
36	3	gameplay:2,vehicle:1	00456040 00456760 004568a0
37	3	gameplay:2,camera:1	00471450 00471490 00471ec0
38	3	render:3	00476650 00476710 004767c0
39	3	world-objects:2,util:1	00484cf0 00484de0 00485070
40	3	particle:3	00485e10 00486220 00486270
41	3	particle:1,render:1,util:1	0048ff20 00490020 00490380
42	3	input:3	00495e80 00495fe0 00496010
43	3	render:3	004c3040 004c30b0 004c32b0
44	3	render:3	004c5a00 004c5a60 004c6ba0
45	3	render:3	004cc820 004cce20 004ccf20
46	3	render:3	004d4250 004d42b0 004d4380
47	3	render:3	004d7c60 004d7ca0 004d7de0
48	3	render:3	004d9050 004da4f0 004daa40
49	3	audio:3	005a5f00 005a6030 005a60e0
