rva	subsystem	name	notes
004a4158	boot	FUN_004a4158	wrapper calls FUN_004a31ea(004a31ea) → FUN_004a77eb(8) → LeaveCriticalSection(lock[8]); unlock paired with D-0463; D-0465 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 
004a415e	boot	_atexit	library match VS2003; delegates to __onexit(0x004a4126); returns 0 on success -1 on fail | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name o
004a43b9	boot	FUN_004a43b9	wrapper: FUN_004a9858(time_struct)->tm_ptr; if non-null: FUN_004a974d(tm_ptr)->char* date string (asctime-style 26 chars); returns 0 on failure; S-1020 S-1021 D-2980 D-2981 | C1->C2 via lever3-expansi
004a43d2	boot	FUN_004a43d2	fills 16-byte time-info struct: [0..7]=Unix timestamp (FILETIME/1e7-Win-epoch); [8..9]=ms within second; [10..11]=(DAT_00616670/0x3c); [12..13]=DST flag; caches in DAT_007739e0/e4; U-1027 S-1022 S-102
004a4554	boot	__heap_alloc	library match VS2003; SBH fast-path (008aa6a0==3 && size<=008aa68c): __lock(4)+___sbh_alloc_block+FUN_004a45c6; HeapAlloc fallback 008aa69c; 16-byte align | C1->C2 via lever3-expansion-20260523-1330: 
004a45c6	boot	FUN_004a45c6	8-byte SBH unlock wrapper; FUN_004a77eb(4)@004a45c8; mirror of FUN_004a4660 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library
004a45cf	boot	__nh_malloc	library match VS2003; size guard 0xffffffe1@004a45d0; __heap_alloc loop; __callnewh on _NhFlag!=0; resolves D-0160 S-0040 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 
004a45fb	boot	_malloc	library match VS2003; wrapper for __nh_malloc with _NhFlag from DAT_00773c34@004a45fb; D-0160 | C1->C2 via lever3-crt-drain-20260523-0245: __cdecl — MSVC CRT _malloc; FidDB GREEN
004a460d	boot	_free	library match VS2003; SBH path (DAT_008aa6a0==3@004a4620) + HeapFree fallback (DAT_008aa69c@004a466c); lock-id=4; S-0041..S-0044 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (cali
004a4660	boot	FUN_004a4660	8-byte unlock wrapper; FUN_004a77eb(4)@004a4663; SBH lock-id 4; resolves D-0161 S-0041 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or 
004a467e	boot	_calloc	library match VS2003; SBH path (DAT_008aa6a0==3) or HeapAlloc(DAT_008aa69c,8); new-handler loop; SEH wrapped | C1->C2 via lever3-crt-drain-20260523-0245: __cdecl — MSVC CRT _calloc; FidDB GREEN
004a4728	boot	FUN_004a4728	8-byte wrapper; calls FUN_004a77eb(4) | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library match confirmed in notes
004a4b6e	boot	__amsg_exit	FidDB VS2003 __amsg_exit; DAT_007739f0 banner flag; FUN_004ab8d6(param); PTR_006160c4(0xff)
004a57e4	boot	FUN_004a57e4	XOR seed init: GetSystemTime+GetPID+GetTID+GetTickCount+QueryPerfCounter XOR->DAT_00616038; fallback 0xbb40e64e | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..
004a583a	boot	FUN_004a583a	security/buffer-overrun error handler; param_1==1=overrun msg; MessageBoxA + __exit(3); SEH+cookie 00616038; depth-1-fill | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 
004a5984	boot	CrtSehProlog	DEMOTED C3->C2 2026-05-22: crashes canonical scenario at t~10s; reimpl incorrectly opens new frame (push ebp/mov ebp,esp) violating compiler-injected non-standard ABI; JMP patch corrupts SEH chain of 
004a59bf	boot	CrtSehEpilog	DEMOTED C3->C2 2026-05-22: crashes canonical scenario at t~10s; JMP hook on __SEH_epilog corrupts SEH chain; confirmed independent crasher by runtime bisect; needs reimpl review vs VS2003 __SEH_epilog
004a5de3	boot	FUN_004a5de3	calls __controlfp(0x10000,0x30000)@body; S-0184 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library match confirmed in notes
004a5df5	boot	__ms_p5_test_fdiv	library match VS2003; Pentium FDIV bug probe; returns 1 if bug present; D-0467 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT libr
004a5e35	boot	__ms_p5_mp_test_fdiv	library VS2003; GetModuleHandleA(KERNEL32)+GetProcAddress(IsProcessorFeaturePresent); fallback __ms_p5_test_fdiv@004a5df5; S-0185 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (cal
004a5f07	boot	___endstdio	library VS2003; __flushall unconditional; DAT_007739d4 guard for __fcloseall; S-0186 S-0187 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB nam
004a774d	boot	__mtinitlocks	library match VS2003; 36-entry lock table 00616408 base 00773a08 storage; InitCritSec spincount=4000; returns 0/1 | C1->C2 via lever3-crt-drain-20260523-0245: __cdecl — MSVC CRT __mtinitlocks; FidDB G
004a7796	boot	__mtdeletelocks	library VS; two-pass loop 006408..616528 step+8; pass1 deletes+frees non-pinned; pass2 deletes pinned(flag=1) | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..00
004a77eb	boot	FUN_004a77eb	LeaveCriticalSection(&DAT_00616408[param_1*2]) | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library match confirmed in notes
004a7800	boot	FUN_004a7800	lazy lock-slot init; param_1=lock-id; _malloc(0x18)+__lock(10)+___crtInitCritSecAndSpinCount(4000); FUN_004a77eb(10) unlock; FUN_004aa23d on fail; clears S-0188 [merged-from-dup: lazy-init CRT critSec
004a787f	boot	__lock	library VS2003; lazy-init via FUN_004a7800 if slot==0; __amsg_exit(0x11) on fail; EnterCriticalSection; S-0188 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..0
004a87f7	boot	FUN_004a87f7	calls __mtdeletelocks; TlsFree(DAT_00616658) if !=0xffffffff; resets to 0xffffffff | C1->C2 via lever3-crt-drain-20260523-0245: CRT-band residue, FUN_* in FidDB; analysis note attests body
004a8a04	boot	FUN_004a8a04	__mtinitlocks; TlsAlloc->00616658; _calloc(1,0x88); TlsSetValue; TLS slots [0]=tid [1]=0xffffffff [5]=1 [0x15]=&00616920; C2->C3 canonical-observation 2026-05-23 count=1 GREEN 30s menu | C3->C4 2026-0
004a9410	boot	_strlen	library match VS; dword-at-a-time 0x7efefeff@004a9442 + 0x81010100@004a9451; no callees; C1->C2 drift 2026-05-15 batch-e-s9
004a9744	boot	__flushall	library match VS2003; calls flsall(1); D-0468 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library match confirmed in notes
004aa23d	boot	FUN_004aa23d	per-thread errno getter; __getptd() → &ptiddata->_terrno; called by FUN_004a7800 on malloc fail; depth-1-fill | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..00
004aa3e4	boot	___heap_select	library match VS2003; reads DAT_0077399c+DAT_007739a8; returns 1 if ==2&&>4 else 3; no callees | C1->C2 via lever3-crt-drain-20260523-0245: MSVC CRT ___heap_select; FidDB GREEN; C2->C3 canonical-obser
004aa3fe	boot	__heap_init	FidDB VS2003 __heap_init; HeapCreate(0x1000)->008aa69c; ___heap_select->008aa6a0; ___sbh_heap_init(0x3f8) if mode==3; U-0006; C2->C3 canonical-observation 2026-05-23 count=1 GREEN 30s menu | C3->C4 20
004aa44f	boot	___sbh_heap_init	library match VS2003; HeapAlloc(008aa69c,0,0x140); inits 6 SBH globals 008aa680-008aa694; writes param_1 to 008aa68c | C1->C2 via lever3-crt-drain-20260523-0245: MSVC CRT ___sbh_heap_init; FidDB GREEN
004aa497	boot	___sbh_find_block	library match VS2003; linear scan 008aa688-base 008aa684-count stride-0x14; range-check [entry+0xc..+0x100000); returns entry or 0; resolves D-0163 S-0043 | C1->C2 via lever3-expansion-20260523-1330: 
004aa4c2	boot	___sbh_free_block	library match VS2003; SBH block-merge; bitmap updates bitmaps 0x80000000>>bin; VirtualFree 0x8000 on empty page; HeapFree+memmove on empty region; resolves D-0164 S-0044 | C1->C2 via lever3-expansion-
004aa7da	boot	___sbh_alloc_new_region	library match VS2003; SBH new region; HeapAlloc header 0x41c4 + VirtualAlloc 1MB; inits bitmap; D-0471 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff)
004aa891	boot	___sbh_alloc_new_group	library match VS2003; SBH new group; 64 free-list heads; VirtualAlloc 32KB page; updates group bitmap; D-0472 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..00
004aac76	boot	___sbh_alloc_block	library VS2003; SBH region/group scan+split; alloc from 008aa688 array; S-0189 S-0190; U-0191 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB n
004aaf72	boot	__callnewh	library VS2003; calls DAT_00773c30 new-handler if non-null; returns 1 on handled | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT li
004aaf90	boot	_memset	library VS; 4-byte-aligned fill with 0x1010101 replication; no callees | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library matc
004aaff0	boot	_memcpy	library match VS2003; MOVSD.REP@004ab023 fast aligned path; backward-copy for _Src<_Dst overlap; no callees; C1->C2 drift 2026-05-15 batch-e-s9
004ab8d6	boot	FUN_004ab8d6	table scan 00616890 for param_1; stderr path or MessageBoxA(0x12010) path; stack-cookie 00616038; SEH/chkstk wrapped | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0
004aba4d	boot	__FF_MSGBANNER	library match VS2003; stderr-mode check (007739f0+006160c8); calls FUN_004ab8d6(0xfc) + fn-ptr 00773c38 + FUN_004ab8d6(0xff) | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrat
004abd1a	boot	FUN_004abd1a	no callees; token parser; non-standard ABI EAX+ECX+ESI; char-class table 0x8aa341@004abd61; U-0047 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); Fi
004ac04a	boot	FUN_004ac04a	CRT file-handle table; _malloc(0x480); 32 slots/block stride=36; GetStartupInfoA inheritance; GetStdHandle 3x; ___crtInitCritSecAndSpinCount; C2->C3 canonical-observation 2026-05-23 count=1 GREEN 30s 
004ac45c	boot	___crtMessageBoxA	library VS2003; lazy LoadLibrary(user32)+GetProcAddress; MB_DEFAULT_DESKTOP_ONLY(0x40000)/MB_SERVICE_NOTIFICATION(0x200000) via DAT_007739a8 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-
004ac560	boot	FUN_004ac560	7-byte thunk; PUSH EDI + JMP 0x004ac5d5@004ac565 into FUN_004ac570; D-0165 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library 
004ac570	boot	FUN_004ac570	fast strcpy source-align variant; Hacker's-Delight null-detect (x^~x^x+0x7efefeff)&0x81010100; counterpart to 004ac560 thunk; called by 004a583a 004ab8d6 __strcats 004ae635; D-0460 [merged-from-dup: d
004acd00	boot	_memmove	library match VS2003; overlap-detect backward/forward copy; dword-at-a-time alignment preamble+switch tail; no callees | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004
004ad33b	boot	__controlfp	library match VS2003; wrapper __control87 masking bit19 (0x80000) from Mask; D-0466 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT
004ad351	boot	__fcloseall	library match VS2003; closes FILE* 3..max; frees dyn slots; calls FUN_004ad3e3 (unlock-1); SEH; D-0469 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff)
004ad3e3	boot	FUN_004ad3e3	wrapper FUN_004a77eb(1) → LeaveCriticalSection(lock[1]); called at end of __fcloseall; depth-1-fill | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); F
004ae28f	boot	___crtInitCritSecNoSpinCount@8	library match VS2003; InitializeCriticalSection(param_1) + return 1; fallback of ___crtInitCritSecAndSpinCount; resolves D-0166 S-0045 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest
004ae29f	boot	___crtInitCritSecAndSpinCount	library match VS2003; lazy-init proc-ptr DAT_00773d60@004ae2ab; fallback ___crtInitCritSecNoSpinCount@8@004ae2e1; S-0045 | C1->C2 via lever3-crt-drain-20260523-0245: MSVC CRT init helper; FidDB GREEN
004ae635	boot	FUN_004ae635	locale string builder; concatenates LC_* name=value pairs via __strcats+004ac570; returns static "C" ptr if all equal; depth-1-fill | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (c
004aed77	boot	FUN_004aed77	codepage→LCID; EAX-in: 932→0x411 936→0x804 949→0x412 950→0x404 else 0; no callees | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT l
004aeda6	boot	setSBCS	library match VS2003 _setSBCS; zeroes 008aa340 0x101 bytes; clears 008aa444/338/330/450/454/458; no callees | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b
004aedcf	boot	FUN_004aedcf	locale case-map init; GetCPInfo(008aa444); ___crtGetStringTypeA+___crtLCMapStringA upper/lower; fills 008aa340 flags 0x10/0x20; writes case-conv to 008aa460 | C1->C2 via lever3-expansion-20260523-1330
004aefd0	boot	FUN_004aefd0	code-page init; scans builtin table 616d70 (stride 0x30 8 entries); GetCPInfo fallback; fills 008aa340 char-class; sets 008aa444(codepage) 008aa338(mbcs) 008aa330(locale); calls FUN_004aedcf | C1->C2 
004af166	boot	__setmbcp	library match VS2003; -2=OEM -3=ACP -4=last-thread; allocs 0x220 bytes; FUN_004aefd0 init; copies ctab 0x101 + lcmap 0x100 to buf; lock-id=0xd; resolves D-0167 S-0046 | C1->C2 via lever3-expansion-202
004af2ad	boot	FUN_004af2ad	8-byte setmbcp unlock wrapper; FUN_004a77eb(0xd)@004af2af; lock-id 13 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT library match
004af2b6	boot	___initmbctable	library match VS2003; once-init guard DAT_008ab6d4@004af2b6; calls __setmbcp(-3)@004af2bf; S-0046 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); Fid
004af56c	boot	FUN_004af56c	per-handle critSec lazy-init+acquire; DAT_008aa580 slot; ___crtInitCritSecAndSpinCount spin=4000 + EnterCriticalSection; depth-1-fill | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest 
004af601	boot	FUN_004af601	CRT file-handle block allocator; scans DAT_008aa580 for free slot; malloc 0x480 new block if needed; per-slot critSec; depth-1-fill | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (c
004affaf	boot	FUN_004affaf	char-class predicate; DAT_008aa340[param_1+1]&param_3; mask-path DAT_005d566a[param_1*2]&param_2; returns 0/1; resolves D-0168 S-0047 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest 
004affe0	boot	FUN_004affe0	wrapper: forwards param_1 to FUN_004affaf with args 0 and 4@004affe0; S-0047 | C1->C2 via lever3-expansion-20260523-1330: CRT-band bulk-attest (calibrated 004a0000..004b3fff); FidDB name or CRT librar
005cb160	boot	FUN_005cb160	batch_v s6 MIXED[msvc-crt-fiddb(33)+msvc-crt-internal-helpers(23)+game-dynarray-and-chunk-readers(15)+audio-mixer-voice-init(1)+game-collision-or-rwmath-zero-callers(8)]; 56/80 are CRT library-residue
