rva	sub	name	lane	size	n_callees	n_blocking	blocking	arg_hint	n_callers_c2plus	notes
0041cb00	render	FUN_0041cb00	callee-blocked	14	1	1	004e6e00:C1	eax-deref	1	batch_v s1 hud-weapons-effects-and-particle-emitters; wheel-trail-decals + vehicle-icon sprite-batch + decal-color-grid + weapons subsystem (4 launchers + 4 mis
0041d6d0	render	FUN_0041d6d0	callee-blocked	14	1	1	004e6e00:C1	eax-deref	1	batch_v s1 hud-weapons-effects-and-particle-emitters; wheel-trail-decals + vehicle-icon sprite-batch + decal-color-grid + weapons subsystem (4 launchers + 4 mis
004790e0	track	FUN_004790e0	callee-blocked	17	1	1	004e5c70:C1	-	1	Course post-load thunk: (course, 0x479030, 0) → FUN_004e5c70; clears D-2626; U-1951; d11007-reclass 2026-05-18: subsystem render->track per re/analysis/promote_
00454f80	render	FUN_00454f80	callee-blocked	22	1	1	004e6ab0:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
00421980	render	FUN_00421980	callee-blocked	26	2	1	00559ee0:C1	-	3	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
00441490	camera	FUN_00441490	callee-blocked	26	2	1	005356f0:C1	eax-deref	0	cleanup for DAT_006831c0 object; no direct callers | C1->C2 batch_aj sweep-20260602-1945
004b44f0	util	FUN_004b44f0	callee-blocked	26	1	1	00534870:C1	stack	8	RandomInt(lo hi); FUN_00534870()%(hi-lo+1)+lo; modulo bias not corrected; 10 callers 0x0045cd30..0x004661f0
00421960	audio	FUN_00421960	callee-blocked	30	2	1	00559c40:C1	-	1	,audio entity activate; FUN_0055dec0(DAT_006ce274) → handle; FUN_00559c40(handle); 29 bytes; depth-1-fill
00472690	util	FUN_00472690	callee-blocked	32	1	1	00534870:C1	stack	6	random int in [lo,hi]; calls FUN_00534870; S-0595; d11007-reclass 2026-05-18: subsystem render->util per re/analysis/promote_c2_render_midrva/00472690.md (subsy
00474f30	render	FUN_00474f30	callee-blocked	32	1	1	00552020:C1	stack,eax-deref	0	31b per-node callback; FUN_00552020(p1); *p2=1 if nonzero; U-2497; D-5746 track_loader_d4-20260506-2007; d11007-audit 2026-05-18: subsystem=render confirmed via
00490000	render	FUN_00490000	callee-blocked	32	1	1	004e8090:C1	-	1	clump-pool clear: iterates 120-entry DAT_0086a4ac stride 0x14; calls FUN_004e8090(slot,0); caller FUN_0040cfd0 | batch-render-2-s4 plate at re/analysis/render_2
004cf430	render	FUN_004cf430	callee-blocked	34	1	1	004e1ac0:C1	stack	0	RwRasterPluginRegistryForAll; thunk -> FUN_004e1ac0 with DAT_00618138; U-5158
00421930	render	FUN_00421930	callee-blocked	35	1	1	0057c210:C1	stack,eax-deref	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0042c2a0	boot	FUN_0042c2a0	callee-blocked	35	2	1	004e5700:C1	-	1	promoted_from=re/analysis/boot_app_init_d5/0x0042c2a0.md; batch_u_s5_2026-05-18; cond FUN_004c5930(0067ea0c); cond FUN_004e5700(0067ea00); S-3330
0048fef0	particle	FUN_0048fef0	callee-blocked	35	1	1	004e89a0:C1	stack,eax-deref	1	batch-ad-s1 C1->C2: reads param_1+0x18 vtable; ORs +0x8 with 0x40; calls FUN_004e89a0; U-4032 S-4115
00458dd0	gameplay	FUN_00458dd0	callee-blocked	38	3	1	004e8090:C1	stack	2	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
004292d0	util	sub_004292d0	callee-blocked	39	1	1	0055deb0:C1	stack	3	copy bytes from FUN_0055deb0(param_1)+8 to *param_2; 64-bit return packs (ptr,size); callers=FUN_004111c0 FUN_00409790 FUN_0040b090 FUN_004270f0 FUN_004844a0 FU
00418a70	render	FUN_00418a70	callee-blocked	40	1	1	005592f0:C1	stack,eax-deref	1	batch_v s1 hud-weapons-effects-and-particle-emitters; wheel-trail-decals + vehicle-icon sprite-batch + decal-color-grid + weapons subsystem (4 launchers + 4 mis
0047d150	gameplay	FUN_0047d150	callee-blocked	41	1	1	0057c210:C1	stack,ecx-this,eax-deref	5	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
004568a0	gameplay	FUN_004568a0	callee-blocked	43	2	1	004e6e00:C1	-	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
004721b0	gameplay	FUN_004721b0	callee-blocked	43	2	1	004e89a0:C1	stack	0	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
0055c810	vehicle	PhysicsBodySetLinearVelocity	callee-blocked	44	1	1	0055c380:C1	stack,eax-deref	3	sets body+0x40/44/48 = XYZ linear velocity; calls FUN_0055c380 prep; S-3736; C2 plate: re/analysis/promote_c2_vehicle_dynamics/0055c810.md
0041a980	render	FUN_0041a980	callee-blocked	45	2	1	004e6e00:C1	-	1	batch_v s1 hud-weapons-effects-and-particle-emitters; wheel-trail-decals + vehicle-icon sprite-batch + decal-color-grid + weapons subsystem (4 launchers + 4 mis
00425ea0	frontend	FUN_00425ea0	callee-blocked	47	1	1	004e6e00:C1	-	1	bulk destructor for 8-slot array 0x00899260 stride 0x4c; calls RpClumpDestroy per non-null handle; zeroes all 0x13 words per slot
0047f450	gameplay	FUN_0047f450	callee-blocked	47	4	1	0055afc0:C1	-	1	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
004b40f0	render	FUN_004b40f0	callee-blocked	47	1	1	004e89a0:C1	stack,ecx-this	5	batch_v s2 drift-cross-ref into cluster_004b4_first_pass (canonical plate from batch-t-s1); first hooks.csv row landed here | C1->C2 batch_aj sweep-20260602-194
00472650	util	FUN_00472650	callee-blocked	51	1	1	00534870:C1	stack,fpu	59	random float [min max): FUN_00534870 PRNG masked 0x7fffffff scaled by _DAT_005cd314; called as rand_float(0 1) for probabilistic gates; d11007-reclass 2026-05-1
004b4510	util	FUN_004b4510	callee-blocked	51	1	1	00534870:C1	stack,fpu	5	RandomFloat(lo hi) __thiscall; (hi-lo)*(FUN_00534870()&0x7fffffff)*DAT_005cd314(0x30000000=2^-31)+lo; 6 callers 0x00419a00..0x004764f0
0041f2c0	gameplay	FUN_0041f2c0	callee-blocked	52	2	1	0053d090:C1	stack,eax-deref	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
004b4080	render	FUN_004b4080	callee-blocked	53	2	1	004e89a0:C1	stack	4	batch_v s2 drift-cross-ref into cluster_004b4_first_pass (canonical plate from batch-t-s1); first hooks.csv row landed here | C1->C2 batch_aj sweep-20260602-194
00496d20	render	FUN_00496d20	callee-blocked	54	1	1	004e5c70:C1	stack	0	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
004cf460	render	FUN_004cf460	callee-blocked	54	2	1	004e1ce0:C1	stack,eax-deref	0	RwTextureStreamGetSize; name+mask+0x34+plugin; catalog match; U-5159
00458880	gameplay	FUN_00458880	callee-blocked	55	3	1	004e6e00:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
004b4010	render	FUN_004b4010	callee-blocked	55	1	1	004e6760:C1	stack	1	batch_v s2 drift-cross-ref into cluster_004b4_first_pass (canonical plate from batch-t-s1); first hooks.csv row landed here | C1->C2 batch_aj sweep-20260602-194
00489250	boot	FUN_00489250	callee-blocked	56	2	1	004e6920:C1	eax-deref	1	ma1-ghidra-s4: 16 instr 55B; cdecl no-arg; 2x pair-free FUN_004c0c20(*(obj+4))+FUN_004e6920(obj) for 007030a8 and 007030ac; single caller FUN_00402a40
00492170	render	FUN_00492170	callee-blocked	59	2	1	004e6920:C1	ecx-this	0	batch-render-2-s6 plate at re/analysis/render_2_c1_to_c2_s6/FUN_00492170.md spark teardown free VB+tex+render-entry; U-4630
004b41b0	render	FUN_004b41b0	callee-blocked	60	1	1	004e5c70:C1	stack	1	batch_aa s1 RpWorldForAllWorldSectors wrapper; null-guard on param_1; passes LAB_004b3f20 callback + stack struct {0,param_2,&local_c}; returns local_c (callbac
004b41f0	render	FUN_004b41f0	callee-blocked	60	1	1	004e5c30:C1	stack	1	RpWorldForAllAtomics iterator wrapper; context-staging (param_2 payload + result accumulator local_c); shared callback LAB_004b3f20 | batch-render-3-s3 plate at
004b4230	render	FUN_004b4230	callee-blocked	60	1	1	004e5bf0:C1	stack	1	FUN_004e5bf0 iterator wrapper; context-staging identical to 004b41f0; shared callback LAB_004b3f20; only caller is 004b4270 (zero-payload wrapper) | batch-rende
00412010	gameplay	FUN_00412010	callee-blocked	61	1	1	004e6e00:C1	eax-deref	1	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004624c0	audio	FUN_004624c0	callee-blocked	61	3	1	00551190:C1	-	1	audio RtFSManagerRegister: FUN_00551190(5,0x5cc4de,0x5cc4de)→DAT_0068f4cc; FUN_00550430; logs success/fail; D-7392 | C1->C2 batch_ah sweep-20260602-0245
004593b0	gameplay	FUN_004593b0	callee-blocked	68	4	1	004e6e00:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
00480d60	vehicle	FUN_00480d60	callee-blocked	70	2	1	0057c210:C1	stack,eax-deref	2	multi-case vehicle impulse dispatcher: 9 cases 0-8; FUN_0046d4a0+0057c210+0055b650; 2493b; U-3708; depth-1-fill | C1->C2 batch_ak sweep-20260603-0116
004b4e20	render	FUN_004b4e20	callee-blocked	70	1	1	0053c5d0:C1	stack	1	batch_x s2 game viewport/raster/Im2D helpers (mixed bucket; non-Lua/non-CRT plates); matches batch_w s2 render style | batch-render-3-s4 plate at re/analysis/re
004b5030	render	FUN_004b5030	callee-blocked	71	1	1	004e5c70:C1	stack	1	AI blob chunk query; FUN_004e5c70(blob LAB_004b4eb0 key); clears S-0908 D-2637 | batch-render-3-s4 plate at re/analysis/render_3_c1_to_c2_s4/FUN_004b5030.md
004b4a80	render	FUN_004b4a80	callee-blocked	72	1	1	00538c80:C1	stack	3	batch_x s2 game viewport/raster/Im2D helpers; clump-iterator wrapper via FUN_00538c80 + LAB_004b49b0; context-staging pattern | batch-render-3-s3 plate at re/an
004b4c80	render	FUN_004b4c80	callee-blocked	72	1	1	00538c80:C1	stack	2	context-staged iterator via FUN_00538c80 + LAB_004b4bb0; 3-arg sibling of 004b4a80; called by Bezier::QueryWrapper | batch-render-3-s3 plate at re/analysis/rend
004523f0	gameplay	FUN_004523f0	callee-blocked	74	1	1	004e6e00:C1	stack,eax-deref	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427
00472380	render	FUN_00472380	callee-blocked	74	2	1	004e7d40:C1	-	1	calls FUN_004c2d90(0,4,cb,cb) then FUN_004e7d40(0x10,0x26990004,lbl,cb,lbl); result→DAT_0086ecd4; returns bool; S-0200 S-0201 U-0207 U-0208; d11007-audit 2026-0
00496d60	util	FUN_00496d60	callee-blocked	76	6	1	004eb3c0:C1	-	1	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
00496db0	util	FUN_00496db0	callee-blocked	76	6	1	004eb9d0:C1	-	1	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
004781b0	vehicle	FUN_004781b0	callee-blocked	80	5	1	004e7420:C1	stack	4	RW file stream load: optional pre-seek FUN_004ce2d0; open+seek+load+close; U-1449; S-1448..S-1452 | C1->C2 batch_ak sweep-20260603-0116
0047f1e0	gameplay	FUN_0047f1e0	callee-blocked	80	1	1	0057c210:C1	stack,ecx-this,eax-deref	1	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
0044df80	render	FUN_0044df80	callee-blocked	81	3	1	00557fb0:C1	stack	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427 | rec
0047f230	gameplay	FUN_0047f230	callee-blocked	82	1	1	0057c210:C1	stack,ecx-this,eax-deref	0	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
004826d0	vehicle	PhysicsCollisionBodyCreate	callee-blocked	83	3	1	00563810:C1	stack	1	creates collision body from scene; mass=1.0f; gravity flag from scene+0x4c>epsilon; activates via FUN_00563810; S-3742 S-3743 S-3744 | C1->C2 batch_ak sweep-202
0048fe70	render	FUN_0048fe70	callee-blocked	85	1	1	00538c80:C1	stack,eax-deref	1	world query at position via FUN_00538c80 callback; returns int result; U-0595; S-0598 | batch-render-2-s4 plate at re/analysis/render_2_c1_to_c2_s4/FUN_0048fe70
00425e40	render	FUN_00425e40	callee-blocked	86	2	1	004e6100:C1	ecx-this,eax-deref	1	promoted_from=re/analysis/render_frame_d4/0x00425e40.md; depth-3 callee of sub_00410b30; called when mode≠5; D-5041; bucket render_frame_d3-cont1
004d3d50	render	rwD3D8RasterClose	callee-blocked	88	2	1	004e1780:C1	ecx-this,eax-deref	1	cluster_004d_first_pass batch_t-s4; RW3 D3D8 raster; subsystem close; frees heap block + calls FUN_004e1780 + zeroes DAT_007d470c/4710; returns 1; no callers fo
0041fe10	gameplay	FUN_0041fe10	callee-blocked	89	3	1	004e6ab0:C1	stack,eax-deref	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
00448dc0	render	FUN_00448dc0	callee-blocked	95	5	1	004c15c0:C1	stack,eax-deref	1	per-frame update for DAT_00896460 5-slot array via FUN_00442410/FUN_00442420; C2 U-4366 batch-render-s3
0044cb00	render	FUN_0044cb00	callee-blocked	95	5	1	004c15c0:C1	stack,eax-deref	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427 | rec
004216b0	render	FUN_004216b0	callee-blocked	97	2	1	004e6100:C1	ecx-this,eax-deref	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
0041cb10	boot	FUN_0041cb10	callee-blocked	102	5	1	004e6ab0:C1	-	0	"promoted_from=re/analysis/boot_app_init_d4/0x0041cb10.md; batch_u_s5_2026-05-18; ""FUN_0042a6b0(""""endpointpanel.txd"""")→DAT_0063cdd0; FUN_0042a5d0(""""endpointpanel"
00426d20	frontend	FUN_00426d20	callee-blocked	106	3	1	004c15c0:C1	stack,eax-deref	1	per-frame transform refresh over 4-handle array DAT_00656f48..656f58; callees FUN_004c15c0+FUN_004c1520+FUN_004c1340; U-4199 U-4200 U-4201; frontend_c1_to_c2_s5
00550390	render	sub_00550390	callee-blocked	106	1	1	00551510:C1	ecx-this	2	RW linked-list teardown; vtable[0x10c] free dispatch×2; FUN_00551510(node,2); DeleteCriticalSection(009124e0); S-0080; U-0089; skeleton-prep-s5
005ab090	audio	FUN_005ab090	callee-blocked	106	1	1	00550670:C1	stack,eax-deref	1	batch_x s5 audio-channel-meta-cluster; per-channel state + mixer callbacks around the central audio object at DAT_007dca34 | C1->C2 batch_ah sweep-20260602-0245
004670a0	render	FUN_004670a0	callee-blocked	112	5	1	004c0b30:C1	ecx-this,eax-deref	1	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
00554050	hud	FontCanvas_Shutdown	callee-blocked	113	3	1	00553e80:C1	eax-deref	1	C1->C2 batch-ae-s3; frees glyph node DAT_00912a28 (vtable+0x10c free or FUN_005c4d50); unlinks DAT_00912a24 pool; U-5619 U-5620
0047ccb0	gameplay	FUN_0047ccb0	callee-blocked	116	2	1	005356f0:C1	ecx-this,eax-deref	0	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
00441760	util	Camera::Apply	callee-blocked	117	4	1	004c15c0:C1	stack,eax-deref	3	sets +0x24=DAT_00803344; FUN_00441700(FOV); FUN_004c15c0+3×FUN_004c4d20(angles +0x38/0x34/0x3c)+FUN_004c1340(pos +0x40); final camera-state apply; D-6462
0042d420	render	FUN_0042d420	callee-blocked	123	5	1	004c0b30:C1	stack	2	3-param RW object factory; FUN_004c1d30 alloc; FUN_004c77c0 resources at +0x60/+0x64; FUN_00467020 on fail; S-3561 S-3562; frontend_unmapped_a-20260511 | batch-
00425fa0	frontend	FUN_00425fa0	callee-blocked	125	2	1	004e5fc0:C1	stack,ecx-this,eax-deref	1	exports 4 words from slot[param_1] into param_2[0..3]; reads +0x34/+0x38/+0x3c + ptr+0x28; calls FUN_004b3f90 + conditional FUN_004e5fc0; guarded by slot+0x44 a
004015a0	boot	FUN_004015a0	callee-blocked	129	1	1	004e6e00:C1	ecx-this	1	promoted_from=re/analysis/boot_app_init_d3/0x004015a0.md; batch_u_s5_2026-05-18; loop 13x104-byte elements 0x636578..0x636ac0; FUN_004e6e00 on 10 handles/elemen
00467110	render	FUN_00467110	callee-blocked	133	7	1	004c0b30:C1	stack	1	alt-camera-triple init: DAT_006905b0/b4/b8 via FUN_004670a0+FUN_004c1c80(0.8f vec)+near 0.1f/far 180.0f; clones via FUN_004c2bf0; attaches frame via FUN_004c074
00458c70	gameplay	FUN_00458c70	callee-blocked	136	1	1	004c15c0:C1	stack,ecx-this,eax-deref	3	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
00481780	vehicle	FUN_00481780	callee-blocked	142	1	1	0057c210:C1	stack,ecx-this,eax-deref	1	 body velocity accumulator: adds param_1[0..2]*DAT_005cf230 to stride-0x20 velocity slot | C1->C2 batch_ak sweep-20260603-0116
0044ab20	render	FUN_0044ab20	callee-blocked	144	4	1	0055e300:C1	stack,eax-deref	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427 | rec
0046d400	render	FUN_0046d400	callee-blocked	153	1	1	00538c80:C1	stack,eax-deref	3	152b; world-pt to screen-Y; FUN_00538c80 projection on vertical segment ±_DAT_005cc31c; returns projected_Y−offset; fallback DAT_005d757c
00456760	vehicle	FUN_00456760	callee-blocked	158	8	1	004e6ab0:C1	stack,ecx-this,eax-deref	0	GatlingGun powerup type init; loads GatlingGun.dff; 4-entry array at 0x00688670; 7-way sub-model dispatch; flash effect at 0x006887d0 | C1->C2 batch_ak sweep-20
00550430	util	FUN_00550430	callee-blocked	158	1	1	00551510:C1	stack,eax-deref	3	capacity-guarded linked-list prepend with duplicate compare via DAT_007d3ff8+0xe8; list-head DAT_007dc754 count DAT_007dc75c capacity DAT_007dc758; callback DAT
004074a0	gameplay	FUN_004074a0	callee-blocked	167	3	1	004e6e00:C1	-	3	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0042a740	render	FUN_0042a740	callee-blocked	174	6	1	00558df0:C1	stack,eax-deref	1	UVA animation file loader; appends .uva; FUN_004cc230+FUN_004cc5e0(0x2b)+FUN_00558df0+FUN_004cc160; clears S-0914 D-2622; U-1948 | batch-render-s2 plate at re/a
0045e040	audio	FUN_0045e040	callee-blocked	176	5	1	00546320:C1	-	2	Course audio teardown; unlinks course voices (DAT_0068fc84..DAT_0088e674); destroys course SFX dict DAT_0068f62c; clears waypoints DAT_0068f618; U-2493 | C1->C2
004728f0	gameplay	FUN_004728f0	callee-blocked	184	2	1	005459c0:C1	stack	1	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
004491e0	render	SkyDomeUpdatePos	callee-blocked	205	4	1	004c15c0:C1	stack,eax-deref	1	4-slot loop over param_1+0x100f0 sky clumps; calls FUN_004c15c0 (frame reset) + FUN_004c1520 (scale 180.0=0x43340000) + FUN_004c1340 (set pos to camera); C2 U-4
00553f40	hud	FontGlyph_UploadData	callee-blocked	205	5	1	0055deb0:C1	stack	4	C1->C2 batch-ae-s3; alloc 0x18 node(0x301a1); copy node[1]×0x18 bytes via FUN_005c4c60; marks slot resident (node[1]=-1); recurses node[5]; U-5616..U-5618; S-42
00448e20	render	FUN_00448e20	callee-blocked	207	3	1	004c15c0:C1	stack,eax-deref	1	orbital animation tick for DAT_00896480 3-slot array; mirror of FUN_00448cb0; C2 U-4367 batch-render-s3
00455610	gameplay	FUN_00455610	callee-blocked	211	3	1	004c15c0:C1	stack,eax-deref,fpu	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
005ab620	audio	FUN_005ab620	callee-blocked	233	3	1	00550bd0:C1	stack,eax-deref	1	batch_x s5 audio-channel-meta-cluster; per-channel state + mixer callbacks around the central audio object at DAT_007dca34 | C1->C2 batch_ah sweep-20260602-0245
004d8a80	render	rwID_RESOURCESMODULE_ctor	callee-blocked	240	3	1	004e2fa0:C1	stack,ecx-this,eax-deref	0	plugin id=0x40b; size=0x28; ctor: alloc arena type=0x4040b; init 2x circular list; INC DAT_00911adc; LAB_ not FUN_; U-5386 U-5387
004d8eb0	render	RwResourcesDrainArena	callee-blocked	240	1	1	004e2ff0:C1	ecx-this,eax-deref	1	drains doubly-linked resource list; calls dtor cb+back-ref clear+free or relink; resets list heads; returns 1; U-5378 U-5379; prior: bucket_004d7ac0/0x004d8eb0.
0044d5e0	powerups	DepthChargePathSafetyCheck	callee-blocked	241	2	1	00547230:C1	stack,ecx-this	2	mode-2 fire check: DAT_00684b34 gate; FUN_004c18c0 proximity; obstacle array 0x006848e8 stride 0x48; FUN_00547230 segment-intersect; returns 0/1 | C1->C2 batch_
00456040	gameplay	FUN_00456040	callee-blocked	247	4	1	004e4450:C1	stack,ecx-this,eax-deref	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
0047f6d0	gameplay	FUN_0047f6d0	callee-blocked	251	1	1	00561ea0:C1	stack,ecx-this,eax-deref	0	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
00448cb0	render	FUN_00448cb0	callee-blocked	261	3	1	004c15c0:C1	stack,eax-deref	1	orbital animation tick for DAT_00896490 3-slot array; sin/cos; advances 3 angle globals; C2 U-4365 batch-render-s3
0041eaa0	boot	FUN_0041eaa0	callee-blocked	271	7	1	004c0b30:C1	stack	0	"4-slot FUN_004c0b30 fill DAT_0063d840; FUN_004770c0(e49c 0x80c 4 FUN_0040bb30); FUN_00476cb0(e49c 5 2); FUN_004770c0(e4a0 0x80c 4 FUN_0040bb30(""car_shadow"")); i"
0041f770	gameplay	FUN_0041f770	callee-blocked	272	4	1	00544bf0:C1	stack,eax-deref,fpu	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
00458e00	gameplay	FUN_00458e00	callee-blocked	274	4	1	004c15c0:C1	stack,ecx-this,eax-deref,fpu	2	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
004729b0	render	FUN_004729b0	callee-blocked	286	4	1	005459c0:C1	stack	1	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
