rva	subsystem	name	notes
00151090	util	RtFSHandler::Poll	piz_fsmanager_handler vtable+0x3c; GetOverlappedResult; handles 0x3e4 ERROR_IO_INCOMPLETE 0x3e5 ERROR_IO_PENDING; see re/analysis/piz_fsmanager_handler/REPORT.md
00151180	util	RtFSHandler::Cancel	piz_fsmanager_handler vtable+0x40; slot[+0x20]=1; no OS call; see re/analysis/piz_fsmanager_handler/REPORT.md
00151190	util	RtFSHandler::Install	FUN_00551190; allocates 0x5c-byte handler struct + 0x14*0x60 slot array; populates 12 vtable fn ptrs; calls FUN_00551330; see re/analysis/piz_fsmanager_handler/REPORT.md
00151290	util	RtFSHandler::Destroy	piz_fsmanager_handler vtable+0x18; replaces arg with slot_array; tail-calls RW free via DAT_007d3ff8+0x10c; see re/analysis/piz_fsmanager_handler/REPORT.md
001512b0	util	RtFSHandler::GetStatus	piz_fsmanager_handler vtable+0x48; if slot[+0x20]!=1 call Poll(slot 0); return slot[+0x20]; see re/analysis/piz_fsmanager_handler/REPORT.md
001512d0	util	RtFSHandler::Stat	piz_fsmanager_handler vtable+0x4c; GetFileAttributesA[0x005cc1b4]; return 0 if INVALID_FILE_ATTRIBUTES; see re/analysis/piz_fsmanager_handler/REPORT.md
001514e0	util	RtFSHandler::IsEOF	piz_fsmanager_handler vtable+0x44; compares slot[+0x8] pos vs slot[+0x0/+0x4] bounds; returns 1 at EOF; see re/analysis/piz_fsmanager_handler/REPORT.md
00401000	hud	FUN_00401000	 cup trophy init — creates cup.dff clump + particles at DAT_00636560..636574 | batch-ae-s1
004011f0	hud	FUN_004011f0	 cup trophy per-frame transform update; called from FUN_004013f0 | batch-ae-s1
004013f0	hud	FUN_004013f0	 cup trophy render: push-update-draw-pop on DAT_007d3ff8 world context | batch-ae-s1
004014b0	boot	FUN_004014b0	promoted_from=re/analysis/boot_app_init_d3/0x004014b0.md; batch_u_s5_2026-05-18; symmetrical FUN_004e4860/FUN_004c0740/FUN_004e4d90 pattern on globals 0x636570+0x63656c; FUN_004e45b0+FUN_004e5700+FUN_
004015a0	boot	FUN_004015a0	promoted_from=re/analysis/boot_app_init_d3/0x004015a0.md; batch_u_s5_2026-05-18; loop 13x104-byte elements 0x636578..0x636ac0; FUN_004e6e00 on 10 handles/element; zero fields 0-3; write 1.0f(0x3f80000
00401630	track	FUN_00401630	 LoadMapModel(idx): formats "map_%d.dff" and calls FUN_004b3bf0 | C1->C2 batch_aj sweep-20260602-1945
00401690	render	FUN_00401690	 AABB + inv-radius from mesh; ESI=this struct[1..13]; calls Vec3Magnitude 004c3ac0 | C1->C2 batch_aq sweep-20260603-2220
004019d0	render	FUN_004019d0	 race track VFX marker position update; iterates DAT_00636ac0 particle array | batch-render-s1 plate at re/analysis/render_c1_to_c2_s1/FUN_004019d0.md
00401da0	frontend	FUN_00401da0	RW matrix identity+translate+rotAxisAngle(-30+accum)+scale+translate for DAT_00636ac0 selected entry; calls FUN_004c1480; 308b; U-4197 U-4198; batch-frontend-s1-20260525
00401f10	render	FUN_00401f10	promoted_from=re/analysis/render_frame_d4/0x00401f10.md; RW state (0x14/8/6) disable+loop FUN_004e6680 on DAT_00636ac0 array+restore; S-3120 S-3121; render_frame_d4
00401fe0	render	FUN_00401fe0	 create triangle geometry (3v/1t) in XZ plane via FUN_004e8c70 | batch-render-s1 plate at re/analysis/render_c1_to_c2_s1/FUN_00401fe0.md
00402240	render	FUN_00402240	 create triangle atomic: wraps FUN_00401fe0 into clump via FUN_004e6d80 | batch-render-s1 plate at re/analysis/render_c1_to_c2_s1/FUN_00402240.md
004022a0	render	FUN_004022a0	 create quad geometry (4v/2t) in XZ plane via FUN_004e8c70 | batch-render-s1 plate at re/analysis/render_c1_to_c2_s1/FUN_004022a0.md
00402590	render	FUN_00402590	 create quad atomic: wraps FUN_004022a0 into clump via FUN_004e6d80 | batch-render-s1 plate at re/analysis/render_c1_to_c2_s1/FUN_00402590.md
004025f0	boot	FUN_004025f0	perm.piz post-mount callee; 13-elem array init at 0x636578..0x636ac0 stride 0x1a; calls FUN_00401630/FUN_00401690/FUN_00402240/FUN_00402590; U-0169; S-0167..S-0170; promoted S-122
00402750	boot	sub_00402750	promoted_from=re/analysis/boot_app_init/00402750.md; batch_u_s5_2026-05-18; depth-2 of FUN_00492370; calls FUN_004d8560 gate; loads PIZ/TXD assets via 57 callees; returns 0 or 1; U-0007 U-0008; C2->C3
00402a40	boot	sub_00402a40	promoted_from=re/analysis/boot_app_init/00402a40.md; batch_u_s5_2026-05-18; depth-2 of FUN_00492370; teardown sequence; destroys DAT_00636ac8 via FUN_004c5930; 43 callees; void return
00402b70	util	FUN_00402b70	 path normaliser: 8.3 uppercase; strips PS2/XBOX/PLATFORM dirs; max 6 levels
00402fb0	hud	FUN_00402fb0	promoted_from=re/analysis/hud_ingame_d2/0x00402fb0.md; batch-ab; sub-mode 0xb pulsing spinner; sine(DAT_00636afc) FPU-round; alpha=0x80-val; draws sprite 0x2A4 at (320.0 380.0) and (316.0 376.0) via F
00403050	frontend	FUN_00403050	pre-race loading screen renderer; state-1 sub-state-0x21; draws DAT_00771964 texture + FUN_00402fb0 pulsing spinner (sprite 0x2A4); direct callee of 0x00492e90; C1->C2 ma1-ghidra-s5
004030d0	util	FUN_004030d0	float accumulator update + stride array scan; early-exit via FUN_0042c1c0; 3 new stubs S-1120..S-1122
00403250	util	FUN_00403250	 lap/round timer transition trigger (582b); accumulates float param_1; 8-player button scan (stride 0x4c); auto-advance on max time or any player trigger; D-7720
004034a0	render	FUN_004034a0	 D3D9 cap check (NONPOW2CONDITIONAL + STRETCHRECT); creates RT at DAT_00636b70 | batch-render-s1 plate at re/analysis/render_c1_to_c2_s1/FUN_004034a0.md
00403640	boot	FUN_00403640	BackBuffRasterOpen wrapper: FUN_004034a0(param_1)->DAT_00636b78; returns 1; S-0176; promoted S-122
00403660	boot	FUN_00403660	promoted_from=re/analysis/boot_app_init_d3/0x00403660.md; batch_u_s5_2026-05-18; vtable dispatch *DAT_0x636b70+8 then null; FUN_004c7650(DAT_0x636b78) then zero; U-0172; S-0177
00403910	render	FUN_00403910	promoted_from=re/analysis/c0_promotion_render_a/0x00403910.md; guards DAT_00636b70!=NULL; vtable[0x48/0x88] on *DAT_00636b70/*DAT_00636b74; FUN_004938e0/004036a0; vtable[0x8] on piVar2 (decompiler sho
004039c0	vehicle	FUN_004039c0	promoted_from=re/analysis/powerups/0x004039c0.md; Bomb DFF loader; stores FUN_0042a5d0("Bomb.dff") result at 0x00636c00
004039f0	util	FUN_004039f0	 countdown timer with 6-slot bonus table (378b); decrements 007f0fe4 by dt; normalizes 0..1; expiry triggers position effect; 6 entries with timed bonus window; D-7721
00403c60	hud	FUN_00403c60	CupVFXSplash: 4x FUN_00427ad0 sprite IDs 554/555; x=120/123 y=80/83/140/143 w=400 h=80; scale=0.8f; skeleton_prep_s5-20260522
00403db0	render	FUN_00403db0	promoted_from=re/analysis/render_frame_d4/0x00403db0.md; Six calls FUN_00427ad0 ids 0xef/0x22d/0x22e mode-8 state-3-5 sprites; render_frame_d4
00403fa0	render	FUN_00403fa0	promoted_from=re/analysis/render_frame_d4/0x00403fa0.md; Per-entry sprite renderer: EAX implicit param; 8 calls FUN_00427e00 ids 0x226-0x229; S-3122; U-3130 U-3131; render_frame_d4
004041c0	render	FUN_004041c0	promoted_from=re/analysis/render_frame_d4/0x004041c0.md; Countdown timer (3.0→0) gating FUN_00427e00(0x228) draw pair; U-3132; render_frame_d4
00404650	render	FUN_00404650	promoted_from=re/analysis/c0_promotion_render_a/0x00404650.md; "triple guard DAT_007f0fd0==10 && DAT_00636c00!=0 && DAT_005d757c<DAT_007f0fe4; FUN_0041f290(0,0x16); FUN_004c1480(*(DAT_00636c00+4),resu
004046a0	util	FUN_004046a0	376b 5-record stride-20 init at DAT_00636b8c; switch on FUN_00426c00 result (cases 0xb/0x1a/0x27); writes DAT_005ea0a8..b4 finalizer; U-3635; S-3626..S-3628; D-10301
00404820	hud	FUN_00404820	 free scene at DAT_00636c00 via FUN_004e6e00; 1 caller FUN_0045b930 | batch-ae-s1
00404fa0	render	FUN_00404fa0	promoted_from=re/analysis/game_state_d5_cont2/0x00404fa0.md; camera path interpolator; 620b; binary-search keyframes at stride 0x24; hermite tangent FUN_00546e70; quat slerp FUN_00482ae0; builds 3x3 r
00405460	util	FUN_00405460	camera spline step; 222b; guards on DAT_00639d70+DAT_00639d78; calls FUN_004c1c80 with ratio float pair; evaluates FUN_00404fa0 spline matrix if t<=bound; double-calls FUN_004c1480; accumulates DAT_00
00405540	gameplay	FUN_00405540	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00405730	gameplay	FUN_00405730	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00405780	gameplay	FUN_00405780	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004058e0	gameplay	FUN_004058e0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00405920	gameplay	FUN_00405920	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00405ab0	gameplay	FUN_00405ab0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00405f60	gameplay	FUN_00405f60	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00406070	gameplay	FUN_00406070	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00406130	gameplay	FUN_00406130	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00406160	gameplay	FUN_00406160	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00406410	gameplay	FUN_00406410	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004064c0	gameplay	FUN_004064c0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00406950	gameplay	FUN_00406950	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004069d0	gameplay	FUN_004069d0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00406ae0	gameplay	FUN_00406ae0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00406ce0	util	FUN_00406ce0	 crowd/actor animation loop (~1403b); DAT_0063a5d0 entries stride 236b; anim step+RW frame update+velocity blend; matrix concat via FUN_004c4dc0; D-7722
004072e0	render	FUN_004072e0	promoted_from=re/analysis/c0_promotion_render_a/0x004072e0.md; FUN_00406130(); loop 0..DAT_0063a5d0 stride 0xec from DAT_00639dfc; on iVar1==DAT_0063a5d8: color 0xff0408c2; vtable[0x20/0x48] renders; 
004073b0	util	FUN_004073b0	236b iterates DAT_0063a5d0 records at DAT_00639e50 stride 0xec (0x3b dwords); per-record float defaults (0.6/1.4/0.05/0.09/10/0.1/0.2/100); conditional FUN_004b47e0/004c1480/0047d180 chain; U-3636; S-
004074a0	gameplay	FUN_004074a0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00407550	gameplay	FUN_00407550	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00407580	gameplay	FUN_00407580	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00407800	gameplay	FUN_00407800	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00407b00	gameplay	FUN_00407b00	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00407be0	gameplay	FUN_00407be0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00407cd0	gameplay	FUN_00407cd0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00407e20	gameplay	FUN_00407e20	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00408610	gameplay	FUN_00408610	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00408b00	util	FUN_00408b00	race grid start-position calculator; 346b; param_2=slot 0-3/100; param_3=num_cars; rolling counter DAT_0063a5e4; camera FUN_00426cb0/cc0/d00; scales _ccac0/bc/b8/b4; error log FUN_004987b0; D-8801
004093b0	gameplay	FUN_004093b0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004095a0	gameplay	FUN_004095a0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004096a0	gameplay	FUN_004096a0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00409710	render	FUN_00409710	promoted_from=re/analysis/track_loader/00409710.md; loads line-exception data from d:\ToastArt\common\led.piz; chunk 0x13269901 into DAT_0063a5f0; returns 0/1
00409790	gameplay	FUN_00409790	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
004098d0	gameplay	FUN_004098d0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00409950	gameplay	FUN_00409950	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00409970	gameplay	FUN_00409970	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00409a80	gameplay	FUN_00409a80	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040ab40	util	FUN_0040ab40	state-machine dispatcher on DAT_008a9584; 4 inner switch vars; calls FUN_00409970/409930/42c1a0/45b350; S-1600 S-1601 S-1602; U-1607
0040ac80	util	FUN_0040ac80	second dispatcher on same 6-var state cluster (0x008a9584..9598); non-contiguous body; calls FUN_0042c1a0; U-1608
0040ad40	gameplay	FUN_0040ad40	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040ad90	gameplay	FUN_0040ad90	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040ae30	gameplay	FUN_0040ae30	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040aef0	gameplay	FUN_0040aef0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040b090	render	sub_0040b090	promoted_from=re/analysis/camera_follow/0x0040b090.md; per-slot camera dispatch: reads state via FUN_0055dec0; 4-player outer loop; color-token inner dispatch to 3 sub-handlers; U-0547 U-0548 U-0549; 
0040b180	util	FUN_0040b180	194b per-slot timer init at DAT_008a94e0/94e4/94e8/94ec=uVar2 (6 or 4); mirror 008a9570..7c; 8 slots of -1000 (0xfffffc18) at 008a9500..2c; uVar2 forced to 4 by FUN_0040e340==2/3 or FUN_0042f500!=0 or
0040b540	util	FUN_0040b540	loads 4-slot array from DAT_008a94e0; bubble-sort descending; override for DAT_007f0fd0==4||7 via FUN_00417740; state-9 special-case; U-0490; S-0491
0040b700	util	FUN_0040b700	increments one of 4 per-slot int arrays (0x8a9530/40/50/60) based on FUN_0040e340 result and param_2; U-0494 U-0495
0040b930	gameplay	FUN_0040b930	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040b9a0	gameplay	FUN_0040b9a0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040ba60	gameplay	FUN_0040ba60	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040baa0	gameplay	FUN_0040baa0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040bae0	gameplay	FUN_0040bae0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040bbb0	boot	FUN_0040bbb0	promoted_from=re/analysis/boot_app_init_d3/0x0040bbb0.md; batch_u_s5_2026-05-18; loads sfx.piz + TXDs fx/badges/TrackImages/Interface; handles for scorch/wfall/RWObjShad; writes DAT_0x63b8f4=1; S-0179
0040bd00	boot	FUN_0040bd00	promoted_from=re/analysis/boot_app_init_d3/0x0040bd00.md; batch_u_s5_2026-05-18; teardown: 13 no-arg calls then FUN_004c5930 on 4 TXD handles from 0x63b8f8..0x63b904; S-0330..S-0342
0040bd80	util	FUN_0040bd80	84b straight-line dispatcher of 17 no-arg sub-init/reset calls; (FUN_00413f20/FUN_0045b350 already C1); U-3639; S-3635..S-3649; D-10307
0040bde0	render	FUN_0040bde0	promoted_from=re/analysis/c0_promotion_render_a/0x0040bde0.md; guards DAT_0063b8f4!=0; 18 fixed no-arg render callees in sequence; writes _DAT_0063b8f0=0 after all calls
0040be50	gameplay	FUN_0040be50	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040c5b0	gameplay	FUN_0040c5b0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040c690	gameplay	FUN_0040c690	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040ca00	gameplay	FUN_0040ca00	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040cda0	gameplay	FUN_0040cda0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040ce00	util	FUN_0040ce00	 physics/simulation dispatch hub (125b); guard 0063b8f4; increments 0063b8f0; dispatches 22 update functions incl. 00490500/00490380/00475c10/00476440/004777d0; D-7723
0040cea0	track	FUN_0040cea0	Vehicle surface setup: loads dirt.piz; FUN_00404e00/e20 lookup; DAT_0063ba90/94 handles; FUN_0041ecc0 per 4 players; S-3580..S-3583 | C1->C2 batch_aj sweep-20260602-1945
0040cf40	gameplay	FUN_0040cf40	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040cf80	boot	FUN_0040cf80	promoted_from=re/analysis/boot_app_init_d3/0x0040cf80.md; batch_u_s5_2026-05-18; polls FUN_0041f320(0..3); if any nonzero: FUN_0041a980+FUN_00422140+FUN_0041ec00(0..3)+FUN_0045b350+FUN_0040cf40; S-033
0040cfd0	boot	FUN_0040cfd0	promoted_from=re/analysis/boot_app_init_d3/0x0040cfd0.md; batch_u_s5_2026-05-18; seq init: FUN_00490000+FUN_0045bed0+FUN_0045bf30; FUN_00426c00→FUN_004725f0→FUN_00426b40; FUN_00405400; zero DAT_0x8033
0040d020	track	FUN_0040d020	Load track by index: FUN_00426e10(**(param_1+param_2*4)); 20-byte thunk | C1->C2 batch_aj sweep-20260602-1945
0040d040	util	Course::ValidateCarsFinished	car finish validator (200b); loop 4 cars @007f1a1c stride 16b; FUN_0041f320(state)+FUN_0041efc0(lap) vs expected; modes 10+6 use leader (FUN_00431d70); U-2607; resolves S-2226; leaderboard_d2-20260506
0040d110	track	FUN_0040d110	Post-load per-player track assign: groupBase=(groupID/6)*6; FUN_00420420 per player; opens vehicle piz; FUN_0040cea0; S-3577..S-3579 | C1->C2 batch_aj sweep-20260602-1945
0040d270	track	Course::Finish	course finish/transition handler; car-finish + lap-routing (440b); 2 call sites of 0x0042fe30 (medal-rank gate); tail: Replay::CreateOrLoad (00411d90) + DAT_0063ba8c=1; promote_c2_race_end_callers-202
0040d440	track	FUN_0040d440	Course::LoadCurrent: calls FUN_0040d270(PTR_PTR_005f2770 DAT_0063ba7c); saves DAT_0063ba7c→DAT_0063ba78; track_world_initial_sweep [merged-from-dup: calls FUN_0040d270(PTR_PTR_005f2770 DAT_0063ba7c); 
0040d470	util	FUN_0040d470	 vehicle camera matrix update (~284b); 4-car data collect; mode-toggle dispatch FUN_004671a0+FUN_00448220/FUN_004414b0; optional 6-float matrix scale by 005cc33c; D-7724
0040d590	frontend	FUN_0040d590	849b 3-way rank: compare FUN_00408ad0 floats with wrap; FUN_0040b290(-delta/+delta/+2delta) per rank; FUN_00422fd0 pre-rank; U-4204 U-4205; batch-frontend-s1-20260525
0040d8f0	gameplay	FUN_0040d8f0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
0040da50	util	FUN_0040da50	 per-player HUD/state update (~274b); 4 players 007f1a14; FUN_0046c7b0/0046c770 active check; DAT_0063bc44[i] from FUN_00426c00 switch; FUN_0041eeb0; D-7725
0040dba0	util	FUN_0040dba0	 two-condition dispatch (40b); FUN_0042f6a0 in 3..5 AND 007f0fd0==4 or 7..10; calls FUN_004019d0; D-7726
0040dbd0	util	FUN_0040dbd0	122b switch on FUN_0042f6a0 (cases 2/6/10/default) gated by FUN_0042f500!=0 and DAT_007f0fd0!=2; sets DAT_0063ba8c=5 on every exit; U-3640; S-3650..S-3653; D-10308
0040ddb0	util	FUN_0040ddb0	calls FUN_00417750+FUN_00426c50(table[DAT_0063ba78])+FUN_00475a60+FUN_0045bf30+thunk_00475ef0+FUN_004046a0; aggregator; U-3467
0040de10	util	FUN_0040de10	calls FUN_0040ddb0+Replay::StartLap; writes 1→DAT_0063ba8c; calls FUN_00405420; S-1603
0040de30	render	sub_0040de30	promoted_from=re/analysis/render_frame_d3/0040de30.md; MinimapCameraOrthoSetup; saves frame matrix+viewwindow+projection; sets ortho 0.6×0.45; calls WorldRenderDispatch_Begin; D-0881 resolved; U-1709
