==============================================================================
batch_t.txt  —  Mashed C1 brute-force  —  2026-05-18
==============================================================================

Mode:           Opus 1M first-pass C0/unmapped -> C1 discovery
Sessions:       6
RVAs per sess:  80  (Opus 1M hard cap 100; default 80)
Total RVAs:     480
Pool slots:     Mashed_pool1..Mashed_pool6 (0,9,10-15 locked at batch-gen time)
Anchor binary:  original/MASHED.exe SHA-256
                BDCAE093A30FBF226BDD852B9C36798A987AEE33B3AE82BF7404B0336EFD3C0E
Pool dir:       C:/Users/maria/Desktop/Proyectos/Mashed/mashed_pool

Read this BEFORE starting any session:
- .claude/skills/discover-c1-batch/SKILL.md  (Opus 1M caps section)
- .claude/skills/ghidra-pool/SKILL.md         (acquire/release flow)
- re/CONFIDENCE.md                            (C0 -> C1 evidence rubric)
- re/SESSION_RULES.md (search for scribe-queue) (queue-row format)

RW reference catalog (use during decomp inspection — 876 RW names by module):
  re/analysis/plans/rw_function_catalog.tsv

RW string-anchor proposals (audit existing names against boot-log strings):
  re/analysis/plans/rw_string_anchor_proposals.tsv

Prior art (read-only, vendored 2026-05-18):
  re/prior_art/renderware/librw/                 (RW 3.x reimpl, MIT)
  re/prior_art/renderware/gta-reversed-modern/   (GTA SA RW reversed, source-level)


==============================================================================
Session 1 — bucket_00405400  (FIRST-PASS, 80-RVA discovery)
==============================================================================

Pool slot:    Mashed_pool1 (pre-assigned)
Model:        Opus 4.7 (claude-opus-4-7[1m]) — hard cap 100 RVAs (this session: 80)
Skill:        discover-c1-batch (first-pass; Opus 1M mode)
Bucket dir:   re/analysis/bucket_00405400/
Drains to:    re/SCRIBE_QUEUE.md (Queued); ghidra-sweep picks up later
Address span: 0x00405400 .. 0x00412100  (~18,257 bytes of code)

# Mission
Discover and write C0->C1 plates for 80 unmapped functions in the
contiguous-RVA bucket anchored at 0x00405400. These functions have
no row in hooks.csv and no analysis note. Working hypothesis on subsystem: infer
from xrefs during decomp; report the observed subsystem in the queue row's
`subsystem_observed=` field.

# Pre-flight
```bash
export POOL_SLOT_FILE=".pool_slot_batch_t_s1"
bash scripts/ghidra_pool.sh acquire   # should return Mashed_pool1 if free
sha256sum original/MASHED.exe        # MUST equal BDCAE0...EFD3C0E
```

# Workflow (Opus 1M — bulk-coherent per session)
Read all 80 candidate RVAs first; then decomp them in clusters of ~10-15 at a
time. Opus 1M context lets you keep 80 functions' decomp + cross-refs in scope
simultaneously — exploit this for cross-function naming (recurring callees,
shared globals, repeated string patterns identify clusters).

Per RVA:
  1. mcp__ghidra__function_at <rva>     (or listing_code_unit_at if no fn)
  2. mcp__ghidra__decomp_function       (the body)
  3. mcp__ghidra__function_callees      (depth-1 callees)
  4. mcp__ghidra__function_callers      (subsystem inference)
  5. Cross-ref the RW catalog: if the function's signature/calls/constants
     match an RW API entry, name accordingly and cite catalog row.
  6. Write re/analysis/bucket_00405400/<rva>.md with:
     - frontmatter (rva, name, size_bytes, confidence=C1, callees_depth1,
       callers_noted, opened_in_slot=Mashed_pool1, session_date=2026-05-18)
     - ## Mechanical description (bullets; no speculation; cite addresses)
     - ## Constants (table; cite RVA for each)
     - ## Uncertainties (file U-IDs to UNCERTAINTIES.md)
     - ## Stubs encountered (file S-IDs to STUBS.md)

# Candidates
| # | RVA | Ghidra name | size |
| 58 | 0x0040b8e0 | FUN_0040b8e0 | 66 |
| 59 | 0x0040b930 | FUN_0040b930 | 51 |
| 60 | 0x0040b970 | FUN_0040b970 | 41 |
| 61 | 0x0040b9a0 | FUN_0040b9a0 | 92 |
| 62 | 0x0040ba00 | FUN_0040ba00 | 91 |
| 63 | 0x0040ba60 | FUN_0040ba60 | 46 |
| 64 | 0x0040baa0 | FUN_0040baa0 | 63 |
| 65 | 0x0040bae0 | FUN_0040bae0 | 44 |
| 66 | 0x0040be50 | FUN_0040be50 | 1850 |
| 67 | 0x0040c5b0 | FUN_0040c5b0 | 209 |
| 68 | 0x0040c690 | FUN_0040c690 | 874 |
| 69 | 0x0040ca00 | FUN_0040ca00 | 905 |
| 70 | 0x0040cd90 | thunk_FUN_00425ef0 | 5 |
| 71 | 0x0040cda0 | FUN_0040cda0 | 86 |
| 72 | 0x0040ce80 | FUN_0040ce80 | 17 |
| 73 | 0x0040cf40 | FUN_0040cf40 | 57 |
| 74 | 0x0040d430 | FUN_0040d430 | 6 |
| 75 | 0x0040d8f0 | FUN_0040d8f0 | 337 |
| 76 | 0x0040dc70 | FUN_0040dc70 | 6 |
| 77 | 0x0040dcb0 | FUN_0040dcb0 | 176 |
| 78 | 0x0040e500 | FUN_0040e500 | 95 |
| 79 | 0x00412010 | FUN_00412010 | 61 |
| 80 | 0x00412100 | FUN_00412100 | 38 |

# Output (this session ONLY produces these — does NOT touch hooks.csv)
- 80 per-RVA .md plates in re/analysis/bucket_00405400/
- ONE queue row appended to re/SCRIBE_QUEUE.md (Queued section):
    2026-05-18  batch-t-s1  rvas=0x...,0x...  bucket=re/analysis/bucket_00405400
                  subsystem_observed=<X>  notes=<one-line>

# NO COMMITS, NO hooks.csv WRITES
- Do NOT mutate hooks.csv, STUBS.md, UNCERTAINTIES.md, or DEFERRED.md.
  Those are the sweep's responsibility (ghidra-sweep runs after all 6
  sessions return). Writing them here would collide with the parallel
  agents in batch_t (shared working tree).
- Do NOT git commit. The orchestrating session commits everything once
  all 6 agents return.

# STOP-AND-ASK
- function_at returns null AND listing_code_unit_at also null -> skip + note
- Bucket-range turns out to be CRT residue (FidDB-attested Library tags) -> halt,
  report. batch_t sessions should NOT promote CRT - separate library-tag drain.
- RW catalog match found but signature mismatches Ghidra decomp -> flag, do NOT auto-name
- More than 5 candidates have catalogued [UNCERTAIN] markers above C2 threshold -> halt
- Adjacent functions in the bucket form a known struct shape (>= 3 share offsets) ->
  optionally produce re/analysis/structs/<name>.md alongside the plates


==============================================================================
Session 2 — bucket_0048ad50  (FIRST-PASS, 80-RVA discovery)
==============================================================================

Pool slot:    Mashed_pool2 (pre-assigned)
Model:        Opus 4.7 (claude-opus-4-7[1m]) — hard cap 100 RVAs (this session: 80)
Skill:        discover-c1-batch (first-pass; Opus 1M mode)
Bucket dir:   re/analysis/bucket_0048ad50/
Drains to:    re/SCRIBE_QUEUE.md (Queued); ghidra-sweep picks up later
Address span: 0x0048ad50 .. 0x0049db00  (~15,111 bytes of code)

# Mission
Discover and write C0->C1 plates for 80 unmapped functions in the
contiguous-RVA bucket anchored at 0x0048ad50. These functions have
no row in hooks.csv and no analysis note. Working hypothesis on subsystem: infer
from xrefs during decomp; report the observed subsystem in the queue row's
`subsystem_observed=` field.

# Pre-flight
```bash
export POOL_SLOT_FILE=".pool_slot_batch_t_s2"
bash scripts/ghidra_pool.sh acquire   # should return Mashed_pool2 if free
sha256sum original/MASHED.exe        # MUST equal BDCAE0...EFD3C0E
```

# Workflow (Opus 1M — bulk-coherent per session)
Read all 80 candidate RVAs first; then decomp them in clusters of ~10-15 at a
time. Opus 1M context lets you keep 80 functions' decomp + cross-refs in scope
simultaneously — exploit this for cross-function naming (recurring callees,
shared globals, repeated string patterns identify clusters).

Per RVA:
  1. mcp__ghidra__function_at <rva>     (or listing_code_unit_at if no fn)
  2. mcp__ghidra__decomp_function       (the body)
  3. mcp__ghidra__function_callees      (depth-1 callees)
  4. mcp__ghidra__function_callers      (subsystem inference)
  5. Cross-ref the RW catalog: if the function's signature/calls/constants
     match an RW API entry, name accordingly and cite catalog row.
  6. Write re/analysis/bucket_0048ad50/<rva>.md with:
     - frontmatter (rva, name, size_bytes, confidence=C1, callees_depth1,
       callers_noted, opened_in_slot=Mashed_pool2, session_date=2026-05-18)
     - ## Mechanical description (bullets; no speculation; cite addresses)
     - ## Constants (table; cite RVA for each)
     - ## Uncertainties (file U-IDs to UNCERTAINTIES.md)
     - ## Stubs encountered (file S-IDs to STUBS.md)

# Candidates
| # | RVA | Ghidra name | size |
|---|-----|-------------|------|
| 1 | 0x0048ad50 | FUN_0048ad50 | 134 |
| 2 | 0x0048ade0 | FUN_0048ade0 | 19 |
| 3 | 0x0048ae00 | FUN_0048ae00 | 354 |
| 4 | 0x0048af70 | FUN_0048af70 | 128 |
| 5 | 0x0048aff0 | FUN_0048aff0 | 541 |
| 6 | 0x0048b230 | FUN_0048b230 | 519 |
| 7 | 0x0048b440 | FUN_0048b440 | 483 |
| 8 | 0x0048b650 | FUN_0048b650 | 355 |
| 9 | 0x0048b7c0 | FUN_0048b7c0 | 407 |
| 10 | 0x0048b960 | FUN_0048b960 | 387 |
| 11 | 0x0048baf0 | FUN_0048baf0 | 117 |
| 12 | 0x0048bb70 | FUN_0048bb70 | 104 |
| 13 | 0x0048bbe0 | FUN_0048bbe0 | 36 |
| 14 | 0x0048bc10 | FUN_0048bc10 | 13 |
| 15 | 0x0048cee0 | FUN_0048cee0 | 110 |
| 16 | 0x0048cf70 | FUN_0048cf70 | 28 |
| 17 | 0x0048cf90 | FUN_0048cf90 | 337 |
| 18 | 0x0048d0f0 | FUN_0048d0f0 | 80 |
| 19 | 0x0048d140 | FUN_0048d140 | 485 |
| 20 | 0x0048d360 | FUN_0048d360 | 434 |
| 21 | 0x0048d540 | FUN_0048d540 | 434 |
| 22 | 0x0048d720 | FUN_0048d720 | 434 |
| 23 | 0x0048d900 | FUN_0048d900 | 505 |
| 24 | 0x0048db20 | FUN_0048db20 | 505 |
| 25 | 0x0048dd40 | FUN_0048dd40 | 505 |
| 26 | 0x0048df60 | FUN_0048df60 | 505 |
| 27 | 0x0048e180 | FUN_0048e180 | 434 |
| 28 | 0x0048e360 | FUN_0048e360 | 619 |
| 29 | 0x0048e5f0 | FUN_0048e5f0 | 373 |
| 30 | 0x0048e7b0 | FUN_0048e7b0 | 97 |
| 31 | 0x0048e820 | FUN_0048e820 | 599 |
| 32 | 0x0048eac0 | FUN_0048eac0 | 250 |
| 33 | 0x0048f590 | FUN_0048f590 | 235 |
| 34 | 0x0048f780 | FUN_0048f780 | 287 |
| 35 | 0x0048f8a0 | FUN_0048f8a0 | 332 |
| 36 | 0x0048f9f0 | FUN_0048f9f0 | 275 |
| 37 | 0x0048fb10 | FUN_0048fb10 | 456 |
| 38 | 0x0048fce0 | FUN_0048fce0 | 39 |
| 39 | 0x0048fd10 | FUN_0048fd10 | 39 |
| 40 | 0x0048fd40 | FUN_0048fd40 | 39 |
| 41 | 0x0048fdd0 | FUN_0048fdd0 | 94 |
| 42 | 0x0048fef0 | FUN_0048fef0 | 35 |
| 43 | 0x0048ff20 | FUN_0048ff20 | 170 |
| 44 | 0x0048ffd0 | FUN_0048ffd0 | 41 |
| 45 | 0x0049c5d0 | FUN_0049c5d0 | 73 |
| 46 | 0x0049c620 | FUN_0049c620 | 102 |
| 47 | 0x0049c690 | FUN_0049c690 | 4 |
| 48 | 0x0049c6a0 | FUN_0049c6a0 | 8 |
| 49 | 0x0049c6b0 | FUN_0049c6b0 | 22 |
| 50 | 0x0049c6d0 | FUN_0049c6d0 | 10 |
| 51 | 0x0049c6e0 | FUN_0049c6e0 | 103 |
| 52 | 0x0049c750 | FUN_0049c750 | 28 |
| 53 | 0x0049c770 | FUN_0049c770 | 26 |
| 54 | 0x0049c800 | FUN_0049c800 | 8 |
| 55 | 0x0049c810 | FUN_0049c810 | 48 |
| 56 | 0x0049c840 | FUN_0049c840 | 124 |
| 57 | 0x0049c900 | FUN_0049c900 | 41 |
| 58 | 0x0049c930 | FUN_0049c930 | 93 |
| 59 | 0x0049c990 | FUN_0049c990 | 97 |
| 60 | 0x0049ca00 | FUN_0049ca00 | 96 |
| 61 | 0x0049ca60 | FUN_0049ca60 | 156 |
| 62 | 0x0049cb00 | FUN_0049cb00 | 32 |
| 63 | 0x0049cb20 | FUN_0049cb20 | 166 |
| 64 | 0x0049cbd0 | FUN_0049cbd0 | 104 |
| 65 | 0x0049cc40 | FUN_0049cc40 | 39 |
| 66 | 0x0049cc80 | FUN_0049cc80 | 75 |
| 67 | 0x0049ccd0 | FUN_0049ccd0 | 159 |
| 68 | 0x0049cd70 | FUN_0049cd70 | 157 |
| 69 | 0x0049ce10 | FUN_0049ce10 | 147 |
| 70 | 0x0049ceb0 | FUN_0049ceb0 | 31 |
| 71 | 0x0049cf00 | FUN_0049cf00 | 58 |
| 72 | 0x0049d0a0 | FUN_0049d0a0 | 23 |
| 73 | 0x0049d1d0 | FUN_0049d1d0 | 44 |
| 74 | 0x0049d200 | FUN_0049d200 | 58 |
| 75 | 0x0049d920 | FUN_0049d920 | 54 |
| 76 | 0x0049d960 | FUN_0049d960 | 54 |
| 77 | 0x0049d9a0 | FUN_0049d9a0 | 113 |
| 78 | 0x0049da20 | FUN_0049da20 | 107 |
| 79 | 0x0049da90 | FUN_0049da90 | 101 |
| 80 | 0x0049db00 | FUN_0049db00 | 177 |

# Output (this session ONLY produces these — does NOT touch hooks.csv)
- 80 per-RVA .md plates in re/analysis/bucket_0048ad50/
- ONE queue row appended to re/SCRIBE_QUEUE.md (Queued section):
    2026-05-18  batch-t-s2  rvas=0x...,0x...  bucket=re/analysis/bucket_0048ad50
                  subsystem_observed=<X>  notes=<one-line>

# NO COMMITS, NO hooks.csv WRITES
- Do NOT mutate hooks.csv, STUBS.md, UNCERTAINTIES.md, or DEFERRED.md.
  Those are the sweep's responsibility (ghidra-sweep runs after all 6
  sessions return). Writing them here would collide with the parallel
  agents in batch_t (shared working tree).
- Do NOT git commit. The orchestrating session commits everything once
  all 6 agents return.

# STOP-AND-ASK
- function_at returns null AND listing_code_unit_at also null -> skip + note
- Bucket-range turns out to be CRT residue (FidDB-attested Library tags) -> halt,
  report. batch_t sessions should NOT promote CRT - separate library-tag drain.
- RW catalog match found but signature mismatches Ghidra decomp -> flag, do NOT auto-name
- More than 5 candidates have catalogued [UNCERTAIN] markers above C2 threshold -> halt
- Adjacent functions in the bucket form a known struct shape (>= 3 share offsets) ->
  optionally produce re/analysis/structs/<name>.md alongside the plates


==============================================================================
Session 3 — bucket_004e1ce0  (FIRST-PASS, 80-RVA discovery)
==============================================================================

Pool slot:    Mashed_pool3 (pre-assigned)
Model:        Opus 4.7 (claude-opus-4-7[1m]) — hard cap 100 RVAs (this session: 80)
Skill:        discover-c1-batch (first-pass; Opus 1M mode)
Bucket dir:   re/analysis/bucket_004e1ce0/
Drains to:    re/SCRIBE_QUEUE.md (Queued); ghidra-sweep picks up later
Address span: 0x004e1ce0 .. 0x004e7fa0  (~16,211 bytes of code)

# Mission
Discover and write C0->C1 plates for 80 unmapped functions in the
contiguous-RVA bucket anchored at 0x004e1ce0. These functions have
no row in hooks.csv and no analysis note. Working hypothesis on subsystem: infer
from xrefs during decomp; report the observed subsystem in the queue row's
`subsystem_observed=` field.

# Pre-flight
```bash
export POOL_SLOT_FILE=".pool_slot_batch_t_s3"
bash scripts/ghidra_pool.sh acquire   # should return Mashed_pool3 if free
sha256sum original/MASHED.exe        # MUST equal BDCAE0...EFD3C0E
```

# Workflow (Opus 1M — bulk-coherent per session)
Read all 80 candidate RVAs first; then decomp them in clusters of ~10-15 at a
time. Opus 1M context lets you keep 80 functions' decomp + cross-refs in scope
simultaneously — exploit this for cross-function naming (recurring callees,
shared globals, repeated string patterns identify clusters).

Per RVA:
  1. mcp__ghidra__function_at <rva>     (or listing_code_unit_at if no fn)
  2. mcp__ghidra__decomp_function       (the body)
  3. mcp__ghidra__function_callees      (depth-1 callees)
  4. mcp__ghidra__function_callers      (subsystem inference)
  5. Cross-ref the RW catalog: if the function's signature/calls/constants
     match an RW API entry, name accordingly and cite catalog row.
  6. Write re/analysis/bucket_004e1ce0/<rva>.md with:
     - frontmatter (rva, name, size_bytes, confidence=C1, callees_depth1,
       callers_noted, opened_in_slot=Mashed_pool3, session_date=2026-05-18)
     - ## Mechanical description (bullets; no speculation; cite addresses)
     - ## Constants (table; cite RVA for each)
     - ## Uncertainties (file U-IDs to UNCERTAINTIES.md)
     - ## Stubs encountered (file S-IDs to STUBS.md)

# Candidates
| # | RVA | Ghidra name | size |
|---|-----|-------------|------|
| 1 | 0x004e1ce0 | FUN_004e1ce0 | 61 |
| 2 | 0x004e1d20 | FUN_004e1d20 | 195 |
| 3 | 0x004e1e70 | FUN_004e1e70 | 234 |
| 4 | 0x004e2030 | FUN_004e2030 | 91 |
| 5 | 0x004e2090 | FUN_004e2090 | 899 |
| 6 | 0x004e2420 | FUN_004e2420 | 77 |
| 7 | 0x004e2470 | FUN_004e2470 | 132 |
| 8 | 0x004e2500 | FUN_004e2500 | 37 |
| 9 | 0x004e2530 | FUN_004e2530 | 273 |
| 10 | 0x004e2650 | FUN_004e2650 | 730 |
| 11 | 0x004e2930 | FUN_004e2930 | 560 |
| 12 | 0x004e2b60 | FUN_004e2b60 | 137 |
| 13 | 0x004e2bf0 | FUN_004e2bf0 | 884 |
| 14 | 0x004e2fa0 | FUN_004e2fa0 | 68 |
| 15 | 0x004e2ff0 | FUN_004e2ff0 | 125 |
| 16 | 0x004e3160 | FUN_004e3160 | 598 |
| 17 | 0x004e33c0 | FUN_004e33c0 | 68 |
| 18 | 0x004e3410 | FUN_004e3410 | 81 |
| 19 | 0x004e3470 | FUN_004e3470 | 549 |
| 20 | 0x004e4130 | FUN_004e4130 | 89 |
| 21 | 0x004e41b0 | FUN_004e41b0 | 36 |
| 22 | 0x004e42a0 | FUN_004e42a0 | 35 |
| 23 | 0x004e42d0 | FUN_004e42d0 | 42 |
| 24 | 0x004e4300 | FUN_004e4300 | 26 |
| 25 | 0x004e4380 | FUN_004e4380 | 38 |
| 26 | 0x004e4450 | FUN_004e4450 | 143 |
| 27 | 0x004e45b0 | FUN_004e45b0 | 160 |
| 28 | 0x004e47b0 | FUN_004e47b0 | 71 |
| 29 | 0x004e4810 | FUN_004e4810 | 71 |
| 30 | 0x004e4860 | FUN_004e4860 | 119 |
| 31 | 0x004e48e0 | FUN_004e48e0 | 32 |
| 32 | 0x004e4b90 | FUN_004e4b90 | 55 |
| 33 | 0x004e4bd0 | FUN_004e4bd0 | 39 |
| 34 | 0x004e4c00 | FUN_004e4c00 | 34 |
| 35 | 0x004e4c30 | FUN_004e4c30 | 338 |
| 36 | 0x004e4dd0 | FUN_004e4dd0 | 144 |
| 37 | 0x004e4ec0 | FUN_004e4ec0 | 49 |
| 38 | 0x004e4f70 | FUN_004e4f70 | 165 |
| 39 | 0x004e5020 | FUN_004e5020 | 364 |
| 40 | 0x004e5190 | FUN_004e5190 | 72 |
| 41 | 0x004e51e0 | FUN_004e51e0 | 156 |
| 42 | 0x004e5280 | FUN_004e5280 | 122 |
| 43 | 0x004e5300 | FUN_004e5300 | 710 |
| 44 | 0x004e55d0 | FUN_004e55d0 | 129 |
| 45 | 0x004e5660 | FUN_004e5660 | 31 |
| 46 | 0x004e5700 | FUN_004e5700 | 288 |
| 47 | 0x004e5820 | FUN_004e5820 | 21 |
| 48 | 0x004e5840 | FUN_004e5840 | 8 |
| 49 | 0x004e5850 | FUN_004e5850 | 923 |
| 50 | 0x004e5bf0 | FUN_004e5bf0 | 57 |
| 51 | 0x004e5c30 | FUN_004e5c30 | 62 |
| 52 | 0x004e5c70 | FUN_004e5c70 | 89 |
| 53 | 0x004e5cd0 | FUN_004e5cd0 | 39 |
| 54 | 0x004e5d00 | FUN_004e5d00 | 34 |
| 55 | 0x004e5ef0 | FUN_004e5ef0 | 60 |
| 56 | 0x004e5f30 | FUN_004e5f30 | 62 |
| 57 | 0x004e5f90 | FUN_004e5f90 | 47 |
| 58 | 0x004e6100 | FUN_004e6100 | 327 |
| 59 | 0x004e62f0 | FUN_004e62f0 | 372 |
| 60 | 0x004e6470 | FUN_004e6470 | 122 |
| 61 | 0x004e65c0 | FUN_004e65c0 | 75 |
| 62 | 0x004e6650 | FUN_004e6650 | 43 |
| 63 | 0x004e66d0 | FUN_004e66d0 | 57 |
| 64 | 0x004e6760 | FUN_004e6760 | 67 |
| 65 | 0x004e67b0 | FUN_004e67b0 | 201 |
| 66 | 0x004e6880 | FUN_004e6880 | 32 |
| 67 | 0x004e6e00 | FUN_004e6e00 | 377 |
| 68 | 0x004e6fb0 | FUN_004e6fb0 | 33 |
| 69 | 0x004e7010 | FUN_004e7010 | 70 |
| 70 | 0x004e7060 | FUN_004e7060 | 952 |
| 71 | 0x004e7420 | FUN_004e7420 | 2207 |
| 72 | 0x004e7cc0 | FUN_004e7cc0 | 124 |
| 73 | 0x004e7d70 | FUN_004e7d70 | 39 |
| 74 | 0x004e7da0 | FUN_004e7da0 | 34 |
| 75 | 0x004e7dd0 | FUN_004e7dd0 | 24 |
| 76 | 0x004e7df0 | FUN_004e7df0 | 24 |
| 77 | 0x004e7e10 | FUN_004e7e10 | 19 |
| 78 | 0x004e7e50 | FUN_004e7e50 | 60 |
| 79 | 0x004e7e90 | FUN_004e7e90 | 62 |
| 80 | 0x004e7fa0 | FUN_004e7fa0 | 131 |

# Output (this session ONLY produces these — does NOT touch hooks.csv)
- 80 per-RVA .md plates in re/analysis/bucket_004e1ce0/
- ONE queue row appended to re/SCRIBE_QUEUE.md (Queued section):
    2026-05-18  batch-t-s3  rvas=0x...,0x...  bucket=re/analysis/bucket_004e1ce0
                  subsystem_observed=<X>  notes=<one-line>

# NO COMMITS, NO hooks.csv WRITES
