0x00405400	[C1 2026-05-18] Pure store. Sets three adjacent globals to zero: - `DAT_00639d70 = 0` (at 0x00405400 body) -...
0x00407e20	[C1 2026-05-18] **STRING ANCHOR**: `FID_conflict:_wprintf("i is too big!!\n")` — debug print for index overflow at...
0x00408590	[C1 2026-05-18] Two-arg: `(int param_1, int param_2)`. param_1 is an AI/track-state struct ptr; param_2 is a "vehicle...
0x00408610	[C1 2026-05-18] 3-arg AI update: `(int param_1, undefined4 param_2, int param_3)`. - param_1 = vehicle/this struct. -...
0x00409300	[C1 2026-05-18] "Get first int of group param_1 in range-table" — yet another walker over the FUN_00426090 table.
0x00409330	[C1 2026-05-18] "Next value of param_1 in group param_2 of range-table" — similar to 0x00407cd0 but signature...
0x004093b0	[C1 2026-05-18] 3-arg: `(undefined4 param_1, float *param_2, float *param_3)`. param_1 = track-piece index, param_2/3 =...
0x004095a0	[C1 2026-05-18] **STRING ANCHORS**: `"toastart/common/led/"` (path prefix), `"LE%d.LED"` (filename format).
0x004096a0	[C1 2026-05-18] Loads the .LED file built by 0x004095a0.
0x00409790	[C1 2026-05-18] Command dispatcher for "LED-editor commands" — switch on the result of `FUN_0055dec0(&DAT_0066d728)`...
0x004098a0	[C1 2026-05-18] Returns `&DAT_0063a5f0` — the LED entry array base (same as 0x004096a0's read target).
0x004098d0	[C1 2026-05-18] Pure init. Sets four globals to fixed values: - `DAT_008a9584 = 1` - `DAT_008a9588 = 0xc (= 12)` -...
0x00409950	[C1 2026-05-18] Pure init. Same global family as 0x004098d0 — sets: - `DAT_008a9584 = 3` - `DAT_008a9590 = 3` -...
0x00409970	[C1 2026-05-18] Pure init. Same state-flag family as 0x004098d0 / 0x00409950: - `DAT_008a9580 = DAT_008a9584` (save...
0x00409a80	[C1 2026-05-18] **STRING ANCHOR**: `"status change\n"` — debug print.
0x0040ad40	[C1 2026-05-18] 2-arg: `(undefined4 param_1, float param_2)`. param_1 is a handle.
0x0040ad90	[C1 2026-05-18] 3-arg: `(undefined4 param_1, float param_2, float param_3)`. Applies a 2D rotation/scale to object...
0x0040ae30	[C1 2026-05-18] 1-arg `(undefined4 param_1)` — object handle.
0x0040aef0	[C1 2026-05-18] 1-arg `(float param_1)` — int parameter mistyped as float; iVar3 = (int)param_1 is the slot index.
0x0040b420	[C1 2026-05-18] Returns `(&DAT_008a9500)[param_1]` — fetch dword at `0x008a9500 + param_1 * 4`. Pure indexed getter.
0x0040b890	[C1 2026-05-18] Returns an int (one of 8, 12).
0x0040b8e0	[C1 2026-05-18] Sister function to 0x0040b890; same shape but returns 7 or 10.
0x0040b930	[C1 2026-05-18] `void FUN_0040b930(undefined4 *param_1)` — writes 4 dwords (1 = "win", 0 = "not") into param_1[0..3].
0x0040b970	[C1 2026-05-18] `void FUN_0040b970(undefined4 *param_1)` — same shape as 0x0040b930 but tests for score == 0.
0x0040b9a0	[C1 2026-05-18] `void FUN_0040b9a0(undefined4 *param_1, int param_2)`.
0x0040ba00	[C1 2026-05-18] `void FUN_0040ba00(undefined4 *param_1)`.
0x0040ba60	[C1 2026-05-18] `void FUN_0040ba60(int param_1)` — write 4 dwords at param_1[0..3].
0x0040baa0	[C1 2026-05-18] 2-arg: `(int *param_1, undefined4 *param_2)`. param_1 is an object whose first dword `*param_1` is a...
0x0040bae0	[C1 2026-05-18] 2-arg: `(int param_1, undefined4 param_2)`.
0x0040be50	[C1 2026-05-18] Large per-projectile-collision handler. Reads `in_EAX` as a projectile slot index. Uses two parallel...
0x0040c5b0	[C1 2026-05-18] Driver loop for FUN_0040be50.
0x0040c690	[C1 2026-05-18] 6-arg handler (`int param_1, undefined4 param_2, float *param_3, uint param_4, int param_5, int...
0x0040ca00	[C1 2026-05-18] Per-player effect tick driver. Iterates over 4 players (iVar7 from 3 down to 0) using parallel arrays:...
0x0040cd90	[C1 2026-05-18] Ghidra marks this as `thunk_FUN_00425ef0` (5-byte thunk: JMP to 0x00425ef0). The body shown by...
0x0040cda0	[C1 2026-05-18] **STRING ANCHOR**: `"shine"` — passed to FUN_0040bb30 (the same effect-by-name lookup seen in...
0x0040ce80	[C1 2026-05-18] Two-level dereference: `*(*(PTR_PTR_005f2770)[param_1] + 4)`.
0x0040cf40	[C1 2026-05-18] Destructor / release for two singletons: - If `DAT_0063ba90 != 0`: `FUN_004c5a60(DAT_0063ba90);...
0x0040d430	[C1 2026-05-18] Returns `PTR_PTR_005f2770`. Pure getter for the same dispatch table base as 0x0040ce80.
0x0040d8f0	[C1 2026-05-18] Per-player update; `param_1` = player index.
0x0040dc70	[C1 2026-05-18] Returns `DAT_0063b90c`. 5-byte getter.
0x0040dcb0	[C1 2026-05-18] 4-state machine driven by `DAT_0063b90c` (state register).
0x0040e500	[C1 2026-05-18] "Find first player with state-flag != some-value" or similar.
0x00412010	[C1 2026-05-18] Bulk destructor over the array at `&DAT_0063bb38`, end-sentinel `0x0063bc40` (= 0x0063bb38 + 0x108 = 11...
0x00412100	[C1 2026-05-18] Walks the same record array as 0x00412010 (`&DAT_0063bb38`, stride 0xb dwords = 0x2c bytes, ending at...
