entry,size,nmnem,mnemhash,strings,callees,imms,datafps
0x00402240,89,37,3b41272c76a7b452bf920fc013c92bddcbfbda85,"","401fe0;4e6d80;4c0b30;4e67b0;4c0b30;4e7e30;4e68a0;4e6f80;4c1040;4e8ea0","",""
0x004022a0,744,224,7c2cda437319addef597af164594978bfd20d1de,"","4e7fa0;4e8c70;4e8910;4e8940;4e8910;4e8940;4e8640;4e8a10;4e8030","",""
0x00402590,89,37,3b41272c76a7b452bf920fc013c92bddcbfbda85,"","4022a0;4e6d80;4c0b30;4e67b0;4c0b30;4e7e30;4e68a0;4e6f80;4c1040;4e8ea0","",""
0x004025f0,208,52,cffac078fd600501dc78927dbd8a112b7eb7a6fe,"","401630;401690;402240;402590","",""
0x004026d0,120,43,ea69f4c84a3b27012e8c08f68cce6fb8387c163b,"","4671a0;4c1bb0;4671a0;4c1a00;4671a0;4c19f0;4671a0;4c1be0","",""
0x00402750,722,187,659b3564206a0a22099689aaee792c38c733ff32,"d:\toastart\common\font36.piz|SemiC2|lensflare-fs8|d:\toastart\common\powerups\powerups.piz|d:\toastart\common\Panel\Panel.piz|d:\ToastArt\common\perm.piz|toastart\pc\pc.txd","4d8560;4963e0;4b6540;4b6560;4963e0;4963e0;496e40;4caea0;4c2f00;4c2ed0;498bc0;498bd0;4963e0;495350;494c80;495280;4283a0;427ca0;4671a0;4275d0;4274d0;4274e0;4952f0;4113b0;558240;4841d0;4671a0;484170;4669b0;40bbb0;4723d0;45b350;40bb50;40bb50;40bb30;4881d0;4963e0;4671a0;403640;4671a0;47ba00;499ce0;495280;45bae0;418980;4952f0;495280;41b450;41bec0;41cb10;41d6e0;41def0;41d8b0;41c100;41db90;41a1e0;4952f0;41eaa0;420d00;412890;471eb0;404830;495280;425bc0;4025f0;4952f0;4b3d80;431b40;402f50;428390;4026d0","","53657474696e6720|0000010101000001|b8274000b1274000|6a01e859410300e8|094f4b0a00000000|43616c6c696e6720|53656d6943000000"
0x00402a40,293,69,c6e46fa3fa39874a965b3956048b6b9bb59d6c75,"","403660;494ef0;494f20;494bc0;4c5930;496ce0;40cf80;426ba0;426c00;40cfd0;4114c0;41a3d0;41de70;41c2c0;41da80;41e0d0;41d890;41ccf0;41c0e0;41b660;489250;45b930;41ffb0;4189e0;421590;4014b0;40bd00;484130;45b350;5581f0;4671a0;467020;467070;4b4880;4b4880;42c2a0;427620;47ba10;425ed0;4015a0;4b6550;467010;4d8560;428400","",""
0x00402b70,960,344,33b68ca4294459846a3881d63c18b71d4a95a851,"Directory names must have no more than %d letter|PLATFORM|LATFORM","4a2fd0;4a2fd0;4a2b60;4a2fd0;4a2b60;4987b0;4987b0;4987b0;4a2b60;4a2fd0;4a2b60;5c192c;4a2b60;4a2b60;5c192c;5c192c;4987b0;4a2be9","","4ee640bb75980000|257300006f12833a|46696c65206e616d|5b25735d20686173|00005b25735d2068|5c0000005b25735d|2f0000005c000000|505332002f000000|5332002f0000005c|58424f5800000000|424f580000000050|50430000504c4154|0000005b25735d20|2e00000050430000|46696c654e616d65"
0x00402f40,6,2,0eaf1fafb0ca569043d76c0b5727fdb6b43a4f8e,"","","",""
0x00402f50,48,9,7a156cbd6b8011a7fe5a44194aa89997cf1bd689,"","","",""
0x00402f80,41,5,8fb69862feefbe678b4c0b52c6681054c717e323,"","","",""
0x00402fb0,148,38,845390a3781648eec3b597706993de33156db9fc,"","4a2c48;427e00;427e00","","0000fec200000040|cdcccc3d0000fec2"
0x00403050,125,36,b55f62d4294661ed09fc79dd6036be5aeb580607,"","428760;402fb0;4a2be9","","4ee640bb75980000"
0x004030d0,137,40,f714b6228aad33b2431234060462661357657ad3,"","42c1c0;472640;42b950;43df00","",""
0x00403160,230,69,284bffb4ea0b3587751082936c8ae2b76ccbdf4c,"","4671a0;4c19f0;4c1c80;4c1a00;402fb0;428760;4c19f0;4c1c80;4c1a00;4a2be9","","4ee640bb75980000"
0x00403250,583,176,8194155cd30d19c9aa22e34c2451dc87a4393b5f,"","443080;448700;42b920;433240;493590;448700;45bed0;45bf30","","0000004009556e61"
0x004034a0,412,127,1b8ef68743e073ec9b7ba2845cf77ba20158c22a,"Video card supports D3DPTEXTURECAPS_NONPOW2CONDI|Video card does NOT support D3DPTEXTURECAPS_NONP|Video card supports D3DDEVCAPS2_CAN_STRETCHRECT_|Video card does NOT support D3DDEVCAPS2_CAN_STRE|Attempting to create texture for back buffer (%d","4963e0;4963e0;498bc0;498bd0;498bf0;498be0;4963e0;4963e0;496400;4963e0;4c77c0","","666f726d6174203d|0943726561746564|09556e61626c6520"
0x00403640,24,7,05f89249592323be61ff4fe138a35427aeb7c9a7,"","4034a0","",""
0x00403660,54,15,94bff35675a7c65f42abb15632589acbb2a387d7,"","4c7650","",""
0x004036a0,612,159,9f3071ce804f3ce588951a03d1e8a3133cda257b,"","4c75e0","","0000803f8988083d"
0x00403910,170,58,b6c258fe93638d51741bc9a6e86c72da1319ddf7,"","4938e0;4036a0","",""
0x004039c0,23,7,1a6fa017f6c8b75af8ce0522daf4659675803832,"Bomb.dff","42a5d0","",""
0x004039e0,7,2,5376a9cef48678c49051ad7513be87f916409a7c,"","","","0000803f0000f041"
0x004039f0,611,171,fbced207cb06d80efcc047e4821f5bea86e6dc44,"","41f290;4633d0;4633d0;417730;4a3090;417730;4a3090;4a2c48;4215c0;4215c0;476860;480720;481750;486460;486460;422fd0;408a50;4633d0","fffffffc","0000f041ffffffff|0000803f0000f041|0000803f8988083d|00000000ffffffff|ffffffffffffffff|000000000000803f|8fc2f53c00007042"
0x00403c60,207,53,986cae5abe81dd416469604b08d533352b764617,"","427ad0;427ad0;427ad0;427ad0","",""
0x00403d30,124,31,0fdaf220ece96b37e46d517a19f9ad0a65afb317,"","427ad0;427ad0","",""
0x00403db0,278,69,edb14d02ab320597df0783c0ba7abc209bb0ce2a,"","427ad0;427ad0;427ad0;427ad0;427ad0;427ad0","",""
0x00403ed0,206,53,75d094b0343122797f587d632b66ddaca990cb59,"","427ad0;427ad0;427ad0;427ad0","",""
0x00403fa0,529,150,54e1488eeec365b40cf05f887ba48e497ee17674,"","427e00;427e00;427e00;427e00;427e00;427e00;427e00;427e00","","0000203f0000f042|0000003f6d61705f|0000803f8988083d|0000dc420000203f|0000a0420000dc42|000040400000803f|0000f0410000a042|ffffffffffffffff|000070420000f041|ffffffffd4c85c00"
0x004041c0,343,83,d62933207b9ee166d7c90508adc44b15523d4bb6,"","417730;427e00;427e00","","0000004009556e61|00000000ffffffff|6f12833a00002041|0000203f0000f042|0000003f6d61705f|0000803f8988083d|0000f042cdcc8440|000070420000f041|000040400000803f"
0x00404320,802,235,339c9f7ead57b16e4ac119529c7b35e04867b114,"","4c19f0;4c1c80;4c1a00;40e350;40e350;40e350;403d30;4c19f0;4c1c80;4c1a00;4c19f0;4c1c80;4c1a00;40e350;40e350;40e350;40e350;4041c0;403db0;4c19f0;4c1c80;4c1a00;40e350;40e350;40e350;403ed0;4c19f0;4c1c80;4c1a00;40e350;40e350;40e350;40e350;403fa0;403c60;4c19f0;4c1c80;4c1a00","","00000000ffffffff"
0x00404650,79,24,fdde3758c9f5606edf277b117ccc1e8ecca9949c,"","41f290;4c1480;4e6680","","00000000ffffffff"
0x004046a0,377,94,1f62b1b7e875de3bd05d1bac0861e730fdc97b64,"fff@SandSpWheel","426cf0;426c00;4173a0","fffffffc","cdcccc3d0000fec2|0000803f8988083d|ffffffffd4c85c00|0000003f6d61705f|000040400000803f|0000804166666640|0000884100008041|9a99b94000008841|000068419a99b940|cdcc844000006841|0000803f0000f041|0000f041ffffffff|ffffffffffffffff"
0x00404820,13,5,3dc305c2b24563f26946344f695ca50169dc58e9,"","4e6e00","",""
0x00404830,1474,214,a26ef97e1a0315e609e36ad28191f7df34d3244c,"","","ffffffe8|ffffdb58|ffffdb70|ffffdb88|ffffdba0|ffffdbb8|ffffdbd0|ffffdbe8|ffffdc00|ffffdc18|ffffdc30|ffffdc48|ffffdc60|ffffdc78|ffffddc8|ffffdde0|ffffddf8|ffffde10|ffffde28|ffffde40|ffffde58|ffffde70|ffffde88|ffffdea0|ffffdeb8|ffffded0|ffffdee8|fffff9d0|fffff9e8|fffffa00|fffffa18|fffffa30|fffffa48|fffffa60|fffffa78|fffffa90|fffffaa8|fffffac0|fffffad8|fffffaf0|ffffe8c0|ffffe8d8|ffffe8f0|ffffe908|ffffe920|ffffe938|ffffe950|ffffe968|ffffe980|ffffe998|ffffe9b0|ffffe9c8|ffffe9e0|ffffdf00|ffffdf18|ffffdf30|ffffdf48|ffffdf60|ffffdf78|ffffdf90|ffffdfa8|ffffdfc0|ffffdfd8|ffffdff0|ffffe008|ffffe020|fffffb08|fffffb20|fffffb38|fffffb50|fffffb68|fffffb80|fffffb98|fffffbb0|fffffbc8|fffffbe0|fffffbf8|fffffc10|fffffc28",""
0x00404e00,27,8,6961e64a8b6e0488db1a68c48e35e762888ad20b,"","","","d4c85c00c8c85c00"
0x00404e20,36,11,a194b91b750b55da14dfe2fb1672c182550ca95a,"","","","a4c85c0094c85c00"
0x00404e50,33,9,9af4db58616167c1420ddffa13affac7196c14c5,"gamesave.bin","4b3b70;4099e0","24fa0",""
0x00404e80,87,26,f4a5df469780a40a5308e9fb718ba572fe0d14dd,"","","",""
0x00404ee0,92,27,196aba487f552d1fdf95c31dc69eb8e85d758314,"","","",""
0x00404f50,33,9,9af4db58616167c1420ddffa13affac7196c14c5,"gamesave.bin","4b3bb0;4099e0","24fa0",""
0x00404f80,20,7,ae06d059247c7e730f83cdec5a1c8144ffa47e72,"gamesave.bin","550b00","",""
0x00404fa0,1063,315,5e479c1cdb47e17d63f52d44d6d76ed49e3a4acf,"","532a60;532a60;4752d0;4752d0;546e70;482ae0;4c51a0","ffffffdc|ffffffee|fffffffe","00000000ffffffff|747765656e206973|0000803f8988083d|d3c92e2f74776565|342fd732d3c92e2f|1bef3836342fd732|010d50391bef3836|8988083c010d5039|abaa2a3e8988083c|0000004009556e61"
0x004053d0,45,12,02180020b3acb71d2ea2f7b477e84bba020be3d8,"","","",""
0x00405400,23,5,9ee692fc381956eb6330bca322795fd8ad939196,"","","",""
0x00405420,11,2,0eaf1fafb0ca569043d76c0b5727fdb6b43a4f8e,"","","",""
0x00405430,39,13,81536bd819dc380f5913cc3c6af97a8dd3172e24,"","","",""
0x00405460,223,65,c0ebdaf55d1d4fcc1062ce078415588e881962ea,"","4c1c80;404fa0;4c1480;4c1480","","0000403f726f6c6c|00000000ffffffff|0000804f0000403f|3ec3ae390000804f"
0x00405540,495,151,5385e8c17973e392a491f9437bad6d7a8619e48b,"","4c39b0;4a3384;4c39b0;4a3384;4c39b0;4a3384;4a2cbd;475770;4a2cbd","fffffff8","00000020dca54c40|00000000ffffffff|726f6c6c2025662c"
0x00405730,80,26,486df1dbad38689f734678dc91173a1c28b2795d,"","458e00","",""
0x00405780,257,59,357b55b23cb76607bb7f80154e4610a0ce47288e,"","4a2b60","",""
0x00405890,26,10,7085528d87275b68391cb5f428e1f3d1e81cc8dc,"","","",""
0x004058b0,15,5,0d31f39e367047046c9311c78b01086101085295,"","","",""
0x004058c0,25,5,0452af91781655d58b8db220868534b62cdbc063,"","4058b0","",""
0x004058e0,62,24,d190020d7e68461b0746468a7209f27f9d1e0fd7,"","4058c0","",""
0x00405920,398,132,06869407398001b4095ff57310cb189e2e71cd96,"","45bfe0;4b4cd0;45c350;45bfe0;4b4cd0;45c350;4c3ac0;4c39b0;4726f0;4a3384","","acc527372549923d|e12e6542acc52737"
0x00405ab0,1192,292,ac2fe83312351b850c0d7d5bb21392c12e38cb20,"","4c0ed0;465ca0;465ca0;476320;48aa20;48aa20;474de0;472650;472650;472650;456140;474de0;472650;472650;472650;456140;4173a0;421630;472650;472650;4173a0;4173a0;4173a0;46bf50;472650;4173a0;4173a0;4173a0;46d740;472650;472650;472650;472650;472650;472650;472650;472650;472650","","7f6abc3c3333b33f|cdcccc3c7f6abc3c|0ad7233c0000003f|cdcccc3d0000fec2|cdcc4c3dcdcccc3c|9a99993ecdcc4c3d|00000000ffffffff|9a9999be9a99993e|2549923d9a9999be"
0x00405f60,261,78,491f8d6f5da40d9f0298fe5a673987e290a68331,"","405920;472650;405920;405ab0","","3333b33f00007041|cdcc4c3dcdcccc3c|00000000ffffffff"
0x00406070,192,61,dc339720f87d7e246b35b1b176975bee97b7a1ad,"","4c1480;4899c0;465e80;465e80","",""
0x00406130,46,17,3601e82095f40c3c7becfa13db914e35e37c4079,"","4e6680;489c30","fffffffc|fffffff0",""
0x00406160,522,159,d956d8d936ab6ba5b25558b3b8b2e1e86acbe5e8,"","4c0ed0;4c1340;489a40;45dce0;45bfe0;4b4d10;45c350;4173a0;453eb0;476860;4661a0","fffffff8|fffffffc","0000e040cdcc4c3f|a4707d3f0000e040|0000c03f000000c0|cdcc4c3dcdcccc3c|00007041a4707d3f|000000000000803f"
0x00406370,153,32,faf1978ff962539782a5176e31507272f1f84b87,"","","",""
0x00406410,174,49,7a6a06a8aab65c4da320dd5fae1351e4e309eb9d,"","405920;472650;472690;4c0ed0;406070","","00000000ffffffff|0000003f6d61705f"
0x004064c0,1167,326,f1e9e1dfecb3071d9483e90ba30129ab8792e99e,"","47d150;472650;472650;4c0ed0;4c0ed0;4a2c48;4a2c48;472650;48f780;472650;472650;472650;476860;472650;487020;465940;476860;465940;47cf20;57c210;55ac00;472650;472650;472650;476860;487020;472650;48f780;486460;486460;486460;486460;486460;486460","","0000c842cdcccc3d|0ad7233c0000003f|000040400000803f|0000803f8988083d|000000439999d93f|0000164300000043|6666663f00001643|0000003f6d61705f|8fc2753f6666663f|cdcc4c3e8fc2753f|000000000000803f|cdcc4c3fcdcc4c3e|000020418988083b|000070420000f041"
0x00406950,115,43,fc675e7a2b326f447c401c20084e9f56663cba6e,"","45c330;458f20","","00000000ffffffff"
0x004069d0,264,75,4a90d1c3575806f9167b4a23f5116feebd79535d,"","41f030;4c3ac0;4c39b0","","acc527372549923d|abaaaa3d3333733f|00000000ffffffff|0000803f8988083d|9999d93fabaaaa3d|cdcccc3d0000fec2"
0x00406ae0,508,134,9926572819f5c054eda3e6ac48c812ea984b4844,"","4a2c48;41f030;426c00;426c00;40e350;4173a0;405f60;406410","","610b363c00000041|0000c842cdcccc3d|000040410000a040|0000804166666640|0000c041610b363c|0000d8410000c041|0000a4410000d841|0000c8410000a441|00000000ffffffff|cdcccc3d0000fec2|0000803f8988083d|0000a04000008040|cdcc4c3e8fc2753f|8fc2f53c00007042|3333733f0000c841"
0x00406ce0,1532,405,ac3e3d24f67d70a7987f24a95e06d8c086a0dd5a,"","406160;41f030;47d080;57c210;55ac00;47cf20;47d150;4c0ed0;4c0ed0;4c0ed0;4c1480;4064c0;4c51a0;4c4d20;4c51a0;4c51a0;4c4d20;4c51a0;4b47e0;4c51a0;4c51a0;4b4430;4c51a0;4c4dc0;4c52f0;4c5470;4069d0;406950;406ae0;426020;472690","105b0","000080bf3333333f|610bb63b00007a44|0000c03f000000c0|00000041610bb63b|0000a04000008040|0000803f8988083d|000040400000803f"
0x004072e0,198,70,3c4a43b2327dd4db89804530ab4a29b62bfb244c,"","406130;4b59c0","ffffffa0",""
0x004073b0,237,63,8c5f5ef89ea173ac03dfb58040fb77db885ad284,"","406370;4b47e0;4c1480;47d180","fffffffc|ffffff78|ffffff8c|ffffff94|ffffff7c|ffffffd8|ffffffd4|ffffff9c|ffffff98|ffffffa0|ffffffa4|ffffffa8|ffffffc4|ffffffc8|ffffffcc|ffffffd0|ffffff40|ffffff74",""
0x004074a0,167,55,f456597f73d27e8b23f04a5c23c98fabb2a4b898,"","4e6e00;47f290;4e6e00;489c60","fffffff0|fffffffc",""
0x00407550,35,13,8b27a2338ffcc7f55068041a82806d0b7bf5142e,"","","",""
0x00407580,17,4,70cd48f0face24e3f2af698c6dee9eabd65152c5,"","","",""
0x004075a0,6,2,0eaf1fafb0ca569043d76c0b5727fdb6b43a4f8e,"","","",""
0x004075b0,70,25,fe1ecc63d765ec256e08430af344d369152ee5fe,"","","",""
0x00407600,29,8,247beacbde3e63f2d94484ce00376f7df2fe3bef,"","47d150","",""
0x00407620,29,8,66021b5c4e6e596484413b5e592243db9203d71e,"","","",""
0x00407640,42,16,b49e0ee83180d3c23d21a040e332c242eddd330c,"","","",""
0x004077e0,18,4,76aa64bb8070a76b2a8a95ba4cf7ae9858f60d4d,"","","",""
0x00407800,498,138,620dfb8da248675b8488f5f3402a768cb7e78ca4,"Copters/|ToastArt/common/perm/|%s%s%s.dff","425bf0;4a2b60;4c5c80;4781b0;4b3f90;47fad0;47cdc0;47d130;4b47e0;47d180;47cf20;4b3fc0;4b5190;4952f0;40bb30;454f80;489940;4073b0;406370;4a2be9","ffffffe8|fffffff8|30d40|fffffffc|105b0","4ee640bb75980000|cdcc4c3f9a99193f|736d6f6b65000000"
0x00407a00,24,6,a8ce7befb7c26b319c52dea4ea9d9d931fce2cbe,"","","",""
0x00407a20,17,4,70cd48f0face24e3f2af698c6dee9eabd65152c5,"","","",""
0x00407a40,17,4,70cd48f0face24e3f2af698c6dee9eabd65152c5,"","","",""
0x00407a60,40,12,dcb86397594f7f7fa3d6edaaa50a5de318582544,"","","ffffffd8",""
0x00407b00,99,44,0a16e896700b7f517b38b361edf4138c20eed4a9,"","426090","fffffff6|fffffffe",""
0x00407b70,98,40,84656c21d8f05ac9acb69f3fb62cb941c088364d,"","426090","fffffff6",""
0x00407be0,225,108,5097d64dc1509b7df24a7e345749e2870c3a49b7,"","426090","fffffff6|fffffffc|fffffff8",""
0x00407cd0,157,73,227e3a7cafc9bbe2f56122c0d8666f1be6d072cd,"","426090","fffffff6",""
0x00407d70,60,22,f6861c5966000aeda914ba18ce14e09f64fb615f,"","426090","fffffff6",""
0x00407db0,111,47,1e9889f5eff23fa48901d56f01d3bafb335f466e,"","426090","fffffff6",""
0x00407e20,1895,578,3121d3abc14361d1c96c8f3b56b7412cbacb9956,"","426cb0;426cc0;407be0;407be0;426cb0;426cc0;407be0;407cd0;407cd0;4a2cbd;426cb0;426cc0;407d70;407d70;407cd0;407cd0;426cb0;426cb0;4c39b0;426cb0;426cb0;4c39b0;426d00;426d00;4c39b0;426d00;426d00;4c39b0;426cc0;426d00;426d00;426d00;426d00;407d70;407db0;4a2c48","fffffff6","00000000ffffffff|6920697320746f6f|000020c169206973|0000c842cdcccc3d"
0x00408590,121,39,87eea844dc16d4ce00ecf17037b5788872def6c9,"","426cc0;426cc0;426cc0","","00000000ffffffff"
0x00408610,1066,331,624c6dc503cea3bf91daca3a8b2e517f73c01657,"","426cf0;46cbb0;4a2c48;46cbb0;538c80;407b00;407b70;407b00;407e20;407e20;408590;426bb0;4a2c48;426bb0","fffffffc","001b374a70757420|0000804f0000403f|00000000ffffffff|8b44240c8b542414|0000803f8988083d|0000c642001b374a"
0x00408a50,17,4,76aa64bb8070a76b2a8a95ba4cf7ae9858f60d4d,"","","",""
0x00408a70,96,27,0e47d1c15c13f266e375b99ed9d509b2fde2d8a4,"","4a2cbd;4a2c48","","7075742070726563"
0x00408ad0,17,4,76aa64bb8070a76b2a8a95ba4cf7ae9858f60d4d,"","","",""
0x00408af0,16,4,91630ccd3858f71d63a2dd7e55376dcdd14c5436,"","","",""
0x00408b00,1883,498,40e87a0bc6b510309e08683e0ffdf219aa8f3d28,"","426cb0;426cc0;4c3c60;4726b0;4a3384;426d00;426d00;426d00;426d00;426d00;426d00;4c39b0;4987b0;4987b0","fffffffc","e12e6542acc52737|00000000ffffffff|0000b443abaaaa3e|cdcccc3e0000b443|cdcc8c3fcdcccc3e|cdcc0c40cdcc8c3f|33335340cdcc0c40|cdcc4c3fcdcc4c3e|c38d4000fe8d4000|198f4000358f4000|496e76616c696420|9a99193f00004040|6666663f00001643|b990400014914000"
0x00409290,110,52,7ebe8e5767af444638694cd82f553565eac6df34,"","426bc0;426bd0","",""
0x00409300,48,20,9a0abffb06ce1f1b23ad173647fd8615e066b976,"","426090","fffffff6",""
0x00409330,120,53,f16d849d0af07be4083bf30334f104a9757b91cc,"","426090","fffffff6",""
0x004093b0,496,142,bad956e7e9fcb28c020bbada2a910edf4366f456,"","426cc0;4c39b0;4a3384;409330","fffffff8","00000000ffffffff|0000803f00000000|000080bf3333333f|0000803f8988083d|000000c0dca54c40|0000000000805640|0000b44200000000|0000b443abaaaa3e|000034420000b442|abaaaa3e00003442"
0x004095a0,211,73,c323fc7d6f97fe9f562543348ce2a55a84025662,"toastart/common/led/|tart/common/led/|LE%d.LED","426c00;4a2b60;4a2be9","","4ee640bb75980000"
0x00409680,20,7,01972569958f08dd96c1f8f13a617ae8c0b19a5c,"","","",""
0x004096a0,99,34,1f96ba1df13480c046873ce3f87e05425ee22b02,"","4095a0;4cc230;4cc580;4cbe80;4cc160","37002",""
0x00409710,119,42,8130e9d106e45066bba627c7830350caecfd661a,"d:\ToastArt\common\led.piz","4095a0;495280;4cc230;4cc5e0;4cbd30;4cc160;4952f0","",""
0x00409790,248,67,eb3c43cf86f3acf161dcafaf49193ba0ae5e9523,"","55dec0;4292c0;4096a0;4292d0;4292c0;4292d0;4292c0;4292d0;4292c0;4292d0;4292c0","fffffff4","c5974000ef974000"
0x004098a0,6,2,0eaf1fafb0ca569043d76c0b5727fdb6b43a4f8e,"","","",""
0x004098b0,28,7,620fe8e800856686daa230cd3d3f3ff5176308d8,"","","",""
0x004098d0,33,6,4746dc71f6f9f8ce0d9b61733256fed900a34148,"","","",""
0x00409900,44,7,98a9c1708a238e7d5687dda7345ba99c82e001c2,"","4a2cbd","","4c6f616420737461"
0x00409930,31,4,baafe9f9919e94ca2d062a35b6988c44dc8a23b1,"","","",""
0x00409950,26,5,8fb69862feefbe678b4c0b52c6681054c717e323,"","","",""
0x00409970,41,6,98ad01a526fe0b6579dfb3dd0512e46db89e8e94,"","","",""
0x004099a0,53,10,a361ee8fb2095471271bc794a68ff9260bd61f73,"","4a2cbd","","7374617274696e67"
0x004099e0,10,3,3d65d293305971b50d92aa4e5b830d6f9ff66efa,"","","",""
0x00409a80,72,18,6e21eab6f9ee7783bf53e5841314f462c489cd1d,"","5c9d00;5c9d00;4a2cbd;42c1a0;45b350","","7374617475732063"
0x0040ab40,89,16,a12181401e123e24aa60b81d0b2747daf90f84ca,"","42c1a0;409930","","52ab400057ab4000"
0x0040ac80,228,49,18577b4c2714b2b6e0251427367a243d376ffafd,"","42c1a0;42c1a0","","a1ac400092ac4000"
0x0040acd0,49,12,1c88938680296799d991cc04e80203d7626d16d4,"","","","e2ac4000e7ac4000"
0x0040ad20,6,2,0eaf1fafb0ca569043d76c0b5727fdb6b43a4f8e,"","","",""
0x0040ad30,10,3,3d65d293305971b50d92aa4e5b830d6f9ff66efa,"","","",""
0x0040ad40,74,24,24c8fb801e593d2cbb3a0f00d6f86df140a0871e,"","46d660;46bf50","",""
0x0040ad90,148,47,93b71c6f12ebab723b9412532962038b322505d6,"","46d4a0;46bf50","","0000b443abaaaa3e"
0x0040ae30,189,56,d6a10311de5cb012ab5bffcebf14595e81bba67a,"","46d660;4c3bf0;46d4a0;46bf50","","00000000ffffffff|cdcc4c3dcdcccc3c"
0x0040aef0,409,124,0877168cdb605f77b346696e0b42c632aea51977,"","46d4a0;4c51a0;4c4d20;4c4d20;4c51a0","","00000000ffffffff|0000803f8988083d|000080bf3333333f|a4707d3f0000e040"
0x0040b090,236,81,fc1f07f3b007139e15843358bbe07a15f8f9a5dd,"","55dec0;4292d0;4292c0;40aef0;46d320;46d360;40ad40;40ad90;40ae30","ffff00ff|ffffbd31","0000803f00000000|0000003f6d61705f"
0x0040b180,195,46,2c8b000af2c21b32f47325a625b8a0ec7bab6e6f,"","40e340;40e340;42f500","fffffc18",""
0x0040b250,52,11,e69dc87f17fd9bec79b1c8beac184e706261377d,"","","fffffc18",""
0x0040b290,378,112,a6994236219edc648b885efcb16ea32da8068199,"","40e370;42f500;42f500;40e340;40e350","2ff01",""
0x0040b410,12,3,3d65d293305971b50d92aa4e5b830d6f9ff66efa,"","","",""
0x0040b420,12,3,3d65d293305971b50d92aa4e5b830d6f9ff66efa,"","","",""
0x0040b430,47,12,faa70cae9b5b9661ffbc95193468621eda8a9d6d,"","","",""
0x0040b460,221,78,351a22d860684835c5f1bdb5c64b2e09c2326c35,"","417740","",""
0x0040b540,221,78,95c30c057772608751b90083da67f236ef460cea,"","417740","ffffff9c",""
0x0040b620,136,51,a1b890dba539c79cdd58b5694001e441d10ea73d,"","","ffffff9c",""
0x0040b6b0,12,3,3d65d293305971b50d92aa4e5b830d6f9ff66efa,"","","",""
0x0040b6c0,12,3,3d65d293305971b50d92aa4e5b830d6f9ff66efa,"","","",""
0x0040b6d0,12,3,3d65d293305971b50d92aa4e5b830d6f9ff66efa,"","","",""
0x0040b6e0,29,8,9fc2f2ee0c968b56a3e2c5316f14242b87a6c7c6,"","42f6a0","",""
